f1,accuracy,brier_score,roc_auc,model__kernel,model__C,model__gamma,model__degree
0.4443423840217184,0.4464773922187172,0.22520155774304695,0.6186662621227382,linear,128.0,0.0009765625,2
0.3858987421772254,0.39750262881177706,0.24182017318097013,0.5321398604420444,poly,0.03125,8.0,5
0.3969073572113584,0.4145373291272345,0.27206173912898945,0.4848353467493059,sigmoid,0.0625,4.0,2
0.18808668958381425,0.35265509989484756,0.2280157590425236,0.498926299125316,poly,4.0,0.0009765625,5
0.23453574818400302,0.3374079915878023,0.31886436845016947,0.43817545975809624,rbf,16.0,0.5,5
0.5646691288908818,0.560856992639327,0.37342371317293543,0.6831599350776834,sigmoid,0.015625,0.0625,4
0.4384030246608076,0.445925341745531,0.24451746058660268,0.46370233279777817,poly,0.001953125,256.0,2
0.6770095545077449,0.6711093585699264,0.3785021336802369,0.7405156281281671,rbf,0.001953125,0.001953125,5
0.22223072863403445,0.3557570977917981,0.45168846472085733,0.4346458325735202,poly,0.001953125,64.0,2
0.3860516928237746,0.39624079915878024,0.23845469924603935,0.4984449615269412,poly,0.00390625,512.0,2
0.19679848267812017,0.35557308096740275,0.5746562986905748,0.557107682758669,poly,4.0,0.0078125,3
0.5106208050498122,0.5035226077812829,0.24931320140519203,0.5242011789164068,linear,512.0,0.00390625,5
0.21791865348143408,0.36211882229232384,0.43445337259954,0.5317951679665615,rbf,0.25,0.0625,4
0.2863867485372855,0.35533648790746586,0.3318786395145401,0.46463918243004154,poly,0.25,4.0,3
0.4336269709445283,0.4413249211356467,0.2659328294259698,0.489480647413195,rbf,16.0,1.0,2
0.4409860652346469,0.4722660357518402,0.39881420153672076,0.48386757918772805,linear,16.0,512.0,2
0.4931394172857958,0.48819663512092537,0.24366562317710044,0.5613070711026047,linear,128.0,0.0625,4
0.19943053131422506,0.35588853838065193,0.5430164212105797,0.523101082617363,poly,2.0,0.00390625,3
0.20401181556815956,0.3559411146161935,0.4133534496996646,0.547707844142985,rbf,0.5,0.03125,5
0.6537778048030154,0.6499211356466876,0.20679325291872566,0.6960362371953699,rbf,512.0,64.0,2
0.451357007320742,0.4900630914826498,0.40210307027053394,0.5906780581978732,rbf,0.0078125,0.015625,4
0.7095347219060405,0.703391167192429,0.35624974392043113,0.7064815170921104,linear,0.0078125,128.0,3
0.5489815645655456,0.6413774973711882,0.22110663080598636,0.621670884680537,rbf,0.5,512.0,3
0.22084501942064227,0.36290746582544686,0.424443819364663,0.4893526108117986,rbf,0.0625,0.25,5
0.6240503130882317,0.6225552050473186,0.34760325850278406,0.6554979062135775,rbf,0.001953125,0.00390625,5
