dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__criterion,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.07399530410766601,0.0035010959962053136,0.010513830184936523,0.0022969322499453793,entropy,16,1,2,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 16), ('model__min_samples_leaf', 1), ('model__min_samples_split', 2)])",0.6582745303017103,0.7410633911200163,0.7199378575369515,0.7133703090667982,0.7000464616546156,0.7065385099360183,0.027530862090723182,98
0,0.053856611251831055,0.004853592147593585,0.010451793670654297,0.0030568472177385673,gini,10,32,60,"OrderedDict([('model__criterion', 'gini'), ('model__max_depth', 10), ('model__min_samples_leaf', 32), ('model__min_samples_split', 60)])",0.8788173572998035,0.8691910832341183,0.8284935776442006,0.8361065133432063,0.8594292960091375,0.8544075655060933,0.019214949316859246,79
0,0.06255311965942383,0.0024982481471327437,0.01430048942565918,0.0014560509107803066,entropy,8,33,60,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 8), ('model__min_samples_leaf', 33), ('model__min_samples_split', 60)])",0.8812904724569504,0.8767653008876111,0.8761070941138891,0.8593131418725983,0.8565931991753055,0.8700138417012709,0.010044809106615555,5
0,0.05409064292907715,0.004050738963322063,0.014294242858886719,0.0017591704323479754,entropy,13,45,60,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 13), ('model__min_samples_leaf', 45), ('model__min_samples_split', 60)])",0.8722740076080959,0.86477238628994,0.8751294634646843,0.859221186514505,0.8490964176128388,0.8640986922980127,0.009357626461267567,48
0,0.062375211715698244,0.0037354848549044023,0.012334537506103516,0.001091340553105877,gini,30,60,52,"OrderedDict([('model__criterion', 'gini'), ('model__max_depth', 30), ('model__min_samples_leaf', 60), ('model__min_samples_split', 52)])",0.8804241561885956,0.8661710756840995,0.8481284664750124,0.8437242887979015,0.8470395214449575,0.8570975017181134,0.014049284234280335,73
0,0.0571685791015625,0.003766773245184604,0.0131866455078125,0.0023313145923938537,entropy,27,60,50,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 27), ('model__min_samples_leaf', 60), ('model__min_samples_split', 50)])",0.9010511949356796,0.8613555187734122,0.8760490170456197,0.8433177493200144,0.8491980524823107,0.8661943065114073,0.020725546444237908,32
0,0.057271814346313475,0.002261051273218675,0.014085531234741211,0.0027957744439435473,gini,6,1,60,"OrderedDict([('model__criterion', 'gini'), ('model__max_depth', 6), ('model__min_samples_leaf', 1), ('model__min_samples_split', 60)])",0.8156391865338638,0.8025379678833813,0.8381150119541965,0.783764555565235,0.8411834170611068,0.8162480277995566,0.021649254179459253,92
0,0.06169514656066895,0.004364405198994637,0.012556886672973633,0.0029341557548875894,entropy,26,28,60,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 26), ('model__min_samples_leaf', 28), ('model__min_samples_split', 60)])",0.8766927045522742,0.8840733319782017,0.8473299067863054,0.8547734510361917,0.859559969412744,0.8644858727531434,0.013752077145273505,46
0,0.0692441463470459,0.004076142435932586,0.011480426788330078,0.0019473391019439097,gini,24,1,54,"OrderedDict([('model__criterion', 'gini'), ('model__max_depth', 24), ('model__min_samples_leaf', 1), ('model__min_samples_split', 54)])",0.8478187221109079,0.8941206647888416,0.842974126666086,0.8549041244397984,0.8659242481439536,0.8611483772299175,0.018204144978061974,64
0,0.06381964683532715,0.0037562564711385187,0.011656856536865235,0.002296377992639724,gini,27,40,60,"OrderedDict([('model__criterion', 'gini'), ('model__max_depth', 27), ('model__min_samples_leaf', 40), ('model__min_samples_split', 60)])",0.8741663520825469,0.8697137768485447,0.8419964960168811,0.8373067727541114,0.8375584400499463,0.852148367550406,0.016306653015674286,81
0,0.0594179630279541,0.0040724463739053585,0.00872507095336914,0.0004180561546412559,gini,25,16,43,"OrderedDict([('model__criterion', 'gini'), ('model__max_depth', 25), ('model__min_samples_leaf', 16), ('model__min_samples_split', 43)])",0.8358403267803043,0.8896196919979479,0.8346158685909536,0.8492900078404042,0.8377859085673356,0.8494303607553892,0.02076031557062079,87
0,0.05456352233886719,0.004582532293933891,0.010796785354614258,0.0025632233766072388,entropy,15,60,60,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 15), ('model__min_samples_leaf', 60), ('model__min_samples_split', 60)])",0.9011963876063536,0.8613555187734122,0.8760490170456197,0.8433177493200144,0.8491980524823107,0.8662233450455421,0.02077440815635436,30
0,0.05455827713012695,0.0040506094251200565,0.012512302398681641,0.00408577771839855,entropy,24,60,54,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 24), ('model__min_samples_leaf', 60), ('model__min_samples_split', 54)])",0.8988297470743676,0.8613555187734122,0.8760490170456197,0.8433177493200144,0.849498117335037,0.8658100299096901,0.019934705549047277,37
0,0.05552520751953125,0.004005806924110369,0.011767101287841798,0.0032299906232615494,entropy,8,60,36,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 8), ('model__min_samples_leaf', 60), ('model__min_samples_split', 36)])",0.8963421126501534,0.8629139201053131,0.8775638605763182,0.844000154872182,0.8491060971242173,0.8659852290656367,0.019148298147571036,35
0,0.050929594039916995,0.004454483374577625,0.011939144134521485,0.0015354399101638928,entropy,7,44,60,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 7), ('model__min_samples_leaf', 44), ('model__min_samples_split', 60)])",0.8773557510816854,0.8538393781881891,0.8761603314264697,0.8614232753530602,0.8380424156188596,0.8613642303336528,0.014664155421299674,61
0,0.051262283325195314,0.0036530781457101828,0.015371751785278321,0.0010997651559628968,entropy,7,19,60,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 7), ('model__min_samples_leaf', 19), ('model__min_samples_split', 60)])",0.8553639012302657,0.8720997764032872,0.8704252209348472,0.8539555323247283,0.8677004384818654,0.8639089738749988,0.007694351056014231,49
0,0.057376432418823245,0.00408647253293246,0.011487102508544922,0.004796990915976164,entropy,10,24,60,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 10), ('model__min_samples_leaf', 24), ('model__min_samples_split', 60)])",0.864912739204925,0.8861447474131505,0.8691814037227401,0.8680634201585504,0.855363901230266,0.8687332423459264,0.009971414595789615,15
0,0.047943925857543944,0.0037755539590102623,0.012118244171142578,0.003144266927895554,entropy,30,60,11,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 30), ('model__min_samples_leaf', 60), ('model__min_samples_split', 11)])",0.8988297470743676,0.8613555187734122,0.8760490170456197,0.8433177493200144,0.8491980524823107,0.8657500169391449,0.01998411229480834,38
