trial,booster,colsample_bylevel,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,value,time,dataset
22,gbtree,0.5723395995404981,0.6779184329671958,0.09312534496453127,13,12.546655198968917,1727,0.003188275498028892,0.006208828485623992,0.588527801584662,0.8767213451557094,2.35898,43980
23,gbtree,0.6577403133805168,0.5550276681493554,0.049096931700586474,14,2.2657074392547463,1832,0.0017514991473880847,0.06039492996559822,0.4129221843639056,0.8911724817377932,3.43154,43980
24,gbtree,0.523889320151293,0.6524754551782437,0.008117012283481797,11,35.617112173936235,1459,0.04131581957433498,0.008912387837292571,0.4678193948742963,0.843113574106113,1.395732,43980
25,gbtree,0.7782417750420101,0.8008094435639423,0.1408913997143357,14,13.5660712878919,1072,0.0003266053458530722,0.0417067861882812,0.6008070037274879,0.8749445766051519,1.439022,43980
26,gbtree,0.6926710681230279,0.7446931273635604,0.022543182393550822,15,49.97417580359875,1567,0.003240615192498342,0.00354863312975319,0.6796496790656963,0.8482820069204152,1.482207,43980
27,gbtree,0.5927883347702368,0.5523891723673907,0.04918806746458223,12,30.00817011866069,1858,3.1146148772436923,0.05176841326468603,0.5743285491037285,0.8574915417147251,1.912768,43980
28,gbtree,0.4446525038732254,0.857410677180539,0.004318517976217539,14,13.105094208050193,441,0.0003402888641911187,3.501016372349109,0.34466060475422655,0.8386684087850828,0.696504,43980
29,gbtree,0.3351929009684668,0.653403077389371,0.18388519845468676,10,20.964173680985763,1768,0.04126322789016946,3.041563081702884,0.7309016316204859,0.8699195742022299,2.108771,43980
30,gbtree,0.6196022937863858,0.37181372371144006,0.014448763938062603,11,1.140190069144009,1387,0.005922045423677367,0.016527419069661157,0.8245421427604862,0.9032541330257592,4.449254,43980
31,gbtree,0.6180837547435647,0.3676825581712987,0.014111555144690919,13,10.683940982430135,1326,0.004018294740394409,0.018989466214391827,0.8533103149321161,0.8831671832948867,2.627318,43980
32,gbtree,0.6798640776098355,0.5395694776766544,0.06378106048376796,11,1.7094741633550412,1539,0.018654504442843077,0.1079558214097494,0.6257539946529876,0.8972018935024989,2.945132,43980
33,gbtree,0.6675659352994936,0.38420871310779287,0.03724660294351318,8,30.496244660861297,1148,0.01798266382089219,0.3172000539816503,0.825468175730459,0.8646571270665128,1.455835,43980
34,gbtree,0.7777713980198571,0.3195967665582076,0.01554246154379742,10,19.873714119022715,1376,0.12867280191050412,0.10485937110957869,0.36634653066297285,0.8519707203960015,1.513476,43980
35,gbtree,0.7105329306633106,0.556746792089453,0.06466129770026434,11,8.551087984395313,942,0.017287970475226698,0.0032485345328878063,0.7217911629880353,0.8862060625720876,1.711657,43980
36,gbtree,0.8184714951497775,0.48692227755934286,0.010828100855313877,9,19.972803850490276,1510,0.001062710181564995,1.3165287984470573,0.4823051098631749,0.8585654315647826,1.863866,43980
37,gbtree,0.5363036826986524,0.3087610928474879,0.024515642520764217,6,1.0042990187030552,1272,0.007744143686332784,0.016376233240436,0.686710238601957,0.8939944492502884,2.110994,43980
38,gbtree,0.9112757429255414,0.4141034342433437,0.0044465838224265995,12,27.53298508043172,1141,0.0002689828649120363,22.977922751083288,0.6188262606016675,0.8416537509611688,1.436112,43980
39,gbtree,0.47217928217721616,0.5443695323792943,0.179844421402818,8,16.89444544682854,1438,0.06904362910969583,0.007467636907639292,0.7547585496905734,0.8730424356016917,1.807287,43980
40,gbtree,0.5466357887054805,0.22132029578059076,0.0004634645928730211,11,34.219659432850165,827,0.2620252197386159,0.02021999350695172,0.9980845090168651,0.8167020136485966,1.167004,43980
41,gbtree,0.5944438624757575,0.6238920374604152,0.13951719652747407,14,1.404977180002871,1698,0.0022570568978355515,0.09690634220215072,0.6443912603761763,0.894584222414456,2.565493,43980
42,gbtree,0.691083186819649,0.7356180905416043,0.07606128065191937,15,10.207239283143956,1551,0.007214242313425592,0.032348694357136755,0.5542889175749942,0.8786575716070744,2.312968,43980
43,gbtree,0.6167663962514444,0.5243671382762507,0.04038829998859327,13,7.119363612316979,1885,0.023006552305263966,0.4554498795665762,0.2569623833449375,0.8686618968665897,2.500869,43980
44,gbtree,0.5712705031311802,0.6499328022963811,0.10612663878505421,14,23.462165769483562,1777,0.001440692799683424,0.07178382414018328,0.43523095330892114,0.8542930243175701,1.764814,43980
