trial,C,class_weight,l1_ratio,max_iter,penalty,solver,value,time
70,10.702020274918043,balanced,0.0005494650461929998,1500,elasticnet,saga,0.8139241667724395,2.416913
71,0.15587808098073483,balanced,0.001567036511232325,1500,elasticnet,saga,0.8160397859499072,0.754816
72,0.28764128016516155,balanced,0.001620923543040042,1500,elasticnet,saga,0.8159807338985923,0.836163
73,0.07349414304303839,balanced,0.0016888996663127834,1500,elasticnet,saga,0.8155062500314311,0.643139
74,0.30907068007973687,balanced,0.001031277257021949,1500,elasticnet,saga,0.8159855163567206,0.845247
75,1.4604469152995594,balanced,0.0010416699743449054,1500,elasticnet,saga,0.8150435098835154,1.261489
76,0.03394716752955849,balanced,0.0008909459500950728,1500,elasticnet,saga,0.8143509668418586,0.558884
77,0.010011597744066457,balanced,0.0029124779529548367,1500,elasticnet,saga,0.8094610832706898,0.507715
78,0.6324121409871238,balanced,0.001329473743842682,1500,elasticnet,saga,0.8155658357382883,0.99985
79,0.1277238682709908,balanced,0.0005824554910756597,1500,elasticnet,saga,0.8158452963323332,0.697933
80,0.04984461581403082,balanced,0.00044720210007320797,1500,elasticnet,saga,0.8150973162771497,0.610127
81,0.33172339334892004,balanced,0.0015601923950627292,1500,elasticnet,saga,0.8158148596668441,0.852662
82,0.3302005659338316,balanced,0.0007723498101722955,1500,elasticnet,saga,0.8158227262191075,0.848073
83,0.16461395053848693,balanced,0.0018508261757717425,1500,elasticnet,saga,0.8159820725586574,0.759015
84,0.0912025325285393,balanced,0.0011818036344477983,1500,elasticnet,saga,0.8156738821899562,0.681296
85,0.16728623780788024,balanced,0.002250537248754632,1500,elasticnet,saga,0.8160210907412306,0.7536
86,1.2078907942645052,balanced,0.0024591806366547338,1500,elasticnet,saga,0.8151379329299496,1.196955
87,0.02086897488140475,balanced,0.0031212302936255397,1500,elasticnet,saga,0.8129239896915127,0.537133
88,0.634382673724475,balanced,0.004989194964190925,1500,elasticnet,saga,0.8155622631039326,1.019352
89,4.498178990292782,balanced,0.006812192722373768,1500,elasticnet,saga,0.8143023704241308,1.772338
90,1.8647552482362573,balanced,0.0006400626084695001,1500,elasticnet,saga,0.8148053792647767,1.364767
91,0.13883130333560895,balanced,0.0017375269387522522,1500,elasticnet,saga,0.8159598297832388,0.701893
92,0.16235008856851874,balanced,0.0021936557942923234,1500,elasticnet,saga,0.815978617821208,0.741912
93,0.0798016193171124,balanced,0.001250193194002054,1500,elasticnet,saga,0.815642892018247,0.661133
94,0.2387597196707644,balanced,0.0009257275587631975,1500,elasticnet,saga,0.8159305839046034,0.807767
95,0.037920155413760294,balanced,0.0029720205028836966,1500,elasticnet,saga,0.8144931527890709,0.579898
96,0.3978314147176566,balanced,0.0002993988404536041,1500,elasticnet,saga,0.8157881735948698,0.872646
