trial,booster,colsample_bylevel,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,value,time,dataset
27,gbtree,0.882407564373888,0.9708959816714022,0.00011367779996743946,7,123.76516201854604,746,0.009452291504238805,0.2044496500917521,0.9462389219407941,0.7805579764994233,0.631067,43980
28,gbtree,0.6560489360714921,0.7568238373399785,0.0013853900850136615,9,119.89165631841918,1704,0.00044872816616678884,4.898277215907765,0.37711956001456937,0.5,0.838686,43980
29,gbtree,0.7619872671896875,0.7576125927962145,0.00031958841415150746,14,95.07761445478397,1981,0.025818034815775753,0.05774987726789048,0.6387472392728025,0.7851813365051903,1.524049,43980
30,gbtree,0.8386361431734202,0.6012130357497597,0.08280890604911915,14,65.9404846553391,1621,2.2950041568007085,16.285506249643184,0.9003042389350777,0.8490587274125337,1.448742,43980
31,gbtree,0.22875381903739367,0.6626241127969392,0.16063960731494917,6,12.935706359790363,1594,0.1329911669902021,1.802469016852411,0.5034963676386519,0.868698469338716,1.882912,43980
32,gbtree,0.30164841012150784,0.4881525131290103,0.013434355902863545,1,105.4702712037766,580,0.31905901272431797,41.68322557207813,0.27287518745428707,0.5,0.329824,43980
33,gbtree,0.7099439211985652,0.6325080972880852,0.017526244334505836,1,68.4820382091548,439,7.439483318099948,716.3289063135321,0.314010598745326,0.7669317990676664,0.292174,43980
34,gbtree,0.22028059473236603,0.2627651050738128,0.001456493631839901,5,56.74937042961579,1037,287.5200210625875,103.72435026692942,0.8463896460765278,0.5,0.541344,43980
35,gbtree,0.77167673816005,0.6393813317648964,0.002972165846947594,3,32.7808480669036,1395,2.6880814750085698,0.047819318414852596,0.37997074005313436,0.8281607434640522,1.280705,43980
36,gbtree,0.4847781429210093,0.398184791600926,0.04549345927195762,10,54.28920792832932,1911,12.150499838106768,0.0012200030931738236,0.6657655393835505,0.8374096501345637,1.273788,43980
37,gbtree,0.2782673285208012,0.5793390632698602,0.00014645502467126124,13,90.364548141263,241,0.19878500601148194,0.6931554219323903,0.28054660173922763,0.5,0.181984,43980
38,gbtree,0.499690091701177,0.23624320781763564,0.003653925328605644,10,81.65689366019076,354,1.5814779179700953,1.0442814210473008,0.54887855079803,0.7797280012495194,0.334351,43980
39,gbtree,0.6686204650187706,0.22120904843329747,0.023585982772904763,2,82.58724833220208,1715,203.35671381436887,2.8369067932328353,0.37220082031107227,0.5,0.847854,43980
40,gbtree,0.9689524510591314,0.5088821102406194,0.020756912498528804,9,120.56603071461869,782,118.64293075342988,0.014953636132627126,0.5936896678686374,0.7516546340349866,0.454286,43980
41,gbtree,0.45518050423500905,0.2569509187681832,0.0002306791841544548,2,87.74186022387732,148,46.61187194439682,0.0013792138650780268,0.26366636923866227,0.5,0.12839,43980
42,gbtree,0.7880568350431087,0.9019776108216424,0.0010357568342127424,11,80.87574154104527,1631,24.590676155650485,0.049227460846068764,0.3386236207162422,0.7640986039023453,1.047634,43980
