param_model__criterion,param_model__max_depth,param_model__max_leaf_nodes,mean_test_score
entropy,30,13,0.5950845270357465
gini,30,83,0.5827756907198993
gini,13,14,0.6344822910494986
gini,26,17,0.6470280233641607
log_loss,30,68,0.5427561992538952
gini,19,35,0.5968075398956805
gini,24,18,0.6341070787948853
gini,19,21,0.5947155358338085
gini,25,10,0.6330524416609065
gini,29,11,0.6345722575080373
gini,30,11,0.6345722575080373
gini,26,10,0.6330524416609065
gini,29,10,0.6330524416609065
log_loss,13,92,0.549827186676975
entropy,13,10,0.6204120151755779
gini,26,16,0.6404118404118404
entropy,3,93,0.51698578790393
gini,13,16,0.6404118404118404
gini,17,16,0.6404118404118404
log_loss,18,40,0.5863603798679274
gini,1,79,0.5650831639656456
gini,30,100,0.5841586988070694
gini,30,54,0.5926514690009321
gini,30,26,0.6029381488280341
log_loss,1,12,0.5650831639656456
gini,30,62,0.5641242761638802
entropy,30,80,0.5622665570162617
entropy,5,41,0.611861011956766
gini,16,10,0.6330524416609065
entropy,1,35,0.5650831639656456
log_loss,8,25,0.5891513287256698
gini,28,35,0.6059545648882736
gini,21,72,0.5746037022289496
log_loss,30,24,0.60761843975101
log_loss,1,74,0.5650831639656456
gini,30,50,0.5709685816074002
gini,30,17,0.6447524228584717
gini,14,11,0.6345722575080373
log_loss,1,61,0.5650831639656456
log_loss,30,27,0.5996042095633312
entropy,1,52,0.5650831639656456
gini,24,17,0.6447524228584717
gini,20,17,0.6447524228584717
log_loss,12,16,0.5880962997908867
gini,28,17,0.6470280233641607
gini,1,43,0.5650831639656456
gini,17,30,0.6133805928476556
gini,22,16,0.6404118404118404
gini,27,17,0.6447524228584717
entropy,1,78,0.5650831639656456
log_loss,14,32,0.5948256795913832
entropy,30,41,0.5845316493078637
log_loss,30,13,0.5950845270357465
entropy,30,71,0.560560865473387
entropy,30,28,0.5952587154793764
entropy,30,87,0.5438945048827897
log_loss,30,100,0.5645079576630402
log_loss,30,55,0.5703307663712682
entropy,15,38,0.5679678227792988
entropy,1,18,0.5650831639656456
entropy,1,59,0.5650831639656456
log_loss,30,80,0.5607204923803613
log_loss,1,100,0.5650831639656456
entropy,30,22,0.604957156717384
entropy,18,12,0.5935681146455478
gini,18,76,0.5849106408663989
entropy,2,10,0.5460903587606911
gini,9,28,0.5958936616922098
gini,23,45,0.5768933452358981
entropy,17,56,0.5573095419257722
gini,8,94,0.5700840002332901
gini,22,10,0.6330524416609065
gini,22,75,0.5851839429530884
gini,25,65,0.5711117897504037
gini,28,10,0.6330524416609065
entropy,21,53,0.5470790283326445
entropy,2,77,0.5460903587606911
log_loss,1,14,0.5650831639656456
log_loss,2,24,0.5460903587606911
entropy,18,34,0.5856438988732248
gini,3,71,0.5120536412564949
log_loss,3,48,0.51698578790393
log_loss,16,23,0.5936333508801289
gini,4,18,0.6163242618188732
log_loss,26,25,0.5964056281078517
gini,9,24,0.5937070385270781
log_loss,25,93,0.5544752256071164
gini,3,40,0.5120536412564949
gini,9,16,0.6404118404118404
gini,10,17,0.6447524228584717
gini,19,18,0.6341070787948853
gini,17,100,0.5739257881969626
gini,28,16,0.6404118404118404
gini,16,53,0.596628979498197
gini,11,17,0.6447524228584717
gini,14,61,0.5737037037037037
gini,18,83,0.5786209097704262
gini,12,17,0.6447524228584717
gini,11,16,0.6404118404118404
gini,1,86,0.5650831639656456
entropy,14,100,0.5666196428995437
log_loss,30,47,0.5607921264193678
log_loss,15,66,0.5412809251379422
gini,8,50,0.5886967963399047
log_loss,20,76,0.5587175765474885
gini,21,57,0.5736303347791574
gini,1,49,0.5650831639656456
gini,18,13,0.6248334753955584
gini,16,49,0.5794599945583865
gini,22,17,0.6470280233641607
gini,1,62,0.5650831639656456
entropy,10,20,0.6042006844555385
gini,22,40,0.5934131192862762
entropy,18,84,0.577696406464349
log_loss,30,18,0.5848569493490821
entropy,20,44,0.5720959732293146
gini,10,56,0.5909241381588445
log_loss,1,40,0.5650831639656456
entropy,9,34,0.5884187753248968
log_loss,10,41,0.5974553180825217
gini,22,27,0.6029381488280341
gini,10,12,0.6254154687052308
gini,9,83,0.5742870362591842
gini,12,19,0.6335831699827619
gini,30,89,0.5849093420424181
log_loss,24,38,0.5637625993836706
gini,24,80,0.5753326109040356
gini,1,30,0.5650831639656456
gini,21,96,0.5424340350001386
gini,8,100,0.5790358643831777
log_loss,8,55,0.547028338633381
gini,14,67,0.587245415824772
gini,14,33,0.6028446286419666
gini,1,94,0.5650831639656456
