param_model__criterion,param_model__max_depth,param_model__max_leaf_nodes,mean_test_score
log_loss,14,53,0.809444880174292
log_loss,30,10,0.8094644317953357
gini,28,84,0.773181863155835
gini,4,59,0.8179343932369857
log_loss,24,73,0.7916243179859572
log_loss,17,79,0.7890798054697301
entropy,23,50,0.8143255939340726
log_loss,10,14,0.8034488926559742
gini,14,59,0.7991939459438916
gini,1,93,0.8648002281347171
log_loss,13,94,0.7856592494393695
gini,11,49,0.8177274780027034
log_loss,26,25,0.8086789373612266
entropy,18,83,0.7810133919877192
gini,4,44,0.816465733389097
gini,3,12,0.7962835794654932
log_loss,24,51,0.8025348935016213
