param_model__metric,param_model__n_neighbors,param_model__weights,mean_test_score
chebyshev,25,distance,0.7712190082009134
chebyshev,17,uniform,0.7052103177631797
manhattan,15,distance,0.8239751528938826
chebyshev,12,uniform,0.7004638146705533
manhattan,6,distance,0.8451903226329179
manhattan,25,uniform,0.7974947596006295
minkowski,10,uniform,0.8017912203631875
euclidean,7,distance,0.8382793164053328
manhattan,27,uniform,0.7817783325155906
manhattan,27,uniform,0.7817783325155906
euclidean,12,distance,0.8272843226501763
minkowski,12,distance,0.8272843226501763
chebyshev,29,uniform,0.5818947509589687
euclidean,23,uniform,0.8001858145957084
manhattan,22,distance,0.8207207206473998
manhattan,14,uniform,0.8091026211891827
euclidean,3,uniform,0.8451496931440531
euclidean,13,distance,0.823598336006997
chebyshev,2,distance,0.8373927051336836
euclidean,7,uniform,0.8146767204185416
chebyshev,4,uniform,0.8028923894629157
minkowski,20,uniform,0.7959512045802696
manhattan,25,distance,0.81494655966649
manhattan,7,uniform,0.8088351605682051
euclidean,4,uniform,0.8093467600798283
manhattan,7,uniform,0.8088351605682051
manhattan,19,uniform,0.8041778357402304
chebyshev,29,uniform,0.5818947509589687
minkowski,16,uniform,0.8093338469416305
minkowski,23,uniform,0.8001858145957084
euclidean,10,distance,0.8248297702995406
chebyshev,22,distance,0.7701251472166015
manhattan,3,uniform,0.8422663712345685
chebyshev,16,distance,0.7823398036269323
manhattan,13,distance,0.8168984958564305
minkowski,2,uniform,0.8034798848159298
chebyshev,12,distance,0.8005871547949608
manhattan,11,distance,0.8243674596234717
euclidean,20,distance,0.8236311588244003
euclidean,6,uniform,0.8094260104446518
manhattan,8,distance,0.8286674947462398
manhattan,25,uniform,0.7974947596006295
manhattan,28,distance,0.8109839668548471
minkowski,26,distance,0.8220608042640549
manhattan,16,uniform,0.8006746279729586
euclidean,28,uniform,0.7772350935036109
minkowski,12,uniform,0.8048960984979221
minkowski,24,distance,0.8194089196960077
minkowski,11,distance,0.8259548775604848
chebyshev,6,uniform,0.7980608584893838
euclidean,18,uniform,0.8040058943899162
minkowski,17,uniform,0.819162324805814
minkowski,22,distance,0.8224037003792286
chebyshev,28,uniform,0.5634687590693395
manhattan,26,uniform,0.7797581006666456
manhattan,4,uniform,0.8155356212873974
minkowski,14,distance,0.8254587301298141
euclidean,18,distance,0.8238550004773437
euclidean,15,uniform,0.8253287129725049
manhattan,26,distance,0.8141831629330077
chebyshev,31,distance,0.7666770118548494
minkowski,10,distance,0.8248297702995406
minkowski,4,uniform,0.8093467600798283
minkowski,22,uniform,0.7872737352737353
chebyshev,25,uniform,0.5726410651324525
minkowski,24,distance,0.8194089196960077
euclidean,30,distance,0.8125039170469274
minkowski,9,distance,0.8328597025548247
minkowski,14,distance,0.8254587301298141
minkowski,17,uniform,0.819162324805814
minkowski,3,distance,0.8457875613836364
minkowski,7,uniform,0.8146767204185416
minkowski,18,distance,0.8238550004773437
euclidean,19,uniform,0.8103987156473466
manhattan,10,uniform,0.7995369961063832
chebyshev,16,distance,0.7823398036269323
minkowski,26,uniform,0.7813685973867969
minkowski,28,distance,0.8191027237996007
minkowski,22,distance,0.8224037003792286
minkowski,6,distance,0.8436682338795507
minkowski,2,distance,0.8332911319260761
minkowski,19,distance,0.825962232215516
minkowski,6,uniform,0.8094260104446518
euclidean,6,uniform,0.8094260104446518
minkowski,8,uniform,0.7893399488833172
minkowski,7,distance,0.8382793164053328
minkowski,27,distance,0.8178696063238993
minkowski,24,uniform,0.7893452370161032
minkowski,20,distance,0.8236311588244003
minkowski,25,distance,0.8189557200356423
minkowski,28,uniform,0.7772350935036109
chebyshev,10,distance,0.8125572578834669
manhattan,22,uniform,0.7871835002591194
manhattan,6,uniform,0.8082576470490348
minkowski,17,distance,0.8257415063242342
euclidean,16,distance,0.8248970373555359
chebyshev,18,distance,0.7842840100738451
euclidean,24,uniform,0.7893452370161032
manhattan,2,distance,0.8319526665443535
chebyshev,8,distance,0.8252545820192878
euclidean,23,distance,0.8206286951709645
