param_model__criterion,param_model__max_depth,param_model__max_leaf_nodes,mean_test_score
gini,30,10,0.9933314809669354
log_loss,1,19,0.9865536723163842
gini,10,10,0.9933314809669354
gini,18,12,0.9899435028248588
log_loss,24,100,0.9933333333333334
gini,20,10,0.9933314809669354
entropy,11,99,0.9933314809669354
gini,19,100,0.9933314809669354
gini,4,10,0.9933314809669354
gini,12,11,0.9933314809669354
gini,17,100,0.9899435028248588
gini,9,10,0.9899435028248588
gini,2,100,0.9899435028248588
entropy,30,99,0.9933314809669354
gini,14,99,0.9933314809669354
entropy,5,100,0.9899435028248588
log_loss,3,99,0.9967213114754099
log_loss,13,100,0.9933314809669354
log_loss,28,10,0.9933314809669354
entropy,12,33,0.9899435028248588
log_loss,26,10,0.9933314809669354
log_loss,21,12,0.9899435028248588
log_loss,16,100,0.9967213114754099
gini,16,100,0.9967213114754099
entropy,7,100,0.9933314809669354
entropy,10,100,0.9967213114754099
log_loss,24,11,0.9967213114754099
log_loss,25,10,0.9933314809669354
gini,24,100,0.9967213114754099
entropy,3,99,0.9933314809669354
