param_model__metric,param_model__n_neighbors,param_model__weights,mean_test_score
chebyshev,20,distance,0.644019011583928
chebyshev,3,uniform,0.6917110698802358
chebyshev,4,distance,0.7105612041122582
minkowski,20,uniform,0.8342511143690672
chebyshev,29,uniform,0.6164584538855895
minkowski,7,distance,0.8305425076994943
minkowski,12,distance,0.8294875691752601
euclidean,17,distance,0.8251036626472168
minkowski,10,uniform,0.833388132034167
manhattan,16,uniform,0.8354523566168564
euclidean,17,uniform,0.8354724345806313
manhattan,19,uniform,0.8372453423632951
euclidean,5,distance,0.822957887637189
minkowski,25,uniform,0.8416177153700861
euclidean,27,uniform,0.8410735652234574
euclidean,30,distance,0.8367252354571587
manhattan,16,uniform,0.8354523566168564
manhattan,4,uniform,0.8235137108079084
chebyshev,29,uniform,0.6164584538855895
euclidean,23,uniform,0.8331232465281115
chebyshev,12,uniform,0.6186750985315236
chebyshev,8,distance,0.6837941441051429
euclidean,2,uniform,0.7446870589761678
euclidean,8,uniform,0.8263244986865906
manhattan,18,distance,0.8388713477144091
minkowski,7,uniform,0.8385346219550132
minkowski,22,uniform,0.8319430493166843
minkowski,29,uniform,0.8295470950194674
euclidean,15,distance,0.8283243404678945
chebyshev,22,uniform,0.6158391959798994
minkowski,21,uniform,0.8355296282641624
minkowski,5,distance,0.822957887637189
manhattan,17,distance,0.8358904632786356
chebyshev,22,distance,0.6399208738730247
manhattan,5,uniform,0.8386469718051371
manhattan,1,uniform,0.7762646727695721
euclidean,4,distance,0.8174165290645015
chebyshev,18,uniform,0.6149089806309916
manhattan,28,uniform,0.8343727191028039
manhattan,24,distance,0.8391042171145877
manhattan,10,uniform,0.8288382342373378
chebyshev,25,uniform,0.6158391959798994
euclidean,2,distance,0.7804743845369604
euclidean,26,distance,0.8388211780642395
minkowski,6,distance,0.8265811918475853
manhattan,20,distance,0.8386738655031337
chebyshev,17,distance,0.6504468983571263
euclidean,8,distance,0.8267027817032243
euclidean,3,distance,0.8159029811808466
minkowski,20,uniform,0.8342511143690672
minkowski,12,distance,0.8294875691752601
chebyshev,8,distance,0.6837941441051429
chebyshev,15,uniform,0.6149089806309916
minkowski,1,distance,0.7804743845369604
minkowski,22,uniform,0.8319430493166843
euclidean,25,distance,0.8400752665045348
minkowski,12,distance,0.8294875691752601
chebyshev,9,uniform,0.6237907235059778
chebyshev,15,uniform,0.6149089806309916
euclidean,29,distance,0.8384127440711332
euclidean,6,uniform,0.8260968234260263
euclidean,26,distance,0.8388211780642395
minkowski,25,distance,0.8400752665045348
manhattan,8,uniform,0.8241747947112088
manhattan,30,distance,0.8387222015103738
manhattan,22,distance,0.8388615168718875
manhattan,26,distance,0.8395948376052083
chebyshev,25,distance,0.6338383155852965
euclidean,24,uniform,0.8338356732301545
chebyshev,17,distance,0.6504468983571263
manhattan,23,distance,0.8386738655031337
minkowski,14,uniform,0.8351716534356106
euclidean,6,uniform,0.8260968234260263
manhattan,1,uniform,0.7762646727695721
euclidean,28,distance,0.8365272009336657
manhattan,27,distance,0.8386208033917374
