param_model__metric,param_model__n_neighbors,param_model__weights,mean_test_score
manhattan,5,uniform,0.9894736842105264
minkowski,24,uniform,0.993103448275862
minkowski,12,distance,0.993103448275862
minkowski,18,uniform,0.993103448275862
manhattan,31,distance,0.9857142857142858
euclidean,22,distance,0.993103448275862
minkowski,9,uniform,0.993103448275862
chebyshev,4,distance,0.932463768115942
chebyshev,27,uniform,0.9668052446434283
chebyshev,9,uniform,0.96
euclidean,17,uniform,1.0
chebyshev,20,distance,0.96
chebyshev,12,distance,0.96
chebyshev,24,distance,0.9692307692307693
chebyshev,16,distance,0.9692307692307693
minkowski,14,uniform,0.993103448275862
minkowski,4,distance,0.9894736842105264
manhattan,27,uniform,0.9857142857142858
chebyshev,5,uniform,0.9518233522917363
manhattan,2,uniform,0.9894736842105264
chebyshev,27,distance,0.9701950751519028
manhattan,12,uniform,0.993103448275862
chebyshev,1,uniform,0.928960943257185
chebyshev,19,uniform,0.9578093306288032
euclidean,13,distance,0.993103448275862
euclidean,21,uniform,0.993103448275862
euclidean,27,distance,0.993103448275862
chebyshev,13,uniform,0.9335849056603773
manhattan,6,distance,0.9894736842105264
manhattan,7,uniform,0.993103448275862
euclidean,25,distance,0.993103448275862
manhattan,17,uniform,0.993103448275862
minkowski,3,uniform,0.9894736842105264
manhattan,28,distance,0.9894736842105264
manhattan,20,uniform,0.9894736842105264
manhattan,25,uniform,0.9857142857142858
manhattan,22,uniform,0.9857142857142858
manhattan,15,distance,0.993103448275862
euclidean,11,distance,0.993103448275862
manhattan,9,uniform,0.993103448275862
manhattan,17,distance,0.993103448275862
euclidean,12,uniform,0.993103448275862
minkowski,30,distance,0.9894736842105264
minkowski,19,uniform,0.993103448275862
manhattan,4,distance,0.9894736842105264
chebyshev,25,uniform,0.9632985234277649
manhattan,13,distance,0.993103448275862
chebyshev,8,distance,0.96
manhattan,10,distance,0.993103448275862
euclidean,5,uniform,0.9894736842105264
manhattan,14,uniform,0.993103448275862
manhattan,2,distance,0.9894736842105264
euclidean,29,uniform,0.9894736842105264
euclidean,25,uniform,0.993103448275862
minkowski,8,distance,0.9894736842105264
chebyshev,30,distance,0.9658409387222946
manhattan,26,distance,0.9894736842105264
manhattan,22,distance,0.9894736842105264
chebyshev,22,uniform,0.9589443869981569
minkowski,7,uniform,0.9894736842105264
euclidean,27,uniform,0.9894736842105264
chebyshev,6,distance,0.9518233522917363
manhattan,19,uniform,0.9894736842105264
manhattan,4,uniform,0.9894736842105264
chebyshev,23,distance,0.9735849056603774
manhattan,24,distance,0.9894736842105264
euclidean,2,uniform,0.9857142857142858
minkowski,6,distance,0.9894736842105264
manhattan,20,distance,0.9894736842105264
euclidean,3,distance,0.9894736842105264
chebyshev,28,uniform,0.9632985234277649
chebyshev,15,distance,0.96
chebyshev,2,distance,0.928960943257185
chebyshev,17,distance,0.9692307692307693
manhattan,29,distance,0.9894736842105264
manhattan,28,uniform,0.9818181818181818
euclidean,18,distance,0.9966101694915255
manhattan,23,uniform,0.9857142857142858
chebyshev,25,distance,0.9735849056603774
chebyshev,11,distance,0.96
minkowski,2,distance,0.9857142857142858
chebyshev,10,uniform,0.96
manhattan,18,uniform,0.9894736842105264
chebyshev,28,distance,0.9701950751519028
manhattan,30,uniform,0.9818181818181818
manhattan,26,uniform,0.9818181818181818
chebyshev,26,uniform,0.9668052446434283
chebyshev,21,distance,0.9647058823529411
chebyshev,6,uniform,0.9518233522917363
chebyshev,30,uniform,0.9589443869981569
chebyshev,8,uniform,0.96
chebyshev,20,uniform,0.953103448275862
chebyshev,13,distance,0.96
chebyshev,18,uniform,0.9418181818181818
euclidean,16,uniform,0.993103448275862
euclidean,16,distance,0.993103448275862
euclidean,24,distance,0.993103448275862
minkowski,22,distance,0.993103448275862
euclidean,5,uniform,0.9894736842105264
euclidean,5,distance,0.9894736842105264
chebyshev,19,distance,0.9647058823529411
minkowski,21,distance,0.993103448275862
chebyshev,14,uniform,0.9292307692307693
minkowski,8,distance,0.9894736842105264
