model__max_leaf_nodes,model__max_depth,model__criterion,credit_f1,college_f1,diabetes_f1,penguins_f1,mean_f1
60,17,log_loss,0.7912626803247007,0.8312500550006465,0.5580565085281786,0.9933333333333334,0.7934756442967148
30,2,log_loss,0.8648002281347171,0.729040249168596,0.5460903587606911,0.9899435028248588,0.7824685847222158
30,18,entropy,0.8098030894400899,0.8310256515599533,0.5702654205504807,0.9933314809669354,0.8011064106293648
90,8,entropy,0.7989251622217457,0.8332705007257367,0.5601125043466677,0.9933314809669354,0.7964099120652715
60,29,gini,0.7970258107638637,0.8385528029761776,0.5869667076228287,0.9933314809669354,0.8039692005824512
90,12,gini,0.7806551480486572,0.8307808857808858,0.5797896726928984,0.9967213114754099,0.7969867544994629
10,26,gini,0.8394485466914038,0.8481452098778395,0.6330524416609065,0.9967213114754099,0.8293418774263899
50,19,log_loss,0.7993455739694693,0.835351035043432,0.5446631543761977,0.9967213114754099,0.7940202687161273
80,18,gini,0.769622417560958,0.822813737708589,0.5797200721069116,0.9967213114754099,0.792219384712967
50,14,log_loss,0.8081670910891875,0.8339509264727747,0.5472348712661455,0.9899435028248588,0.7948240979132416
90,9,log_loss,0.7907156145514526,0.8249502473994902,0.5746089817385156,0.9933314809669354,0.7959015811640984
30,29,log_loss,0.8102526626641178,0.8310256515599533,0.5678521475489724,0.9933314809669354,0.8006154856849947
50,10,log_loss,0.7950938026420673,0.8326210287953846,0.5590231291365291,0.9967213114754099,0.7958648180123478
40,11,gini,0.8208700180911134,0.8353466533776114,0.5858095854890168,0.9933314809669354,0.8088394344811691
30,22,entropy,0.8142666203021465,0.8310256515599533,0.5699331583256353,0.9933314809669354,0.8021392277886676
90,2,gini,0.8648002281347171,0.729040249168596,0.5460903587606911,0.9933314809669354,0.7833155792577349
70,26,gini,0.7833512563636044,0.8366523746921917,0.5766459289813315,0.9899435028248588,0.7966482657154966
10,3,log_loss,0.8065786237685344,0.7908334749689073,0.51698578790393,0.9899435028248588,0.7760853473665577
20,25,entropy,0.8138504790559716,0.8439251867249808,0.6042006844555385,0.9933314809669354,0.8138269578008566
