n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,score,dataset
20,12,8,3,0.2,0.8048315863032844,diabetes
20,12,8,3,0.2,0.9998815747178942,banknotes
20,12,8,3,0.2,0.6465833333333333,credit
20,12,8,3,0.2,0.9669185890511466,spambase
340,3,4,8,log2,0.8133298392732355,diabetes
340,3,4,8,log2,0.9999461446931376,banknotes
340,3,4,8,log2,0.6460714285714285,credit
340,3,4,8,log2,0.9752764356051526,spambase
360,5,5,6,0.2,0.8110167714884696,diabetes
360,5,5,6,0.2,0.9999676445211388,banknotes
360,5,5,6,0.2,0.6471904761904762,credit
360,5,5,6,0.2,0.9759897219635011,spambase
90,10,7,5,log2,0.811807826694619,diabetes
90,10,7,5,log2,0.9999353595335172,banknotes
90,10,7,5,log2,0.6272380952380953,credit
90,10,7,5,log2,0.9761202040576356,spambase
200,12,4,10,0.4,0.8085101327742837,diabetes
200,12,4,10,0.4,0.9999784296807593,banknotes
200,12,4,10,0.4,0.6321904761904762,credit
200,12,4,10,0.4,0.9745338010817999,spambase
260,9,8,1,sqrt,0.8171125087351502,diabetes
260,9,8,1,sqrt,0.9999245743738967,banknotes
260,9,8,1,sqrt,0.6251904761904761,credit
260,9,8,1,sqrt,0.97627705996012,spambase
130,8,6,9,0.2,0.8163892382948987,diabetes
130,8,6,9,0.2,0.9999568593615186,banknotes
130,8,6,9,0.2,0.622595238095238,credit
130,8,6,9,0.2,0.9756809881500317,spambase
390,5,9,8,0.4,0.8039406009783369,diabetes
390,5,9,8,0.4,0.9999784296807593,banknotes
390,5,9,8,0.4,0.636095238095238,credit
390,5,9,8,0.4,0.9751365558216039,spambase
150,4,9,7,log2,0.8176240391334731,diabetes
150,4,9,7,log2,0.9999352890422777,banknotes
150,4,9,7,log2,0.6527857142857143,credit
150,4,9,7,log2,0.9749381729170914,spambase
390,3,9,10,0.4,0.8102529699510832,diabetes
390,3,9,10,0.4,0.9999784296807593,banknotes
390,3,9,10,0.4,0.6472619047619049,credit
390,3,9,10,0.4,0.9755406883381973,spambase
390,4,9,7,log2,0.8023375262054507,diabetes
390,4,9,7,log2,0.9999245743738967,banknotes
390,4,9,7,log2,0.6363571428571428,credit
390,4,9,7,log2,0.97609776940734,spambase
390,3,9,10,log2,0.8108343815513626,diabetes
390,3,9,10,log2,0.9999137892142764,banknotes
390,3,9,10,log2,0.6442857142857144,credit
390,3,9,10,log2,0.9754825614251889,spambase
390,4,9,7,0.4,0.805848357791754,diabetes
390,4,9,7,0.4,0.9999568593615186,banknotes
390,4,9,7,0.4,0.6364285714285713,credit
390,4,9,7,0.4,0.9755510435472512,spambase
390,5,9,7,log2,0.803020964360587,diabetes
390,5,9,7,log2,0.9999353595335172,banknotes
390,5,9,7,log2,0.6394047619047619,credit
390,5,9,7,log2,0.9762046368926175,spambase
390,5,9,8,log2,0.8071146051712089,diabetes
390,5,9,8,log2,0.9999461446931376,banknotes
390,5,9,8,log2,0.6340714285714286,credit
390,5,9,8,log2,0.9756940950319711,spambase
170,3,10,10,0.2,0.8253899371069181,diabetes
170,3,10,10,0.2,0.9999784296807592,banknotes
170,3,10,10,0.2,0.6579285714285714,credit
170,3,10,10,0.2,0.9744710205706506,spambase
170,3,10,9,0.2,0.8320719776380155,diabetes
170,3,10,9,0.2,0.9998705780845556,banknotes
170,3,10,9,0.2,0.6553333333333333,credit
170,3,10,9,0.2,0.9744373363377928,spambase
170,3,10,7,0.2,0.8308812019566737,diabetes
170,3,10,7,0.2,0.9999676445211388,banknotes
170,3,10,7,0.2,0.6628571428571429,credit
170,3,10,7,0.2,0.9736673101144389,spambase
180,10,6,4,sqrt,0.8146995108315863,diabetes
180,10,6,4,sqrt,0.9999460742018982,banknotes
180,10,6,4,sqrt,0.6339285714285714,credit
180,10,6,4,sqrt,0.976666609177488,spambase
100,5,3,3,0.2,0.8282459818308874,diabetes
100,5,3,3,0.2,0.9999352890422777,banknotes
100,5,3,3,0.2,0.6400476190476191,credit
100,5,3,3,0.2,0.9735946784320959,spambase
380,9,3,7,0.2,0.8104919636617749,diabetes
380,9,3,7,0.2,0.9999784296807593,banknotes
380,9,3,7,0.2,0.6234285714285714,credit
380,9,3,7,0.2,0.9754666071472922,spambase
170,3,10,8,0.2,0.8299741439552761,diabetes
170,3,10,8,0.2,0.9999676445211388,banknotes
170,3,10,8,0.2,0.6467857142857143,credit
170,3,10,8,0.2,0.9736893384576941,spambase
150,14,4,8,0.4,0.8087617051013277,diabetes
150,14,4,8,0.4,0.9999892148403797,banknotes
150,14,4,8,0.4,0.638452380952381,credit
150,14,4,8,0.4,0.9741581070904705,spambase
60,12,9,2,0.4,0.8081621243885395,diabetes
60,12,9,2,0.4,0.9999570003439973,banknotes
60,12,9,2,0.4,0.6316904761904761,credit
60,12,9,2,0.4,0.9710518387493062,spambase
100,13,2,6,0.2,0.8148770090845561,diabetes
100,13,2,6,0.2,0.9999245038826574,banknotes
100,13,2,6,0.2,0.6277857142857142,credit
100,13,2,6,0.2,0.974113530294319,spambase
