mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,dataset
2.9156617164611816,0.8686781917024077,0.018604373931884764,0.003035751052517789,270,7,1,log2,9,"{'model__n_estimators': 270, 'model__min_samples_split': 7, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': 9}",0.8,0.7811111111111111,0.8059259259259259,0.8815094339622642,0.8062264150943397,0.8149545772187281,0.03451453575627974,39,diabetes
0.4982902050018311,0.1488027395643188,0.011557817459106445,0.0016786927984087526,100,5,7,0.2,8,"{'model__n_estimators': 100, 'model__min_samples_split': 5, 'model__min_samples_leaf': 7, 'model__max_features': 0.2, 'model__max_depth': 8}",0.7977777777777778,0.775,0.83,0.8720754716981132,0.8175471698113208,0.8184800838574423,0.032634789913855024,20,diabetes
0.9652493953704834,0.2821378623787551,0.014486455917358398,0.0029659480702865686,160,10,8,sqrt,10,"{'model__n_estimators': 160, 'model__min_samples_split': 10, 'model__min_samples_leaf': 8, 'model__max_features': 'sqrt', 'model__max_depth': 10}",0.7944444444444445,0.7835185185185185,0.7953703703703704,0.8667924528301887,0.8015094339622642,0.8083270440251573,0.029801841335185004,81,diabetes
3.2514687061309813,1.007704728652901,0.01784543991088867,0.0045513868416211635,340,8,5,log2,10,"{'model__n_estimators': 340, 'model__min_samples_split': 8, 'model__min_samples_leaf': 5, 'model__max_features': 'log2', 'model__max_depth': 10}",0.802962962962963,0.7753703703703704,0.7948148148148148,0.8775471698113206,0.8037735849056604,0.8108937805730259,0.03486177036106209,64,diabetes
1.514334011077881,0.4337998841482229,0.016022586822509767,0.0030723703700626173,360,5,6,0.2,6,"{'model__n_estimators': 360, 'model__min_samples_split': 5, 'model__min_samples_leaf': 6, 'model__max_features': 0.2, 'model__max_depth': 6}",0.7940740740740742,0.7646296296296297,0.8155555555555556,0.8752830188679245,0.8007547169811321,0.8100593990216632,0.03657950243254656,70,diabetes
5.477770900726318,2.403034330591471,0.03631587028503418,0.03543575968405254,250,2,2,log2,12,"{'model__n_estimators': 250, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': 12}",0.7966666666666667,0.772962962962963,0.8027777777777778,0.8813207547169811,0.8162264150943396,0.8139909154437456,0.036462204135293184,47,diabetes
0.5981976985931396,0.014569912640298027,0.01082916259765625,0.0006203878920457422,120,6,10,sqrt,11,"{'model__n_estimators': 120, 'model__min_samples_split': 6, 'model__min_samples_leaf': 10, 'model__max_features': 'sqrt', 'model__max_depth': 11}",0.7929629629629631,0.7751851851851852,0.8022222222222222,0.8660377358490566,0.8037735849056603,0.8080363382250175,0.03073285549679607,82,diabetes
0.462222957611084,0.16294037910296985,0.014009189605712891,0.005762013448837188,30,8,3,sqrt,13,"{'model__n_estimators': 30, 'model__min_samples_split': 8, 'model__min_samples_leaf': 3, 'model__max_features': 'sqrt', 'model__max_depth': 13}",0.8092592592592593,0.7781481481481481,0.8161111111111111,0.8654716981132076,0.799811320754717,0.8137603074772887,0.028853608983823813,50,diabetes
0.3104849338531494,0.11191428957699742,0.011965513229370117,0.002634555302962598,30,8,4,log2,8,"{'model__n_estimators': 30, 'model__min_samples_split': 8, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 8}",0.783888888888889,0.7725925925925926,0.8140740740740741,0.8656603773584906,0.8056603773584905,0.8083752620545074,0.03225341345459186,80,diabetes
0.23693103790283204,0.007637864717934673,0.01113595962524414,0.0021091447231842138,90,5,2,sqrt,4,"{'model__n_estimators': 90, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 4}",0.8227777777777778,0.7862962962962963,0.8314814814814815,0.889056603773585,0.8316981132075472,0.8322620545073376,0.03295254340227256,4,diabetes
