dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__eta,param_model__max_depth,param_model__min_child_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.7384326457977295,0.019863779064396077,0.02900385856628418,0.0046258815076051785,3.963066389815045,0.012058449429580245,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.012058449429580245, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9111662843259671,0.9158656871001152,0.9014044971009862,0.8908005923860962,0.8997831789451269,0.9038040479716584,0.00883969175794017,197
0,0.6713715553283691,0.0228256319841067,0.027291107177734374,0.005388504177649153,3.963066389815045,0.10699098521619943,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.10699098521619943, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9338308602181761,0.9289136684380173,0.9128940771069877,0.899168529972607,0.9236867322937539,0.9196987736059083,0.012396199186561669,66
0,0.7102621078491211,0.013044313680357222,0.03307862281799316,0.009695566739240581,3.963066389815045,0.09324426408004217,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.09324426408004217, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9417874185711106,0.9277714860953818,0.9093320169197858,0.9001074425762987,0.9234157059751623,0.9204828140275477,0.014526588094671451,33
0,0.761563491821289,0.01706361587903369,0.027914047241210938,0.0012920306729684557,3.963066389815045,0.031233911067827615,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.031233911067827615, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9300171327351395,0.9240061561692365,0.9070379727231369,0.8941497033229762,0.9196019784921257,0.9149625886885231,0.01285243231779693,150
0,0.7662256240844727,0.022948958587229965,0.02858762741088867,0.0015615235742640443,3.963066389815045,0.028182496720710062,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.028182496720710062, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.928352256778078,0.9224913126385379,0.9060313035397972,0.8934430989923627,0.9176176786595813,0.9135871301216714,0.01246122994301734,159
0,0.7529749870300293,0.02262762456532436,0.02824568748474121,0.001240777537804415,3.963066389815045,0.02834045098534338,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.02834045098534338, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9273649466174948,0.9213926880971048,0.9059248289146364,0.8940141901636806,0.9181500517853858,0.9133693411156605,0.011942770992867426,161
0,0.7947442531585693,0.03224810807195055,0.03537321090698242,0.004425802210377608,3.963066389815045,0.04042422429595378,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.04042422429595378, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9340922070253894,0.9249837868184414,0.9077929746106417,0.894803070341009,0.9195342219124779,0.916241252141592,0.01368869011195783,132
0,0.7677033424377442,0.03166155311828238,0.031599998474121094,0.0022622716413152172,3.963066389815045,0.062475643163223786,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.062475643163223786, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9387190134642003,0.9295718752117393,0.9086544511233072,0.8978037188682715,0.9223703187463097,0.9194238754827655,0.014610800451696599,81
0,0.7791792392730713,0.015108809569996051,0.02989811897277832,0.0027620989375261957,3.963066389815045,0.05319450186421158,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.05319450186421158, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9356893264028032,0.9264841110820725,0.9089157979305205,0.8970971145376581,0.9211313412898917,0.9178635382485891,0.0135207836056537,110
0,0.758281135559082,0.011000459055974604,0.028795433044433594,0.0020872419692882227,3.963066389815045,0.039122914019804195,12,1,"{'model__alpha': 3.963066389815045, 'model__eta': 0.039122914019804195, 'model__max_depth': 12, 'model__min_child_weight': 1}",0.9339470143547153,0.9245191702722847,0.9086931691688205,0.8934382592366737,0.920957110085083,0.9163109446235154,0.014008447573123254,131
