dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_features,param_model__max_samples,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,3.685015058517456,0.03910298639881863,0.08977308273315429,0.005002843499306582,0.49816568848070625,0.738105348394507,150,478,"{'model__max_features': 0.49816568848070625, 'model__max_samples': 0.738105348394507, 'model__min_samples_leaf': 150, 'model__n_estimators': 478}",0.8841846463590517,0.8698299309850839,0.8767314225977872,0.837839145879916,0.8628703623041108,0.8662911016251899,0.015892877660296865,119
0,4.925617122650147,0.054120941225830034,0.09587483406066895,0.0042879460761202914,0.49816568848070625,0.738105348394507,53,478,"{'model__max_features': 0.49816568848070625, 'model__max_samples': 0.738105348394507, 'model__min_samples_leaf': 53, 'model__n_estimators': 478}",0.9166400480103764,0.8941448635672871,0.8883177977175712,0.8674971687429218,0.900262314758351,0.8933724385593015,0.016028272933215695,44
0,8.76705322265625,0.11032974694528788,0.12651901245117186,0.004055468233960534,0.49816568848070625,0.738105348394507,2,478,"{'model__max_features': 0.49816568848070625, 'model__max_samples': 0.738105348394507, 'model__min_samples_leaf': 2, 'model__n_estimators': 478}",0.9337340651043935,0.9422810736514021,0.9108129821606605,0.9159528027025194,0.9288459118583694,0.926325367095469,0.011524328199420834,2
0,4.179727697372437,0.08166629736657875,0.09317531585693359,0.004826178686100539,0.49816568848070625,0.738105348394507,88,478,"{'model__max_features': 0.49816568848070625, 'model__max_samples': 0.738105348394507, 'model__min_samples_leaf': 88, 'model__n_estimators': 478}",0.903214565728722,0.8803225213191238,0.8772734752349701,0.8520680276059664,0.8804483549670412,0.8786653889711648,0.016235419244816845,69
0,3.1621899127960207,0.056438289881019954,0.08147711753845215,0.0015799882088810156,0.49816568848070625,0.738105348394507,236,478,"{'model__max_features': 0.49816568848070625, 'model__max_samples': 0.738105348394507, 'model__min_samples_leaf': 236, 'model__n_estimators': 478}",0.8608086263805405,0.855659126327303,0.8597632391516876,0.8206967312290075,0.8450794203908587,0.8484014286958794,0.014928425684168212,191
0,3.59390549659729,0.0734223072255789,0.08827881813049317,0.002156124256384049,0.49816568848070625,0.738105348394507,158,478,"{'model__max_features': 0.49816568848070625, 'model__max_samples': 0.738105348394507, 'model__min_samples_leaf': 158, 'model__n_estimators': 478}",0.8816292553551897,0.868523196949018,0.8746212891173254,0.8350514466029755,0.8604795229936791,0.8640609422036375,0.016090094281286216,123
0,5.323839330673218,0.08952098782263337,0.10129380226135254,0.004065119943858661,0.49816568848070625,0.738105348394507,38,478,"{'model__max_features': 0.49816568848070625, 'model__max_samples': 0.738105348394507, 'model__min_samples_leaf': 38, 'model__n_estimators': 478}",0.9189147331842689,0.8985490412443979,0.8909312657897029,0.8744664169352732,0.9053730967660752,0.8976469107839437,0.014800427301985993,31
0,3.7696749210357665,0.058553187982089826,0.09531850814819336,0.005333308985624681,0.49816568848070625,0.738105348394507,130,478,"{'model__max_features': 0.49816568848070625, 'model__max_samples': 0.738105348394507, 'model__min_samples_leaf': 130, 'model__n_estimators': 478}",0.8898665195380937,0.8725014761254852,0.8764507167678175,0.844508329219541,0.8674100531405174,0.8701474189582908,0.014825465728606073,108
0,3.359362554550171,0.04081042106461902,0.08999290466308593,0.004399823621801174,0.49816568848070625,0.738105348394507,192,478,"{'model__max_features': 0.49816568848070625, 'model__max_samples': 0.738105348394507, 'model__min_samples_leaf': 192, 'model__n_estimators': 478}",0.8701880729060797,0.859046955309696,0.8652999196600556,0.8298535489928469,0.8499675736368828,0.8548712141011123,0.01421780668879173,146
0,3.363385772705078,0.06776182291918915,0.08506388664245605,0.001635338588686785,0.49816568848070625,0.738105348394507,188,478,"{'model__max_features': 0.49816568848070625, 'model__max_samples': 0.738105348394507, 'model__min_samples_leaf': 188, 'model__n_estimators': 478}",0.8703235860653754,0.8597922776858224,0.8652708811259208,0.8269303365566107,0.850887127217818,0.8546408417303095,0.01528035319917649,147
0,6.1160886764526365,0.11191606987598675,0.11667065620422364,0.012316588669488815,0.49816568848070625,0.738105348394507,21,478,"{'model__max_features': 0.49816568848070625, 'model__max_samples': 0.738105348394507, 'model__min_samples_leaf': 21, 'model__n_estimators': 478}",0.9259614174676462,0.9088190028167378,0.8978908344706761,0.8833328493577643,0.912468178606344,0.9056944565438336,0.014334111751229929,19
0,3.6123298168182374,0.15324667030069758,0.08951592445373535,0.005641995356991158,0.49816568848070625,0.738105348394507,161,478,"{'model__max_features': 0.49816568848070625, 'model__max_samples': 0.738105348394507, 'model__min_samples_leaf': 161, 'model__n_estimators': 478}",0.8783575805093359,0.8668002439236868,0.8742728267077078,0.835109523671245,0.8578660549215475,0.8624812459467046,0.015364011768002636,126
