dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__criterion,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,params_str
0,0.1083263874053955,0.009603118658529863,0.018820762634277344,0.0038541730304289435,gini,29,10,58,"{'model__criterion': 'gini', 'model__max_depth': 29, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}",0.8610844924548209,0.9043615878270466,0.8473202272749272,0.8655661062229578,0.8630929910658109,0.8682850809691127,0.019116686604511258,64,"{'model__criterion': 'gini', 'model__max_depth': 29, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}"
0,0.09272146224975586,0.009773755596951449,0.016753959655761718,0.0027582428610918473,gini,12,10,58,"{'model__criterion': 'gini', 'model__max_depth': 12, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}",0.8584081075587304,0.9045696973216792,0.8364840142869587,0.8636495629700611,0.8723417641877438,0.8670906292650347,0.022164146548938536,136,"{'model__criterion': 'gini', 'model__max_depth': 12, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}"
0,0.09236016273498535,0.008218196683016953,0.021460819244384765,0.0055823892989017064,gini,25,10,58,"{'model__criterion': 'gini', 'model__max_depth': 25, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}",0.8610844924548209,0.9043615878270466,0.8478284016222861,0.8655661062229578,0.862328309666928,0.868233779558808,0.01905099126431402,77,"{'model__criterion': 'gini', 'model__max_depth': 25, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}"
0,0.10864934921264649,0.009825648394683889,0.014864587783813476,0.002646630085753102,gini,17,10,58,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}",0.8615684680237342,0.9028951418532392,0.8473202272749272,0.8734210297064204,0.8630929910658109,0.8696595715848264,0.018581625004355066,35,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}"
0,0.09535703659057618,0.00789017921749929,0.01727156639099121,0.0026064861793860515,gini,27,10,58,"{'model__criterion': 'gini', 'model__max_depth': 27, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}",0.8610844924548209,0.9043615878270466,0.8475380162809382,0.8655661062229578,0.862328309666928,0.8681757024905383,0.019113448903622196,97,"{'model__criterion': 'gini', 'model__max_depth': 27, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}"
0,0.0985107421875,0.005144055905020882,0.015269184112548828,0.0043074483194774065,gini,27,10,58,"{'model__criterion': 'gini', 'model__max_depth': 27, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}",0.8610844924548209,0.9043615878270466,0.8478284016222861,0.8655661062229578,0.862328309666928,0.868233779558808,0.01905099126431402,77,"{'model__criterion': 'gini', 'model__max_depth': 27, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}"
0,0.08103623390197753,0.00553919222608491,0.019101905822753906,0.004781566686455919,gini,10,10,58,"{'model__criterion': 'gini', 'model__max_depth': 10, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}",0.851540494235851,0.8957710214788359,0.8680440611357939,0.863567287123346,0.8732709972800574,0.8704387722507768,0.014559129168182687,9,"{'model__criterion': 'gini', 'model__max_depth': 10, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}"
0,0.09291720390319824,0.00897577919351457,0.018650007247924805,0.0033314578249625123,gini,28,10,58,"{'model__criterion': 'gini', 'model__max_depth': 28, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}",0.8610844924548209,0.9043615878270466,0.8473202272749272,0.8655661062229578,0.862328309666928,0.8681321446893362,0.019160620621105698,109,"{'model__criterion': 'gini', 'model__max_depth': 28, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}"
0,0.09549407958984375,0.006822053871815461,0.024204349517822264,0.011518706903000752,gini,28,10,58,"{'model__criterion': 'gini', 'model__max_depth': 28, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}",0.8610844924548209,0.9043615878270466,0.8473202272749272,0.8655661062229578,0.8630929910658109,0.8682850809691127,0.019116686604511258,64,"{'model__criterion': 'gini', 'model__max_depth': 28, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}"
0,0.09103536605834961,0.0051164570792381426,0.01777348518371582,0.006321459816748732,gini,16,10,58,"{'model__criterion': 'gini', 'model__max_depth': 16, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}",0.8583548702461501,0.9034178354676656,0.8486705191121953,0.8774719052182246,0.8630929910658109,0.8702016242220093,0.019029663200612848,21,"{'model__criterion': 'gini', 'model__max_depth': 16, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}"
