params,scores
"OrderedDict([('classifier__alpha', 1.1523043683223135e-05), ('classifier__booster', 'gblinear'), ('classifier__colsample_bylevel', 0.2721936297141901), ('classifier__colsample_bytree', 0.6002013298652972), ('classifier__eta', 6.7939045173417725e-09), ('classifier__lambda', 0.03967319691386847), ('classifier__max_depth', 1), ('classifier__min_child_weight', 1059394.5063027989), ('classifier__n_estimators', 136), ('classifier__subsample', 0.318016452351745)])",0.70125
"OrderedDict([('classifier__alpha', 1e-05), ('classifier__booster', 'gblinear'), ('classifier__colsample_bylevel', 1.0), ('classifier__colsample_bytree', 0.0), ('classifier__eta', 1.0), ('classifier__lambda', 1e-05), ('classifier__max_depth', 1), ('classifier__min_child_weight', 1.0), ('classifier__n_estimators', 500), ('classifier__subsample', 1.0)])",0.7125
"OrderedDict([('classifier__alpha', 3.384770351578858e-05), ('classifier__booster', 'gblinear'), ('classifier__colsample_bylevel', 0.6535372242164402), ('classifier__colsample_bytree', 0.8966497659164467), ('classifier__eta', 0.5826337150708996), ('classifier__lambda', 1.268066456945829e-05), ('classifier__max_depth', 7), ('classifier__min_child_weight', 5.688202635175348), ('classifier__n_estimators', 490), ('classifier__subsample', 0.9856717561795791)])",0.7125
"OrderedDict([('classifier__alpha', 0.00011922612549147867), ('classifier__booster', 'gblinear'), ('classifier__colsample_bylevel', 1.0), ('classifier__colsample_bytree', 0.08612352332173315), ('classifier__eta', 1.0), ('classifier__lambda', 0.0014381938834496764), ('classifier__max_depth', 1), ('classifier__min_child_weight', 10000000.0), ('classifier__n_estimators', 80), ('classifier__subsample', 0.776488388715283)])",0.71875
"OrderedDict([('classifier__alpha', 0.06966268366235209), ('classifier__booster', 'gblinear'), ('classifier__colsample_bylevel', 0.5939668503810752), ('classifier__colsample_bytree', 0.7032237011789814), ('classifier__eta', 4.4236544614724075e-10), ('classifier__lambda', 0.002006339682064407), ('classifier__max_depth', 8), ('classifier__min_child_weight', 2746.986026942666), ('classifier__n_estimators', 342), ('classifier__subsample', 0.1459824991246405)])",0.70125
"OrderedDict([('classifier__alpha', 0.9868214391100716), ('classifier__booster', 'dart'), ('classifier__colsample_bylevel', 0.14122536668054433), ('classifier__colsample_bytree', 0.13820739733450318), ('classifier__eta', 0.0008677185667282452), ('classifier__lambda', 0.005508254016626139), ('classifier__max_depth', 2), ('classifier__min_child_weight', 38.90443108433659), ('classifier__n_estimators', 246), ('classifier__subsample', 0.7616003733471617)])",0.70125
"OrderedDict([('classifier__alpha', 1.540955940318931e-05), ('classifier__booster', 'gblinear'), ('classifier__colsample_bylevel', 0.22993385733543964), ('classifier__colsample_bytree', 0.8759485669500846), ('classifier__eta', 0.6189627807381984), ('classifier__lambda', 2.225153490491141e-05), ('classifier__max_depth', 8), ('classifier__min_child_weight', 4151559.9514997215), ('classifier__n_estimators', 500), ('classifier__subsample', 0.14266985981018754)])",0.7125
"OrderedDict([('classifier__alpha', 0.10379690846405941), ('classifier__booster', 'gbtree'), ('classifier__colsample_bylevel', 0.7848844001056516), ('classifier__colsample_bytree', 0.2957461910097466), ('classifier__eta', 3.8016298579734555e-05), ('classifier__lambda', 0.03167001394416503), ('classifier__max_depth', 3), ('classifier__min_child_weight', 3136974.8965184176), ('classifier__n_estimators', 228), ('classifier__subsample', 0.5072400517091541)])",0.70125
"OrderedDict([('classifier__alpha', 1.0271610117794674e-05), ('classifier__booster', 'gblinear'), ('classifier__colsample_bylevel', 0.9194188137824304), ('classifier__colsample_bytree', 0.3472522353976077), ('classifier__eta', 0.500869053555244), ('classifier__lambda', 4.292874290360402e-05), ('classifier__max_depth', 3), ('classifier__min_child_weight', 3.516621608340467), ('classifier__n_estimators', 179), ('classifier__subsample', 0.10582852690851044)])",0.7125
"OrderedDict([('classifier__alpha', 6.150036439612266), ('classifier__booster', 'dart'), ('classifier__colsample_bylevel', 0.4272179216090659), ('classifier__colsample_bytree', 0.9384918692986759), ('classifier__eta', 3.023760375765181e-08), ('classifier__lambda', 0.014167502321864589), ('classifier__max_depth', 8), ('classifier__min_child_weight', 883220.5004966282), ('classifier__n_estimators', 211), ('classifier__subsample', 0.16945963306531348)])",0.70125
"OrderedDict([('classifier__alpha', 5.389019140783886), ('classifier__booster', 'dart'), ('classifier__colsample_bylevel', 0.13074710879353182), ('classifier__colsample_bytree', 0.30158263056140616), ('classifier__eta', 1.8985450773963847e-07), ('classifier__lambda', 3.2396146839071305), ('classifier__max_depth', 7), ('classifier__min_child_weight', 2009213.4434190595), ('classifier__n_estimators', 468), ('classifier__subsample', 0.6776825982994558)])",0.70125
"OrderedDict([('classifier__alpha', 1.141986778958293e-05), ('classifier__booster', 'gblinear'), ('classifier__colsample_bylevel', 0.515367683643696), ('classifier__colsample_bytree', 0.7216663623482613), ('classifier__eta', 0.037145940226520346), ('classifier__lambda', 0.001852797330744433), ('classifier__max_depth', 1), ('classifier__min_child_weight', 1159209.8999155238), ('classifier__n_estimators', 495), ('classifier__subsample', 0.9081425046349006)])",0.71875
"OrderedDict([('classifier__alpha', 1.832243073128946e-05), ('classifier__booster', 'gbtree'), ('classifier__colsample_bylevel', 0.8088585481994089), ('classifier__colsample_bytree', 0.000950798886745541), ('classifier__eta', 1.8798379715137128e-08), ('classifier__lambda', 3.511958203053538), ('classifier__max_depth', 3), ('classifier__min_child_weight', 2977628.9681447963), ('classifier__n_estimators', 379), ('classifier__subsample', 0.22821723617082929)])",0.70125
"OrderedDict([('classifier__alpha', 2.542968738393266), ('classifier__booster', 'gblinear'), ('classifier__colsample_bylevel', 0.10818256684559394), ('classifier__colsample_bytree', 0.2643744750907066), ('classifier__eta', 0.028803643285545872), ('classifier__lambda', 0.3282723880277627), ('classifier__max_depth', 9), ('classifier__min_child_weight', 808638.3520342931), ('classifier__n_estimators', 324), ('classifier__subsample', 0.6665804348579037)])",0.70125
"OrderedDict([('classifier__alpha', 1e-05), ('classifier__booster', 'gblinear'), ('classifier__colsample_bylevel', 0.0), ('classifier__colsample_bytree', 1.0), ('classifier__eta', 1.0), ('classifier__lambda', 1e-05), ('classifier__max_depth', 10), ('classifier__min_child_weight', 1.0), ('classifier__n_estimators', 1), ('classifier__subsample', 1.0)])",0.7074999999999999
"OrderedDict([('classifier__alpha', 1e-05), ('classifier__booster', 'gbtree'), ('classifier__colsample_bylevel', 0.0), ('classifier__colsample_bytree', 1.0), ('classifier__eta', 1.0), ('classifier__lambda', 1e-05), ('classifier__max_depth', 1), ('classifier__min_child_weight', 1.0), ('classifier__n_estimators', 1), ('classifier__subsample', 0.1)])",0.70625
"OrderedDict([('classifier__alpha', 4.871335291612833), ('classifier__booster', 'dart'), ('classifier__colsample_bylevel', 0.7084292936785251), ('classifier__colsample_bytree', 0.6847469398805486), ('classifier__eta', 1.2164476594251781e-09), ('classifier__lambda', 0.09343027352311617), ('classifier__max_depth', 5), ('classifier__min_child_weight', 18448.450508990332), ('classifier__n_estimators', 129), ('classifier__subsample', 0.1265835854563702)])",0.70125
"OrderedDict([('classifier__alpha', 68.47907325700433), ('classifier__booster', 'gblinear'), ('classifier__colsample_bylevel', 0.9326930251309296), ('classifier__colsample_bytree', 0.8609978060922623), ('classifier__eta', 3.569278924385836e-06), ('classifier__lambda', 0.0031715581122930808), ('classifier__max_depth', 7), ('classifier__min_child_weight', 9606793.192037543), ('classifier__n_estimators', 5), ('classifier__subsample', 0.9572900334487362)])",0.70125
"OrderedDict([('classifier__alpha', 2.8553954588684576), ('classifier__booster', 'gblinear'), ('classifier__colsample_bylevel', 0.9689794780533112), ('classifier__colsample_bytree', 0.17718819586607218), ('classifier__eta', 1.0008405440986812e-06), ('classifier__lambda', 0.002639902629656968), ('classifier__max_depth', 4), ('classifier__min_child_weight', 27.65839953817631), ('classifier__n_estimators', 320), ('classifier__subsample', 0.6112613676465506)])",0.70125
"OrderedDict([('classifier__alpha', 0.0007147205895803304), ('classifier__booster', 'dart'), ('classifier__colsample_bylevel', 0.9995751850969008), ('classifier__colsample_bytree', 0.8107920908070119), ('classifier__eta', 0.0019920787667973023), ('classifier__lambda', 1.5916258436251107), ('classifier__max_depth', 6), ('classifier__min_child_weight', 89.1747455807037), ('classifier__n_estimators', 45), ('classifier__subsample', 0.6591240151653357)])",0.70125
"OrderedDict([('classifier__alpha', 0.2673670376467119), ('classifier__booster', 'gblinear'), ('classifier__colsample_bylevel', 0.34967299058031215), ('classifier__colsample_bytree', 0.8446128244494916), ('classifier__eta', 1.2875323531436889e-05), ('classifier__lambda', 1.236004755616662e-05), ('classifier__max_depth', 3), ('classifier__min_child_weight', 201.28360924777704), ('classifier__n_estimators', 170), ('classifier__subsample', 0.2175419590347415)])",0.70125
"OrderedDict([('classifier__alpha', 0.0006953740237480562), ('classifier__booster', 'gbtree'), ('classifier__colsample_bylevel', 0.7457082984251556), ('classifier__colsample_bytree', 0.5911921913172057), ('classifier__eta', 3.923200992520196e-08), ('classifier__lambda', 0.09531333732873423), ('classifier__max_depth', 3), ('classifier__min_child_weight', 11480.909817453905), ('classifier__n_estimators', 106), ('classifier__subsample', 0.8535733699086046)])",0.70125
"OrderedDict([('classifier__alpha', 0.3421321709914434), ('classifier__booster', 'gblinear'), ('classifier__colsample_bylevel', 0.06378043680161662), ('classifier__colsample_bytree', 0.29110716717277046), ('classifier__eta', 7.848608729200844e-06), ('classifier__lambda', 0.0041306792707250795), ('classifier__max_depth', 5), ('classifier__min_child_weight', 1481436.0454925688), ('classifier__n_estimators', 47), ('classifier__subsample', 0.23399386648280926)])",0.70125
"OrderedDict([('classifier__alpha', 1e-05), ('classifier__booster', 'gblinear'), ('classifier__colsample_bylevel', 1.0), ('classifier__colsample_bytree', 0.0), ('classifier__eta', 1.0), ('classifier__lambda', 1e-05), ('classifier__max_depth', 1), ('classifier__min_child_weight', 1.0), ('classifier__n_estimators', 1), ('classifier__subsample', 0.1)])",0.7074999999999999
"OrderedDict([('classifier__alpha', 0.22266629020239953), ('classifier__booster', 'gbtree'), ('classifier__colsample_bylevel', 0.54545549817027), ('classifier__colsample_bytree', 0.6034399276337853), ('classifier__eta', 0.004127948052720431), ('classifier__lambda', 0.006782155208158267), ('classifier__max_depth', 9), ('classifier__min_child_weight', 169746.85248572088), ('classifier__n_estimators', 473), ('classifier__subsample', 0.2517446863147098)])",0.70125
