model__n_estimators,model__min_samples_split,model__min_samples_leaf,model__max_features,model__max_depth,model__criterion,model__bootstrap,Combination_ID,Score,Dataset
64,2,4,0.8,9,gini,False,37,0.9624225918147954,car
128,16,4,0.9,15,entropy,True,38,0.9642555751393784,car
256,4,8,0.2,11,log_loss,False,39,0.9621234905872647,car
256,2,4,0.4,15,entropy,True,40,0.9633518337958448,car
32,16,8,0.7,1,entropy,False,41,0.9071582102052552,car
512,16,2,0.5,7,entropy,True,42,0.9625643141078527,car
32,2,1,1.0,15,log_loss,True,43,0.9511795294882371,car
64,2,1,1.0,9,log_loss,False,44,0.9089931623290584,car
512,16,2,0.9,12,log_loss,False,45,0.9628042576064401,car
128,16,1,0.4,10,entropy,True,46,0.9622401185029625,car
128,16,8,0.2,9,log_loss,False,47,0.9625219380484512,car
32,16,2,0.3,7,entropy,False,48,0.9613038763469087,car
128,16,2,1.0,6,gini,False,49,0.9472946198654966,car
128,8,1,0.2,13,gini,True,50,0.9624246543663593,car
256,16,8,0.2,13,gini,False,51,0.9603394459861496,car
64,8,1,0.1,15,log_loss,False,52,0.9576871921798045,car
128,16,1,0.2,8,log_loss,False,53,0.9622009925248132,car
32,4,2,0.4,2,gini,False,54,0.9290290694767368,car
64,4,4,0.8,11,log_loss,True,55,0.9661231843296082,car
512,8,1,0.5,15,gini,True,56,0.9619027975699392,car
128,16,8,0.5,6,gini,False,57,0.960883272081802,car
64,16,4,0.3,2,gini,True,58,0.9351961924048101,car
64,8,8,0.5,10,entropy,False,59,0.9622158366459161,car
128,4,4,0.1,15,entropy,True,60,0.9630452323808095,car
32,2,8,0.4,1,log_loss,True,61,0.9182600815020375,car
256,4,8,0.6,12,gini,True,62,0.9627197242431059,car
32,4,2,0.3,1,entropy,True,63,0.9178196954923873,car
512,2,2,0.7,5,log_loss,False,64,0.9651274406860172,car
512,16,4,0.9,4,gini,False,65,0.95856193279832,car
64,8,1,0.8,11,gini,True,66,0.9632703630090752,car
512,2,4,0.6,3,gini,False,67,0.9426020650516262,car
512,8,1,0.1,5,entropy,False,68,0.9629965436635916,car
256,4,2,0.6,2,log_loss,False,69,0.9259800245006126,car
512,2,2,0.3,2,entropy,False,70,0.9283975849396234,car
512,8,4,1.0,6,gini,False,71,0.9502366934173354,car
256,4,1,0.3,4,gini,True,72,0.9558109890247256,car
128,8,2,0.3,4,log_loss,False,73,0.9592688879721992,car
256,2,4,0.5,10,log_loss,False,74,0.9633142391059776,car
32,16,4,0.4,4,gini,True,75,0.9527150053751344,car
32,8,2,0.3,1,entropy,False,76,0.9051810357758944,car
256,16,4,0.6,7,gini,True,77,0.9607988324708118,car
512,2,8,0.4,5,gini,False,78,0.9605874209355233,car
512,16,2,0.5,12,log_loss,True,79,0.9620965524138104,car
64,4,8,0.5,3,entropy,True,80,0.9462874384359609,car
256,16,1,0.4,3,log_loss,False,81,0.9442221055526389,car
64,4,2,0.9,1,entropy,True,82,0.9215584764619115,car
32,2,2,0.4,4,gini,False,83,0.954861215280382,car
64,2,4,0.5,5,gini,True,84,0.9616000087502187,car
512,8,4,0.6,4,log_loss,True,85,0.9581927360684018,car
32,4,2,0.7,6,log_loss,False,86,0.9620548951223781,car
64,8,1,0.4,6,entropy,False,87,0.9609468361709043,car
128,2,2,0.4,14,entropy,True,88,0.9632710505262633,car
128,8,8,0.5,11,gini,True,89,0.9621246156153903,car
32,16,4,0.2,9,log_loss,True,90,0.9607107677691942,car
64,16,1,0.4,6,entropy,False,91,0.9630910147753694,car
128,2,2,0.1,15,log_loss,True,92,0.9638506587664691,car
32,16,4,0.2,5,log_loss,False,93,0.9633429585739645,car
32,4,1,0.8,14,gini,True,94,0.9603819782994574,car
256,16,4,0.7,1,log_loss,True,95,0.9239272231805794,car
128,8,2,0.3,14,log_loss,False,96,0.9591389472236805,car
32,8,2,0.2,11,gini,True,97,0.9603704155103877,car
64,4,8,0.1,5,log_loss,True,98,0.9608561776544414,car
128,8,2,0.3,7,entropy,False,99,0.9628120703017576,car
32,8,2,0.7,9,gini,True,100,0.9629718867971699,car
64,4,4,0.3,1,gini,True,101,0.917697004925123,car
512,16,4,0.3,15,entropy,True,102,0.9622166804170105,car
64,16,8,0.3,4,entropy,False,103,0.9588657841446038,car
32,16,1,0.6,3,entropy,False,104,0.9422474936873422,car
256,4,2,0.9,8,entropy,False,105,0.9608531463286581,car
64,2,8,0.7,8,entropy,True,106,0.9625606265156629,car
32,8,8,0.9,15,log_loss,False,107,0.9630706080152004,car
512,2,4,0.1,11,entropy,False,108,0.9627031300782519,car
512,8,1,0.1,10,log_loss,False,109,0.9585672454311358,car
128,4,8,0.3,13,log_loss,True,110,0.9601521913047826,car
32,2,8,0.8,10,entropy,False,111,0.9627535375884397,car
256,2,8,0.3,4,log_loss,False,112,0.9601065026625667,car
512,16,4,0.9,13,entropy,True,113,0.9633202705067626,car
32,4,8,0.5,10,gini,False,114,0.9608778969474235,car
512,2,4,0.1,6,log_loss,False,115,0.9644161416535413,car
128,16,8,0.2,9,gini,False,116,0.9582000487512188,car
32,2,4,0.4,2,entropy,False,117,0.9230227005675141,car
256,8,4,0.4,4,gini,True,118,0.9558849283732093,car
256,2,4,0.5,12,log_loss,False,119,0.9626602227555688,car
512,16,1,0.5,3,log_loss,True,120,0.9448874659366484,car
32,4,4,0.2,2,entropy,False,121,0.9198895597389934,car
64,2,8,0.7,9,gini,False,122,0.9617545126128153,car
512,8,8,0.3,13,entropy,True,123,0.9621028025700643,car
128,4,4,0.6,8,entropy,True,124,0.9626923173079328,car
32,4,2,0.7,3,log_loss,True,125,0.9579748556213904,car
128,4,2,0.7,5,entropy,True,126,0.9635736830920772,car
64,16,4,0.5,13,entropy,True,127,0.9609892122303059,car
128,2,2,0.4,11,gini,False,128,0.9582282682067053,car
64,16,1,0.8,15,entropy,True,129,0.9634498362459061,car
32,2,1,0.7,8,log_loss,True,130,0.9634615552888822,car
128,2,4,0.6,9,log_loss,False,131,0.9623290582264558,car
256,8,1,0.8,2,log_loss,False,132,0.9305775456886423,car
64,16,4,0.5,9,gini,True,133,0.9619389234730868,car
64,16,4,0.8,9,entropy,False,134,0.962162616565414,car
512,8,2,0.9,12,gini,True,135,0.9634263044076102,car
256,8,4,0.6,13,entropy,False,136,0.9634367421685542,car
512,16,2,0.5,13,entropy,True,137,0.9626765044126104,car
32,8,1,1.0,7,gini,True,138,0.958760906522663,car
256,4,8,0.7,5,gini,True,139,0.962249212480312,car
32,4,2,1.0,2,entropy,True,140,0.9320998962474062,car
512,16,2,0.8,8,log_loss,False,141,0.964566582914573,car
64,4,4,0.5,14,log_loss,True,142,0.9632856133903346,car
128,4,4,0.4,2,log_loss,False,143,0.9243069826745668,car
32,2,4,0.1,12,log_loss,False,144,0.9607491124778119,car
512,2,8,1.0,8,entropy,False,145,0.9536676229405735,car
32,4,4,0.8,4,entropy,False,146,0.9605963586589664,car
64,16,1,0.3,14,gini,False,147,0.9595899584989626,car
256,8,8,0.2,5,gini,False,148,0.9604741368534212,car
256,2,1,0.6,3,log_loss,False,149,0.9412722193054827,car
256,8,1,1.0,6,entropy,False,150,0.9414535675891896,car
256,16,2,0.7,7,log_loss,False,151,0.9637998449961249,car
512,2,8,0.6,15,entropy,True,152,0.9621272406810171,car
128,8,4,1.0,9,log_loss,False,153,0.940112221555539,car
64,16,1,0.5,4,log_loss,True,154,0.9558049576239407,car
512,8,4,0.1,2,gini,True,155,0.9351031588289707,car
256,2,8,0.3,4,gini,False,156,0.9561265906647667,car
128,8,2,0.3,10,gini,True,157,0.9630242631065776,car
32,2,1,0.7,10,entropy,False,158,0.9490466324158104,car
128,16,8,0.4,14,gini,False,159,0.9598434023350584,car
512,16,4,0.6,4,entropy,False,160,0.9599010287757194,car
512,4,8,0.9,3,log_loss,True,161,0.9592790757268932,car
512,8,4,0.7,5,log_loss,False,162,0.9648777469436736,car
128,4,8,0.1,14,log_loss,False,163,0.961011056526413,car
128,2,2,0.9,6,entropy,False,164,0.9646166154153853,car
256,4,4,0.9,1,entropy,True,165,0.9232506437660941,car
128,2,8,0.7,2,log_loss,True,166,0.938501306282657,car
128,16,2,0.5,2,gini,False,167,0.9291483224580616,car
256,2,2,0.9,10,log_loss,False,168,0.9600262194054849,car
256,2,1,0.2,6,entropy,False,169,0.9625920335508388,car
256,8,4,0.2,8,log_loss,False,170,0.964444736118403,car
256,16,4,0.4,14,log_loss,True,171,0.9611696542413561,car
64,8,2,0.4,14,entropy,True,172,0.9628017575439386,car
512,2,8,0.5,2,log_loss,True,173,0.9335415885397135,car
128,4,2,0.7,8,gini,False,174,0.9603926660666516,car
256,2,8,0.6,5,entropy,False,175,0.9621369909247731,car
256,4,2,0.7,5,entropy,True,176,0.9644277981949548,car
64,8,4,0.3,3,entropy,False,177,0.9388401585039626,car
64,8,1,0.6,4,gini,True,178,0.9548070576764419,car
32,8,1,0.4,11,entropy,False,179,0.953558213955349,car
512,8,2,0.5,14,log_loss,True,180,0.9635509637740943,car
64,8,4,0.3,15,gini,True,181,0.9628085702142553,car
64,8,2,0.7,4,gini,True,182,0.9605932960824021,car
32,8,8,0.1,10,log_loss,False,183,0.962162491562289,car
32,2,4,0.9,11,gini,True,184,0.9641268844221106,car
32,16,1,0.2,15,log_loss,False,185,0.9610419322983074,car
64,8,8,0.9,14,gini,True,186,0.9636551851296282,car
512,2,8,0.9,2,gini,False,187,0.9351811295282383,car
128,2,4,0.3,3,gini,True,188,0.9398210267756694,car
32,16,8,0.2,11,gini,True,189,0.9594880184504614,car
512,2,2,0.3,5,gini,False,190,0.9622226180654517,car
512,8,4,0.1,15,gini,False,191,0.9603073514337859,car
256,16,8,0.4,13,entropy,True,192,0.9614300357508937,car
256,8,8,0.9,1,log_loss,False,193,0.9071582102052552,car
64,4,8,0.9,8,log_loss,True,194,0.9621557413935348,car
64,4,1,0.9,6,entropy,True,195,0.9644762681567038,car
256,2,4,0.6,14,gini,False,196,0.9600587514687867,car
64,8,4,0.5,6,entropy,True,197,0.962910322758069,car
512,4,4,0.6,3,gini,True,198,0.9456626728168205,car
64,16,1,0.6,10,log_loss,True,199,0.9616126028150704,car
128,8,4,0.2,12,entropy,True,200,0.9626297219930499,car
32,16,1,0.4,8,log_loss,True,201,0.961270531763294,car
512,8,8,0.8,2,log_loss,False,202,0.9278079764494113,car
64,16,4,0.8,9,gini,False,203,0.9624636240906023,car
32,2,4,0.3,10,gini,True,204,0.9606879546988675,car
128,2,1,0.4,9,gini,False,205,0.9517835445886148,car
64,8,2,1.0,4,entropy,True,206,0.9630369821745544,car
128,4,4,0.3,5,entropy,False,207,0.9641503850096251,car
32,8,4,0.4,9,log_loss,False,208,0.961708448961224,car
512,16,1,0.7,6,gini,True,209,0.9631632978324457,car
32,16,4,0.9,8,gini,True,210,0.962273681842046,car
32,2,1,0.9,14,entropy,False,211,0.9324775306882671,car
256,2,2,0.3,1,entropy,True,212,0.9149563739093477,car
512,16,1,0.7,7,log_loss,True,213,0.9631434848371209,car
512,8,8,0.1,2,entropy,True,214,0.9329201667541689,car
64,8,8,0.9,11,log_loss,True,215,0.962226586914673,car
512,16,1,1.0,7,gini,True,216,0.9613428773219331,car
64,8,8,0.7,7,entropy,False,217,0.9630970774269357,car
128,4,8,0.6,2,log_loss,False,218,0.9257688317207929,car
512,8,2,0.5,1,entropy,False,219,0.9031172341808547,car
128,16,8,0.2,4,gini,True,220,0.9538935348383709,car
32,2,4,1.0,3,gini,False,221,0.9411334970874273,car
32,2,4,0.8,3,gini,True,222,0.9547333058326458,car
128,16,1,0.7,11,log_loss,False,223,0.9612444373609339,car
32,16,1,0.8,14,gini,False,224,0.9598441523538089,car
128,16,8,0.7,12,entropy,True,225,0.9632797069926747,car
512,4,8,0.6,4,gini,True,226,0.9552604127603189,car
32,16,1,0.5,2,log_loss,False,227,0.920691142278557,car
256,4,2,0.7,3,entropy,False,228,0.9590196629915747,car
128,4,8,0.1,4,gini,False,229,0.9546108027700693,car
256,4,4,0.2,15,entropy,True,230,0.9633132703317583,car
128,4,8,1.0,5,gini,True,231,0.9615010687767193,car
64,8,8,0.6,14,entropy,False,232,0.9629984187104678,car
512,16,8,1.0,13,entropy,True,233,0.9622277119427985,car
512,8,4,0.8,13,gini,False,234,0.9628823220580514,car
64,8,2,0.9,13,log_loss,False,235,0.9591536350908773,car
512,2,8,0.1,11,gini,False,236,0.9605724518112954,car
64,8,1,0.7,13,log_loss,False,237,0.9575607827695691,car
256,16,1,0.1,7,gini,False,238,0.9608994287357184,car
32,4,1,1.0,12,gini,False,239,0.9073448398709968,car
32,8,8,0.8,10,entropy,True,240,0.9630719830495762,car
512,4,8,0.8,7,entropy,True,241,0.9627904447611191,car
256,8,1,0.7,9,gini,True,242,0.9636172779319483,car
256,8,4,0.2,15,gini,False,243,0.9604185104627616,car
64,16,8,0.3,5,gini,True,244,0.9583435835895898,car
32,16,4,0.4,8,gini,True,245,0.9614320045501138,car
256,16,4,0.7,10,entropy,True,246,0.9630632953323833,car
64,4,2,0.5,9,log_loss,True,247,0.9632013612840321,car
128,16,1,0.8,2,entropy,False,248,0.9308830533263333,car
512,2,1,0.6,1,entropy,False,249,0.9064376921923049,car
32,4,4,0.6,8,entropy,False,250,0.9607628628215705,car
32,8,2,0.8,5,gini,False,251,0.9622132428310707,car
32,2,1,0.1,8,gini,True,252,0.9616646978674467,car
512,2,4,1.0,6,gini,False,253,0.9502366934173354,car
512,8,2,0.2,13,gini,False,254,0.9574167166679167,car
32,16,2,0.1,12,entropy,False,255,0.9619710180254506,car
64,8,1,0.7,11,entropy,False,256,0.9586481537038424,car
512,4,2,0.3,9,entropy,True,257,0.9637580627015675,car
512,2,4,0.4,10,gini,False,258,0.961042807320183,car
128,8,4,0.3,1,gini,False,259,0.9039623490587264,car
32,4,1,0.5,10,gini,False,260,0.9519423923098077,car
128,2,1,0.1,15,gini,False,261,0.9327894447361184,car
32,16,8,0.8,11,log_loss,True,262,0.9626780044501112,car
256,4,1,0.1,5,log_loss,False,263,0.9629774181854547,car
256,4,8,0.3,13,log_loss,True,264,0.9614369109227731,car
64,8,8,0.4,9,entropy,True,265,0.9620660516512913,car
32,2,8,0.3,5,gini,True,266,0.9592948886222156,car
64,2,8,0.4,1,gini,True,267,0.915887772194305,car
64,16,2,0.6,12,gini,False,268,0.9589125353133827,car
32,16,8,0.8,8,log_loss,False,269,0.9619128915722892,car
32,2,1,0.9,8,entropy,False,270,0.9602555688892221,car
64,4,4,0.2,8,log_loss,False,271,0.9637412810320258,car
128,8,1,0.2,14,gini,True,272,0.9620856771419285,car
128,2,2,0.7,8,gini,True,273,0.963601246281157,car
64,16,1,1.0,3,entropy,False,274,0.9426522850571265,car
64,2,1,0.4,4,log_loss,True,275,0.959744556113903,car
512,2,2,0.3,14,log_loss,True,276,0.9636450598764968,car
32,4,2,1.0,11,log_loss,True,277,0.9590745081127029,car
256,8,4,0.9,14,entropy,True,278,0.9645002062551565,car
32,4,2,0.7,8,log_loss,False,279,0.9617389497237431,car
32,4,4,0.9,5,entropy,False,280,0.9640218505462635,car
64,8,8,0.8,1,gini,False,281,0.9097973074326858,car
512,8,1,0.1,6,gini,True,282,0.9638714092852322,car
256,8,4,0.9,14,gini,True,283,0.9637021238030951,car
32,8,8,0.6,8,entropy,True,284,0.9590530700767519,car
128,16,1,0.8,15,log_loss,True,285,0.9625376884422111,car
256,16,8,0.2,12,entropy,False,286,0.9625034688367209,car
512,4,1,0.5,14,gini,True,287,0.9620998337458436,car
128,16,4,0.3,12,gini,False,288,0.9609209917747945,car
32,2,1,1.0,8,log_loss,False,289,0.9172207117677943,car
64,8,8,0.7,5,log_loss,True,290,0.9615195379884497,car
256,4,2,0.5,9,entropy,False,291,0.9583558338958474,car
64,2,4,0.3,8,gini,True,292,0.9617372309307733,car
32,8,8,1.0,9,entropy,True,293,0.9611381534538364,car
512,4,1,0.2,3,entropy,False,294,0.9430681392034801,car
256,8,2,0.8,4,entropy,False,295,0.9613011887797195,car
128,8,8,1.0,7,log_loss,True,296,0.9619574864371608,car
128,4,1,0.4,14,gini,True,297,0.962449217480437,car
64,16,8,0.9,11,gini,True,298,0.962001331283282,car
64,16,8,0.9,13,log_loss,False,299,0.9640633203330083,car
256,4,4,1.0,3,gini,True,300,0.9550203442586064,car
