model__n_estimators,model__min_samples_split,model__min_samples_leaf,model__max_features,model__max_depth,model__criterion,model__bootstrap,Combination_ID,Score,Dataset
128,16,1,0.4,10,entropy,True,46,0.9997225879219459,banknote
128,16,8,0.2,9,log_loss,False,47,0.9996261877001683,banknote
32,16,2,0.3,7,entropy,False,48,0.9990008855383948,banknote
128,16,2,1.0,6,gini,False,49,0.9884227675141014,banknote
128,8,1,0.2,13,gini,True,50,0.999845005429088,banknote
256,16,8,0.2,13,gini,False,51,0.9996000436558007,banknote
64,8,1,0.1,15,log_loss,False,52,0.9999160538502667,banknote
128,16,1,0.2,8,log_loss,False,53,0.9996907080326927,banknote
32,4,2,0.4,2,gini,False,54,0.9764611700413717,banknote
64,4,4,0.8,11,log_loss,True,55,0.9997482566200523,banknote
512,8,1,0.5,15,gini,True,56,0.999864431246297,banknote
128,16,8,0.5,6,gini,False,57,0.9993934264809191,banknote
64,16,4,0.3,2,gini,True,58,0.9764795817865566,banknote
64,8,8,0.5,10,entropy,False,59,0.9995034216057679,banknote
128,4,4,0.1,15,entropy,True,60,0.9997225245424444,banknote
32,2,8,0.4,1,log_loss,True,61,0.957977188069544,banknote
256,4,8,0.6,12,gini,True,62,0.9993737788354548,banknote
32,4,2,0.3,1,entropy,True,63,0.9533170517731938,banknote
512,2,2,0.7,5,log_loss,False,64,0.9990193606630814,banknote
512,16,4,0.9,4,gini,False,65,0.9966457666422529,banknote
64,8,1,0.8,11,gini,True,66,0.9997031304149862,banknote
512,2,4,0.6,3,gini,False,67,0.9912074409816419,banknote
512,8,1,0.1,5,entropy,False,68,0.9976600921842173,banknote
256,4,2,0.6,2,log_loss,False,69,0.9691557951807748,banknote
512,2,2,0.3,2,entropy,False,70,0.9719120429418938,banknote
512,8,4,1.0,6,gini,False,71,0.9896773805911177,banknote
256,4,1,0.3,4,gini,True,72,0.9956263707401686,banknote
128,8,2,0.3,4,log_loss,False,73,0.9940976254743005,banknote
256,2,4,0.5,10,log_loss,False,74,0.9996970776725931,banknote
32,16,4,0.4,4,gini,True,75,0.994153177607363,banknote
32,8,2,0.3,1,entropy,False,76,0.9243748499490302,banknote
256,16,4,0.6,7,gini,True,77,0.9995674032125295,banknote
512,2,8,0.4,5,gini,False,78,0.9973495643166307,banknote
512,16,2,0.5,12,log_loss,True,79,0.9997676190577597,banknote
64,4,8,0.5,3,entropy,True,80,0.9907126530583272,banknote
256,16,1,0.4,3,log_loss,False,81,0.9871018277887678,banknote
64,4,2,0.9,1,entropy,True,82,0.9492315615720449,banknote
32,2,2,0.4,4,gini,False,83,0.9943968559457451,banknote
64,2,4,0.5,5,gini,True,84,0.9989543649842959,banknote
512,8,4,0.6,4,log_loss,True,85,0.9978127417135738,banknote
32,4,2,0.7,6,log_loss,False,86,0.9995742481986912,banknote
64,8,1,0.4,6,entropy,False,87,0.9990778916327142,banknote
128,2,2,0.4,14,entropy,True,88,0.9998387625481907,banknote
128,8,8,0.5,11,gini,True,89,0.9994450490848887,banknote
32,16,4,0.2,9,log_loss,True,90,0.9995933254286419,banknote
64,16,1,0.4,6,entropy,False,91,0.9987435647623154,banknote
128,2,2,0.1,15,log_loss,True,92,0.9998322978390379,banknote
32,16,4,0.2,5,log_loss,False,93,0.9962227084697578,banknote
32,4,1,0.8,14,gini,True,94,0.9998129037115797,banknote
256,16,4,0.7,1,log_loss,True,95,0.9549737444077097,banknote
128,8,2,0.3,14,log_loss,False,96,0.9998967864818115,banknote
32,8,2,0.2,11,gini,True,97,0.9998449420495866,banknote
64,4,8,0.1,5,log_loss,True,98,0.9980334291377878,banknote
128,8,2,0.3,7,entropy,False,99,0.9995036117442723,banknote
32,8,2,0.7,9,gini,True,100,0.9997420454289055,banknote
64,4,4,0.3,1,gini,True,101,0.9524923576997094,banknote
512,16,4,0.3,15,entropy,True,102,0.9996967290853349,banknote
64,16,8,0.3,4,entropy,False,103,0.9938314315680113,banknote
32,16,1,0.6,3,entropy,False,104,0.9886673965450058,banknote
256,4,2,0.9,8,entropy,False,105,0.9996165381710652,banknote
64,2,8,0.7,8,entropy,True,106,0.9996064132957011,banknote
32,8,8,0.9,15,log_loss,False,107,0.997797974289725,banknote
512,2,4,0.1,11,entropy,False,108,0.9998516285869946,banknote
512,8,1,0.1,10,log_loss,False,109,0.9998903851521602,banknote
128,4,8,0.3,13,log_loss,True,110,0.999425971854938,banknote
32,2,8,0.8,10,entropy,False,111,0.9978561249823489,banknote
256,2,8,0.3,4,log_loss,False,112,0.9936334656950843,banknote
512,16,4,0.9,13,entropy,True,113,0.9997353905812484,banknote
32,4,8,0.5,10,gini,False,114,0.9995352381155195,banknote
512,2,4,0.1,6,log_loss,False,115,0.9990463920204701,banknote
128,16,8,0.2,9,gini,False,116,0.9996837996670295,banknote
32,2,4,0.4,2,entropy,False,117,0.9695501424390917,banknote
256,8,4,0.4,4,gini,True,118,0.9951034581630643,banknote
256,2,4,0.5,12,log_loss,False,119,0.9997422038776592,banknote
512,16,1,0.5,3,log_loss,True,120,0.9916442683508374,banknote
32,4,4,0.2,2,entropy,False,121,0.9683761956226059,banknote
64,2,8,0.7,9,gini,False,122,0.9994838690295559,banknote
512,8,8,0.3,13,entropy,True,123,0.9995226255947215,banknote
128,4,4,0.6,8,entropy,True,124,0.9998193367309817,banknote
32,4,2,0.7,3,log_loss,True,125,0.9921339542242817,banknote
128,4,2,0.7,5,entropy,True,126,0.9994123769518669,banknote
64,16,4,0.5,13,entropy,True,127,0.999677176509123,banknote
128,2,2,0.4,11,gini,False,128,0.9998966914125592,banknote
64,16,1,0.8,15,entropy,True,129,0.9997999742932743,banknote
32,2,1,0.7,8,log_loss,True,130,0.9996996603872791,banknote
128,2,4,0.6,9,log_loss,False,131,0.9996971727418454,banknote
256,8,1,0.8,2,log_loss,False,132,0.9651750554507258,banknote
64,16,4,0.5,9,gini,True,133,0.9995350479770151,banknote
64,16,4,0.8,9,entropy,False,134,0.9987442936265826,banknote
512,8,2,0.9,12,gini,True,135,0.9996708385589731,banknote
256,8,4,0.6,13,entropy,False,136,0.9997357391685066,banknote
512,16,2,0.5,13,entropy,True,137,0.9998193367309817,banknote
32,8,1,1.0,7,gini,True,138,0.9993742224919654,banknote
256,4,8,0.7,5,gini,True,139,0.998915766867884,banknote
32,4,2,1.0,2,entropy,True,140,0.9673779209393958,banknote
512,16,2,0.8,8,log_loss,False,141,0.9994653305253678,banknote
64,4,4,0.5,14,log_loss,True,142,0.9997612494178592,banknote
128,4,4,0.4,2,log_loss,False,143,0.9703366503629236,banknote
32,2,4,0.1,12,log_loss,False,144,0.9996642787805682,banknote
512,2,8,1.0,8,entropy,False,145,0.9896924015329728,banknote
32,4,4,0.8,4,entropy,False,146,0.9963435731791132,banknote
64,16,1,0.3,14,gini,False,147,0.9997351687529932,banknote
256,8,8,0.2,5,gini,False,148,0.9973107443719637,banknote
256,2,1,0.6,3,log_loss,False,149,0.9912313192088312,banknote
256,8,1,1.0,6,entropy,False,150,0.9920831555538316,banknote
256,16,2,0.7,7,log_loss,False,151,0.9996519197777762,banknote
512,2,8,0.6,15,entropy,True,152,0.9996255539051533,banknote
128,8,4,1.0,9,log_loss,False,153,0.9927356792114982,banknote
64,16,1,0.5,4,log_loss,True,154,0.997727844871318,banknote
512,8,4,0.1,2,gini,True,155,0.9784282796293465,banknote
256,2,8,0.3,4,gini,False,156,0.9946323266386834,banknote
128,8,2,0.3,10,gini,True,157,0.9997868547364642,banknote
32,2,1,0.7,10,entropy,False,158,0.9997902613846698,banknote
128,16,8,0.4,14,gini,False,159,0.9996644689190727,banknote
512,16,4,0.6,4,entropy,False,160,0.9970311773908587,banknote
512,4,8,0.9,3,log_loss,True,161,0.9911159051366044,banknote
512,8,4,0.7,5,log_loss,False,162,0.9988773905797274,banknote
128,4,8,0.1,14,log_loss,False,163,0.9996199448192709,banknote
128,2,2,0.9,6,entropy,False,164,0.9994776261486584,banknote
256,4,4,0.9,1,entropy,True,165,0.9510039059519183,banknote
128,2,8,0.7,2,log_loss,True,166,0.9788944992423615,banknote
128,16,2,0.5,2,gini,False,167,0.9761267164119699,banknote
256,2,2,0.9,10,log_loss,False,168,0.9995875262042548,banknote
256,2,1,0.2,6,entropy,False,169,0.9991688095276124,banknote
256,8,4,0.2,8,log_loss,False,170,0.999658511245932,banknote
256,16,4,0.4,14,log_loss,True,171,0.9997161232127931,banknote
64,8,2,0.4,14,entropy,True,172,0.9998644946257986,banknote
512,2,8,0.5,2,log_loss,True,173,0.9804437636218394,banknote
128,4,2,0.7,8,gini,False,174,0.9997162499717961,banknote
256,2,8,0.6,5,entropy,False,175,0.9986707734048457,banknote
256,4,2,0.7,5,entropy,True,176,0.9994513553452876,banknote
64,8,4,0.3,3,entropy,False,177,0.9853511275086557,banknote
64,8,1,0.6,4,gini,True,178,0.9971481759506228,banknote
32,8,1,0.4,11,entropy,False,179,0.9998837619942537,banknote
512,8,2,0.5,14,log_loss,True,180,0.999857998226895,banknote
64,8,4,0.3,15,gini,True,181,0.999619152575502,banknote
64,8,2,0.7,4,gini,True,182,0.9975221783889591,banknote
32,8,8,0.1,10,log_loss,False,183,0.9995226889742231,banknote
32,2,4,0.9,11,gini,True,184,0.9994512285862847,banknote
32,16,1,0.2,15,log_loss,False,185,0.9999163073682727,banknote
64,8,8,0.9,14,gini,True,186,0.999108820829445,banknote
512,2,8,0.9,2,gini,False,187,0.9683822800547498,banknote
128,2,4,0.3,3,gini,True,188,0.9898319948850207,banknote
32,16,8,0.2,11,gini,True,189,0.9990637263141297,banknote
512,2,2,0.3,5,gini,False,190,0.9977749992204322,banknote
512,8,4,0.1,15,gini,False,191,0.9998321710800347,banknote
256,16,8,0.4,13,entropy,True,192,0.9995550125199867,banknote
256,8,8,0.9,1,log_loss,False,193,0.9211885881151266,banknote
64,4,8,0.9,8,log_loss,True,194,0.9996192159550036,banknote
64,4,1,0.9,6,entropy,True,195,0.9998257063708822,banknote
256,2,4,0.6,14,gini,False,196,0.999645264930119,banknote
64,8,4,0.5,6,entropy,True,197,0.9996321770630598,banknote
512,4,4,0.6,3,gini,True,198,0.9908767108979532,banknote
64,16,1,0.6,10,log_loss,True,199,0.9998191149027263,banknote
128,8,4,0.2,12,entropy,True,200,0.9997935095841215,banknote
32,16,1,0.4,8,log_loss,True,201,0.9996645322985742,banknote
512,8,8,0.8,2,log_loss,False,202,0.9670304269775608,banknote
64,16,4,0.8,9,gini,False,203,0.9993038395555525,banknote
32,2,4,0.3,10,gini,True,204,0.9995866705809847,banknote
128,2,1,0.4,9,gini,False,205,0.9998772655953503,banknote
64,8,2,1.0,4,entropy,True,206,0.9977323765056751,banknote
128,4,4,0.3,5,entropy,False,207,0.9972343086931575,banknote
32,8,4,0.4,9,log_loss,False,208,0.9995490548468459,banknote
512,16,1,0.7,6,gini,True,209,0.9996256489744056,banknote
32,16,4,0.9,8,gini,True,210,0.9992574457604565,banknote
32,2,1,0.9,14,entropy,False,211,0.9991277079208912,banknote
256,2,2,0.3,1,entropy,True,212,0.9588037043036963,banknote
512,16,1,0.7,7,log_loss,True,213,0.9997869181159658,banknote
512,8,8,0.1,2,entropy,True,214,0.9826855441244287,banknote
64,8,8,0.9,11,log_loss,True,215,0.9994577249851883,banknote
512,16,1,1.0,7,gini,True,216,0.9989422911892606,banknote
64,8,8,0.7,7,entropy,False,217,0.9994130741263832,banknote
128,4,8,0.6,2,log_loss,False,218,0.9732156008389418,banknote
512,8,2,0.5,1,entropy,False,219,0.9256653358238941,banknote
128,16,8,0.2,4,gini,True,220,0.9953629338421947,banknote
32,2,4,1.0,3,gini,False,221,0.9714862594508343,banknote
32,2,4,0.8,3,gini,True,222,0.9897881204251092,banknote
128,16,1,0.7,11,log_loss,False,223,0.9997228731297026,banknote
32,16,1,0.8,14,gini,False,224,0.9980587809383867,banknote
128,16,8,0.7,12,entropy,True,225,0.9995803643205857,banknote
512,4,8,0.6,4,gini,True,226,0.9967599131244497,banknote
32,16,1,0.5,2,log_loss,False,227,0.9732615192877766,banknote
256,4,2,0.7,3,entropy,False,228,0.9905281553294681,banknote
128,4,8,0.1,4,gini,False,229,0.9944582865275714,banknote
256,4,4,0.2,15,entropy,True,230,0.9997484784483076,banknote
128,4,8,1.0,5,gini,True,231,0.9975299106881416,banknote
64,8,8,0.6,14,entropy,False,232,0.9995873994452519,banknote
512,16,8,1.0,13,entropy,True,233,0.9993216491954732,banknote
512,8,4,0.8,13,gini,False,234,0.9993842522980773,banknote
64,8,2,0.9,13,log_loss,False,235,0.9989634916325114,banknote
512,2,8,0.1,11,gini,False,236,0.9996385150132095,banknote
64,8,1,0.7,13,log_loss,False,237,0.999761661384619,banknote
256,16,1,0.1,7,gini,False,238,0.9996131632126106,banknote
32,4,1,1.0,12,gini,False,239,0.9838255829076132,banknote
32,8,8,0.8,10,entropy,True,240,0.9995286466473638,banknote
512,4,8,0.8,7,entropy,True,241,0.9996190258164991,banknote
256,8,1,0.7,9,gini,True,242,0.9998450371188389,banknote
256,8,4,0.2,15,gini,False,243,0.9998257380606329,banknote
64,16,8,0.3,5,gini,True,244,0.9976005788323112,banknote
32,16,4,0.4,8,gini,True,245,0.998889527754264,banknote
256,16,4,0.7,10,entropy,True,246,0.9997611226588563,banknote
64,4,2,0.5,9,log_loss,True,247,0.9999031244319613,banknote
128,16,1,0.8,2,entropy,False,248,0.967980232187001,banknote
512,2,1,0.6,1,entropy,False,249,0.9256653358238941,banknote
32,4,4,0.6,8,entropy,False,250,0.9987964232665644,banknote
32,8,2,0.8,5,gini,False,251,0.9987054419921648,banknote
32,2,1,0.1,8,gini,True,252,0.9997352638222453,banknote
512,2,4,1.0,6,gini,False,253,0.9896773805911177,banknote
512,8,2,0.2,13,gini,False,254,0.9998644629360478,banknote
32,16,2,0.1,12,entropy,False,255,0.9998709593349512,banknote
64,8,1,0.7,11,entropy,False,256,0.9998325196672931,banknote
512,4,2,0.3,9,entropy,True,257,0.999857998226895,banknote
512,2,4,0.4,10,gini,False,258,0.9998128403320781,banknote
128,8,4,0.3,1,gini,False,259,0.9243748499490302,banknote
32,4,1,0.5,10,gini,False,260,0.9997645451519371,banknote
128,2,1,0.1,15,gini,False,261,0.9999031719665874,banknote
32,16,8,0.8,11,log_loss,True,262,0.9994962280323478,banknote
256,4,1,0.1,5,log_loss,False,263,0.9976720709100003,banknote
256,4,8,0.3,13,log_loss,True,264,0.9994645382815991,banknote
64,8,8,0.4,9,entropy,True,265,0.9994905872567146,banknote
32,2,8,0.3,5,gini,True,266,0.997205661158481,banknote
64,2,8,0.4,1,gini,True,267,0.9521031124912631,banknote
64,16,2,0.6,12,gini,False,268,0.9996453599993713,banknote
32,16,8,0.8,8,log_loss,False,269,0.9990912963972809,banknote
32,2,1,0.9,8,entropy,False,270,0.9985264265901854,banknote
64,4,4,0.2,8,log_loss,False,271,0.9996649759550847,banknote
128,8,1,0.2,14,gini,True,272,0.999909715900117,banknote
128,2,2,0.7,8,gini,True,273,0.9998255479221284,banknote
64,16,1,1.0,3,entropy,False,274,0.9722401744660214,banknote
64,2,1,0.4,4,log_loss,True,275,0.994937277110138,banknote
512,2,2,0.3,14,log_loss,True,276,0.999890290082908,banknote
32,4,2,1.0,11,log_loss,True,277,0.9995545688634763,banknote
256,8,4,0.9,14,entropy,True,278,0.999748288309803,banknote
32,4,2,0.7,8,log_loss,False,279,0.9988930453165971,banknote
32,4,4,0.9,5,entropy,False,280,0.9986832274768899,banknote
64,8,8,0.8,1,gini,False,281,0.9296573571052097,banknote
512,8,1,0.1,6,gini,True,282,0.9993612613839092,banknote
256,8,4,0.9,14,gini,True,283,0.9996128463151032,banknote
32,8,8,0.6,8,entropy,True,284,0.9994833303037932,banknote
128,16,1,0.8,15,log_loss,True,285,0.9997418869801518,banknote
256,16,8,0.2,12,entropy,False,286,0.9995811565643543,banknote
512,4,1,0.5,14,gini,True,287,0.9998903217726588,banknote
128,16,4,0.3,12,gini,False,288,0.9997288941823448,banknote
32,2,1,1.0,8,log_loss,False,289,0.9906188989307371,banknote
64,8,8,0.7,5,log_loss,True,290,0.9990960498598932,banknote
256,4,2,0.5,9,entropy,False,291,0.9998130621603334,banknote
64,2,4,0.3,8,gini,True,292,0.9995610969521304,banknote
32,8,8,1.0,9,entropy,True,293,0.9992411889183224,banknote
512,4,1,0.2,3,entropy,False,294,0.9870688387582384,banknote
256,8,2,0.8,4,entropy,False,295,0.9964899164480707,banknote
128,8,8,1.0,7,log_loss,True,296,0.9992246468684315,banknote
128,4,1,0.4,14,gini,True,297,0.9998900999444035,banknote
64,16,8,0.9,11,gini,True,298,0.999205918225739,banknote
64,16,8,0.9,13,log_loss,False,299,0.9991910081980118,banknote
256,4,4,1.0,3,gini,True,300,0.9855024777582315,banknote
