trial,bootstrap,criterion,max_features,max_samples,min_samples_leaf,n_estimators,value,time
79,True,gini,0.7041098045388953,0.5143913381566695,0.17406191027069295,565,0.7308838157007072,9.79705
80,True,gini,0.5719341494837065,0.6752937794032985,0.12844880901994649,707,0.7701204020717974,12.840653
81,True,gini,0.4172342258570162,0.8918265063705715,0.1744173400455747,443,0.7656096212028614,7.700442
82,True,gini,0.3065955106391667,0.7460581465397691,0.14182715124765227,864,0.7664677762554934,14.369397
83,True,log_loss,0.16069066248693115,0.6200728093890966,0.07577594438212985,981,0.7789170725195648,15.855721
84,True,log_loss,0.37653382665909063,0.5909400421995724,0.22935768198120238,136,0.5011904761904762,2.075915
85,True,gini,0.23514805045773166,0.5204343081332394,0.10571806780639173,479,0.7684711948739154,7.725395
86,True,log_loss,0.39141588883846035,0.6031668592028963,0.1506834541709714,185,0.7585338742374717,3.069692
87,True,entropy,0.7988628992854218,0.540879515974436,0.23417448010636266,694,0.5,10.31364
88,True,entropy,0.2674794586693683,0.5922605096781887,0.12409442055827641,70,0.7632393499869558,1.212635
89,True,gini,0.12934656231247832,0.8737354690668783,0.10048738886880415,490,0.7752011778965551,7.926673
90,True,gini,0.4579298934587638,0.553586005669888,0.15652345329100464,716,0.758175230843389,11.805345
91,True,entropy,0.2691584055972357,0.6610395827915891,0.11549947043558294,250,0.7706478774124994,4.17886
92,True,gini,0.4987537591432458,0.8945856193036692,0.06738405761748474,128,0.7876401834149713,2.710219
93,True,entropy,0.3270207246389796,0.5637901513977819,0.12261645927972703,542,0.7693365186857892,8.897998
94,True,log_loss,0.2897814333887956,0.8028874096784435,0.07035649452408076,650,0.7835105745360668,11.788151
95,True,gini,0.23869887623580388,0.6425475843469235,0.22935308492528506,161,0.6342598708818357,2.591106
96,True,log_loss,0.4182844792365933,0.5560194510840262,0.24389408665507378,89,0.5,1.398728
97,True,gini,0.8435007913020687,0.8343216099622155,0.16135257860278596,867,0.7706525727119476,16.247674
98,True,entropy,0.4403491508931334,0.6618396182021218,0.15152207573689103,576,0.7625397172654298,9.663751
99,True,entropy,0.22349017221936185,0.7906191107113061,0.1462280203709635,250,0.7663672140804343,4.125442
