trial,booster,colsample_bylevel,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,value,time,dataset
12,gbtree,0.3453109225034605,0.6674139122073675,0.0001651414742612318,15,60.52556279875595,1436,0.0004988340024097086,671.6346526687574,0.47658972219146783,0.8223094834707313,2.191875,45062
13,gbtree,0.6405532569000698,0.3957506341159537,0.005339430700195971,12,1.3494477533039735,1667,0.33288902214315774,12.972618567849958,0.9940139977399695,0.8641812714311143,8.324881,45062
14,gbtree,0.6566081422299506,0.6098646400400944,0.006693153529978223,12,4.561858669363737,1955,1.6740034676059856,22.099208343326936,0.5022348580793201,0.8635268740783542,7.908648,45062
15,gbtree,0.6908813220467248,0.6342832010968956,0.007387854231573423,12,57.96560322503965,1971,1.2237410333154237,24.89315480502164,0.5146363256850995,0.8454008892123882,4.130327,45062
16,gbtree,0.6456742880725642,0.8007977888100207,0.0036135423815039694,7,1.4858208224369556,1747,0.8719383194499206,0.0011997072580708817,0.8796544521120457,0.8684989603898863,7.052217,45062
17,gbtree,0.8511949644622654,0.8553477360464393,0.003725982378768836,7,80.56282202105527,1663,0.5368634689425572,0.0015531844045144523,0.87207405026633,0.849147465156982,4.142899,45062
18,gbtree,0.7804343730897717,0.7859908897653658,0.025434808090266627,6,42.006978948559436,1598,0.12340432487062923,0.1444150370391158,0.8933132159340825,0.847006836920106,4.31572,45062
19,gbtree,0.5985640196254172,0.9914433475434633,0.0031962238041835437,8,112.5296766663991,453,3.1032801955897407,0.0018202983504851395,0.8651687643162422,0.8356473606511416,1.069605,45062
20,gbtree,0.7469418470621612,0.7286132764751371,0.00045381110780698327,5,126.30795386192561,1785,0.24557744114911986,0.13376111033886598,0.997169038303934,0.8348857206102993,3.957119,45062
21,gbtree,0.6479428881556301,0.5788347424528902,0.006528742191927639,12,1.071556561923534,1883,2.7326518424207564,11.662132002162815,0.5637165257587249,0.8651521366989442,9.167989,45062
22,gbtree,0.6403666987703247,0.5558225530318381,0.0131286982266421,11,2.5869745042370065,1549,6.564706268367227,8.13069171176305,0.5766187425129814,0.8646032421478381,5.4374,45062
23,gbtree,0.5362255908235269,0.5523220656234177,0.01645732261788584,10,13.383043270310207,1491,6.808606306381777,4.348863464604467,0.5767852804133722,0.8608172145626053,4.035972,45062
24,gbtree,0.8698015817367284,0.7138140986608699,0.04898748187436182,14,37.04699596474593,1840,12.5353746357044,2.4760684968565276,0.5829860935203519,0.8494422813976714,4.036149,45062
25,gbtree,0.6191861632786031,0.8868131124129697,0.011474845901550118,10,12.8596757344232,1089,0.06530360837110966,0.21283874235966802,0.38599663128984013,0.8603337393832898,4.074213,45062
26,gbtree,0.45021235889657796,0.5437055932875299,0.0028055852799488616,11,50.08246443482664,1747,4.764732423656808,0.0048094059145963155,0.5754091375862833,0.840399181995843,3.388556,45062
27,gbtree,0.7245526433793602,0.5523891723673907,0.05059659301791302,8,31.983847509706937,1549,0.834273376041024,31.962111267781808,0.7131460653161955,0.8499185026115228,4.288777,45062
28,gbtree,0.558076828589679,0.6856830883362535,0.0006441628800781693,15,13.153259788330486,1831,29.8291437418525,0.4890692881501188,0.39456207639118146,0.8376821301161034,3.662737,45062
29,gbtree,0.6659989466480946,0.7706697959515594,0.0022652480960903797,9,21.032467029210846,1981,43.12240023740845,3.9943580181225418,0.6927736214197527,0.8457018387109004,4.386682,45062
30,gbtree,0.7830186851566738,0.856211316608446,0.12378376552079981,13,1.1409204282362726,1346,1.56397675154699,7.664974260216865,0.5421966980816857,0.8372064339714935,7.858172,45062
