trial,C,class_weight,l1_ratio,max_iter,penalty,solver,value,time,dataset
58,38.43909197670357,balanced,0.950111030132525,1500,elasticnet,saga,0.8119067786428298,0.188182,43980
59,3.5371774242433265,balanced,0.002134752857594113,1500,elasticnet,saga,0.8119250768935025,0.185623,43980
60,0.9251129102677628,balanced,0.00013777047794138913,1500,elasticnet,saga,0.8119187091503269,0.173839,43980
61,6.397048260999842,balanced,0.8077292270426274,1500,elasticnet,saga,0.8119373558246827,0.18582,43980
62,1.6167533658924478,balanced,0.31553977050588533,1500,elasticnet,saga,0.811872849384852,0.180699,43980
63,4.122479076919432,balanced,0.5919702627483254,1500,elasticnet,saga,0.8119710568050749,0.189573,43980
64,0.8105424559962645,balanced,0.0801411683304548,1500,elasticnet,saga,0.811894151287966,0.176675,43980
65,0.24064048183064873,balanced,0.2025973875307364,1500,elasticnet,saga,0.8116328094963474,0.144797,43980
66,2.303249061170318,balanced,0.61962424540075,1500,elasticnet,saga,0.8119280084582854,0.183971,43980
67,19.457184800286395,balanced,0.2627930318237949,1500,elasticnet,saga,0.8118914480007688,0.190045,43980
68,10.3894108769074,balanced,0.42330556683995946,1500,elasticnet,saga,0.8119097943098808,0.183738,43980
69,39.970450286967164,balanced,0.0005558941751649,1500,elasticnet,saga,0.8119006391772394,0.190042,43980
70,3.9907019288660597,balanced,0.0010500771777094584,1500,elasticnet,saga,0.811937343810073,0.182098,43980
71,7.654204227090002,balanced,0.8491983855309335,1500,elasticnet,saga,0.8119434952902729,0.185798,43980
72,1.6229397781467736,balanced,0.6173856655144585,1500,elasticnet,saga,0.8118850442137638,0.183909,43980
73,9.571667839274452,balanced,0.14642086272860586,1500,elasticnet,saga,0.8119189854863513,0.187426,43980
74,0.5956629893489371,balanced,0.3797414559129794,1500,elasticnet,saga,0.8118906310073049,0.172228,43980
75,2.389433904011502,balanced,0.6830789583665282,1500,elasticnet,saga,0.811928020472895,0.18589,43980
76,14.90086048822908,balanced,0.00032941184700467256,1500,elasticnet,saga,0.8119067666282198,0.188269,43980
77,0.3005788189595916,balanced,0.0001975754792296046,1500,elasticnet,saga,0.811795547385621,0.147516,43980
78,3.8809829997703797,balanced,0.521820508353642,1500,elasticnet,saga,0.8119587898885043,0.186611,43980
79,3.59334801552532,balanced,0.5564499790932339,1500,elasticnet,saga,0.8119894752018455,0.185819,43980
80,3.491444627858896,balanced,0.2487739030321521,1500,elasticnet,saga,0.8119404075355632,0.186281,43980
81,0.9244824343967489,balanced,0.46026613385784204,1500,elasticnet,saga,0.811893802864283,0.178524,43980
82,1.7221349718349137,balanced,0.005356915080283583,1500,elasticnet,saga,0.8119434111880046,0.180691,43980
83,4.434434956057745,balanced,0.5677001699357539,1500,elasticnet,saga,0.8119710928489043,0.186249,43980
84,4.117368646245257,balanced,0.586288095921939,1500,elasticnet,saga,0.8119710568050749,0.184631,43980
85,25.947641524578792,balanced,0.5410193059471756,1500,elasticnet,saga,0.8118975754517492,0.187247,43980
86,4.887114424755734,balanced,0.32679583966612635,1500,elasticnet,saga,0.8119557261630144,0.186875,43980
87,8.36676216670064,balanced,0.3487244063768327,1500,elasticnet,saga,0.8119281646482122,0.185453,43980
88,5.007727228061037,balanced,0.5280720932027024,1500,elasticnet,saga,0.8119588139177241,0.18728,43980
89,100.091540981647,balanced,0.7900303088999321,1500,elasticnet,saga,0.8119006391772394,0.190024,43980
90,5.1724497125386595,balanced,0.5702203380951397,1500,elasticnet,saga,0.8119588259323336,0.184283,43980
91,4.383412289180277,balanced,0.5504412693164291,1500,elasticnet,saga,0.8119710928489043,0.186359,43980
92,15.412651369615318,balanced,0.559185437673232,1500,elasticnet,saga,0.8118975754517492,0.184656,43980
93,5.0574564034934015,balanced,0.3257190023331817,1500,elasticnet,saga,0.8119403955209534,0.183437,43980
94,1.3090494553150578,balanced,0.7072924998022161,1500,elasticnet,saga,0.81192776816609,0.197793,43980
95,42.65582826972498,balanced,0.9620863938525324,1500,elasticnet,saga,0.8119037149173396,0.195445,43980
