trial,bootstrap,criterion,max_features,max_samples,min_samples_leaf,n_estimators,value,time,dataset
36,True,log_loss,0.19589826106965658,0.9231832203852409,0.09953747460743644,772,0.7462857142857142,2.660077,31
37,True,gini,0.7398227241816284,0.8884905548344586,0.08736154314463412,906,0.7288571428571429,3.83951,31
38,True,gini,0.4869963298290949,0.7097796925289314,0.18914736230032034,592,0.7208571428571429,2.004584,31
39,True,log_loss,0.8534751531900684,0.9690403710108675,0.11924422681545008,438,0.7236428571428573,1.859375,31
40,True,entropy,0.24607509562290142,0.6788802179517095,0.06128154720453798,930,0.7497142857142858,3.280594,31
41,True,gini,0.14063816638678056,0.873866892677155,0.06118281056647436,747,0.7571428571428572,2.66209,31
42,True,gini,0.13710441787832903,0.878548090009889,0.06066714326941679,639,0.7571666666666668,2.246395,31
43,True,gini,0.1939269461594912,0.9084585471939327,0.058742805366752866,649,0.7542380952380953,2.336949,31
44,True,gini,0.18985694129929545,0.8702684303304189,0.0607301696781212,643,0.7522857142857143,2.29411,31
45,True,gini,0.2982208703160786,0.9013973011304557,0.050695594624277696,562,0.7502619047619048,2.190517,31
46,True,gini,0.2105942010152233,0.8434956467474062,0.059652058704655876,511,0.7502619047619048,1.84563,31
47,True,log_loss,0.13511132591839087,0.9123252368941055,0.07183591193552638,642,0.7566666666666666,2.192737,31
48,True,log_loss,0.1346740953296137,0.8853131455405359,0.0762436488808978,603,0.7549761904761906,2.042726,31
49,True,log_loss,0.3544958303697365,0.8801935325699684,0.06877431221597156,405,0.7457619047619047,1.568391,31
50,True,log_loss,0.132529104224317,0.9371026568092701,0.0840468693817802,601,0.7548571428571428,2.034088,31
51,True,log_loss,0.13833886612827243,0.931386681252618,0.08234523669695423,596,0.7540952380952382,2.020392,31
52,True,log_loss,0.1771636686959764,0.9731987006317299,0.08523870057997932,498,0.7504285714285714,1.744675,31
53,True,log_loss,0.12675840832242688,0.9986503230711454,0.16454866242302488,289,0.7475119047619047,0.947757,31
54,True,log_loss,0.23630679827663006,0.894427573972092,0.07318965478573636,609,0.7490238095238096,2.202386,31
55,True,log_loss,0.1316893449140902,0.9487988967642955,0.10575805940642893,547,0.7546190476190476,1.836067,31
56,True,log_loss,0.16986287781127768,0.9112049451515026,0.05398664953628168,652,0.757047619047619,2.329308,31
57,True,log_loss,0.1692135524952621,0.8634452878993236,0.0549968946501373,734,0.7560000000000001,2.610259,31
58,True,log_loss,0.1674320038017699,0.8697567475563106,0.05503189637061677,839,0.7532142857142857,2.972769,31
59,True,log_loss,0.25017864043362115,0.6380694309071412,0.05021167585130847,737,0.7505,2.643169,31
60,True,log_loss,0.5717169821528346,0.9152846804885146,0.06732501847158391,719,0.7396666666666667,3.027297,31
61,True,log_loss,0.17223313085287661,0.8609892053102125,0.07801224293953749,674,0.7503571428571428,2.345192,31
62,True,log_loss,0.10122603433994948,0.9044731496722158,0.05689461701249524,792,0.7610000000000001,2.653493,31
63,True,log_loss,0.10171999785556697,0.9023787391033015,0.05701869850098868,789,0.7604761904761904,2.645918,31
64,True,log_loss,0.21471621252571083,0.8974845661392108,0.056548098676536006,793,0.7519523809523808,2.901158,31
65,True,log_loss,0.10845555457838726,0.9177214163724565,0.0642326162730971,847,0.7595476190476191,2.858722,31
66,True,log_loss,0.10856103935316655,0.926027101145582,0.0648717635003765,801,0.7581190476190476,2.733756,31
67,True,log_loss,0.10867442875560908,0.9551796624835374,0.2160983265017824,994,0.7180238095238096,3.195513,31
68,True,log_loss,0.10239293551733897,0.9274613459308267,0.062417024685338655,848,0.7600476190476191,2.829139,31
69,True,log_loss,0.11464965872774055,0.9357642825469443,0.06458861544011299,841,0.7553809523809524,3.04493,31
70,True,log_loss,0.10510201519231495,0.9751093676696895,0.06329567017872972,863,0.7607619047619048,2.957652,31
71,True,log_loss,0.10019988911105424,0.9722820845946957,0.06665655428875453,852,0.7599047619047619,2.8543,31
72,True,log_loss,0.10184126680897278,0.9671670969518839,0.06701096908273113,859,0.7573095238095239,2.894909,31
73,True,log_loss,0.10680632453642386,0.9845445272581197,0.06614969673596528,931,0.7596666666666667,3.196856,31
74,True,log_loss,0.1022942364817044,0.9817628784834004,0.07680387294745196,947,0.7587857142857144,3.171828,31
75,True,log_loss,0.16263016148064813,0.9795594207549981,0.07597959971116688,942,0.7554761904761904,3.318243,31
76,True,log_loss,0.12112130637905874,0.9879062838070763,0.09186560574716117,899,0.7560238095238097,2.997288,31
77,True,log_loss,0.10217357876154065,0.9995860726853276,0.06834316232189112,922,0.7591428571428571,3.100644,31
