Zbiór danych,Model,Metoda,Run,Najlepsze parametry
Iris,Logistic Regression,Bayesian Search,1,"OrderedDict([('classifier__C', 1.5925169151603527), ('classifier__penalty', 'l2'), ('classifier__solver', 'lbfgs')])"
Iris,Logistic Regression,Bayesian Search,2,"OrderedDict([('classifier__C', 3.2521088005944945), ('classifier__penalty', 'l2'), ('classifier__solver', 'lbfgs')])"
Iris,Logistic Regression,Bayesian Search,3,"OrderedDict([('classifier__C', 0.7099668574083867), ('classifier__penalty', 'l2'), ('classifier__solver', 'lbfgs')])"
Iris,XGBoost,Grid Search,1,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'classifier__subsample': 0.6}"
Iris,XGBoost,Grid Search,2,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'classifier__subsample': 0.6}"
Iris,XGBoost,Grid Search,3,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 300, 'classifier__subsample': 0.6}"
Iris,XGBoost,Random Search,1,"{'classifier__subsample': 0.6, 'classifier__n_estimators': 100, 'classifier__max_depth': 7, 'classifier__learning_rate': 0.01}"
Iris,XGBoost,Random Search,2,"{'classifier__subsample': 0.6, 'classifier__n_estimators': 100, 'classifier__max_depth': 7, 'classifier__learning_rate': 0.01}"
Iris,XGBoost,Random Search,3,"{'classifier__subsample': 0.6, 'classifier__n_estimators': 300, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.01}"
Iris,XGBoost,Bayesian Search,1,"OrderedDict([('classifier__learning_rate', 0.010124239352823897), ('classifier__max_depth', 7), ('classifier__n_estimators', 248), ('classifier__subsample', 0.6272771289320225)])"
Iris,XGBoost,Bayesian Search,2,"OrderedDict([('classifier__learning_rate', 0.013298576607546127), ('classifier__max_depth', 8), ('classifier__n_estimators', 100), ('classifier__subsample', 0.9983056786140603)])"
Iris,XGBoost,Bayesian Search,3,"OrderedDict([('classifier__learning_rate', 0.010124239352823897), ('classifier__max_depth', 7), ('classifier__n_estimators', 248), ('classifier__subsample', 0.6272771289320225)])"
Titanic,Random Forest,Grid Search,1,"{'classifier__max_depth': 5, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}"
Titanic,Random Forest,Grid Search,2,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}"
