dataset,model__C,model__class_weight,model__l1_ratio,model__max_iter,model__penalty,model__solver,model__tol,Score
0,0.0086822480861124,balanced,0.1584457772761788,483,elasticnet,saga,0.0001,0.9140562576564416
0,0.0254974858173374,balanced,0.0,501,l2,saga,1e-06,0.9134612115302884
0,0.015952309626251,,0.2485775435166264,62,elasticnet,saga,1.5146223897459252e-06,0.9139566926673166
0,0.0076046870392477,balanced,0.5298157755833661,77,l2,saga,1.0018131692147458e-05,0.9134627115677892
0,0.0291817188974074,balanced,0.0,501,l2,saga,0.0001,0.913473711842796
0,0.0309942144383683,balanced,0.4472870332653104,473,elasticnet,saga,3.1303125907930397e-06,0.9140440698517462
0,0.0150453919407902,balanced,0.1332639352603052,10,elasticnet,saga,1.8829079961693469e-06,0.9141936360909022
0,0.039826322755088,balanced,0.3835155267220339,238,l1,saga,4.3848674138620494e-05,0.9138181267031676
0,0.0645738142190352,,0.90375924841675,65,l1,saga,3.978463300506031e-06,0.91409388359709
0,0.0167750055934006,balanced,0.3358079746668166,24,elasticnet,saga,2.213349302597559e-05,0.9139191292282308
0,0.0604200859793944,balanced,0.5245963887568509,323,l1,saga,1.032690365569627e-05,0.9140938210955274
0,0.0865237477201967,,1.0,501,l1,saga,1e-06,0.9141187592189804
0,0.0037494066905252,balanced,0.094034278752853,272,elasticnet,saga,7.505216736943614e-06,0.914069070476762
0,0.0047023273189873,balanced,0.0332065435580005,48,l2,saga,1.1410308747947229e-06,0.9135132128303208
0,0.0372860334691877,balanced,0.0,501,l2,saga,0.0001,0.9134733993349834
1,0.1123362169089523,,0.932867998847834,165,l2,saga,5.033414197773552e-06,0.8851737572074178
1,0.1840174394133711,balanced,0.858510100589509,424,elasticnet,saga,0.0001,0.8848059841047219
1,0.7760003593069297,,1.0,10,l2,saga,0.0001,0.8848309178743962
1,1.2882139188580088,,0.8567113774076777,345,l1,saga,9.37601945761937e-05,0.884818450989559
1,0.1039133672242306,,0.0,501,elasticnet,saga,0.0001,0.8851675237649993
1,0.6780109991306468,,0.091897146162731,434,l1,saga,8.91964516775014e-06,0.8850428549166277
1,0.0887629803378151,,0.0,501,l2,saga,1e-06,0.8852049244195107
1,0.0682028745899289,,0.1556916390885316,370,elasticnet,saga,2.18877912501871e-06,0.8855913978494622
1,5.443675768215341,,0.8878029074840855,304,elasticnet,saga,4.478128598946877e-05,0.8847374162381175
1,0.0777774082874373,,0.0,10,l2,saga,0.0001,0.8850553218014648
1,0.0657720036059785,,0.0206894371645978,463,elasticnet,saga,1.7722479678557434e-06,0.885186224092255
1,0.0881840519156706,,0.7963620134688223,311,l2,saga,7.922046485781762e-05,0.885186224092255
1,0.0302851757735685,,0.0334257124310218,495,elasticnet,saga,9.63609796609528e-05,0.8855415303101138
1,0.2266093046485313,,0.3306196361146002,487,elasticnet,saga,2.9412959354639795e-05,0.8850740221287206
1,0.0930520894435822,,1.0,10,l2,saga,0.0001,0.8852111578619292
1,0.0464530023830675,,0.4284488322786789,351,l2,saga,4.5479696365228525e-05,0.8852734922861151
1,0.1768839169898096,,0.652871682130385,192,elasticnet,saga,2.975561278711714e-05,0.8852921926133707
1,0.3501915164662892,,0.0,501,l2,saga,1e-06,0.8848683185289077
