f1,accuracy,brier_score,roc_auc,model__n_estimators,model__max_depth,model__min_samples_split,model__min_samples_leaf,model__min_weight_fraction_leaf,model__max_leaf_nodes,model__max_features,model__criterion
0.6850771956079662,0.6939317191773883,0.23478271990176322,0.7671236969015124,2000,11.0,7,16,0.3421052631578947,32.0,0.5736842105263158,gini
0.3716457345153198,0.5262688684023908,0.24528684159080197,0.7565818357363966,1137,30.0,43,46,0.39473684210526316,29.0,sqrt,gini
0.7005554614973172,0.7022591429439774,0.21310132952397742,0.763792493593476,29,13.0,27,45,0.18421052631578946,20.0,0.8578947368421053,entropy
0.6237358611378774,0.6483841556073348,0.24188269963615666,0.718101140015856,67,21.0,29,48,0.4473684210526315,22.0,0.7157894736842105,entropy
0.7141967562273516,0.7150238071117415,0.2088318603241283,0.7788564066884439,25,17.0,18,15,0.07894736842105263,47.0,0.33684210526315794,entropy
0.6347284700025139,0.6434403809137879,0.23889042114419218,0.6782146522713142,9,9.0,14,14,0.39473684210526316,18.0,0.6684210526315789,entropy
0.6301980484467296,0.6397528112653227,0.24228583044406488,0.6555544891722344,8,11.0,20,15,0.2894736842105263,12.0,0.4789473684210527,gini
0.7252289287714863,0.7260257319420526,0.1917317859315461,0.7922088280090925,119,7.0,19,3,0.02631578947368421,36.0,0.4789473684210527,gini
0.7283008732139029,0.729064937696282,0.18597785037173462,0.7977631938207883,488,30.0,8,56,0.0,37.0,0.4789473684210527,entropy
0.6843838033714004,0.6946206058150136,0.2302812566310327,0.7780288055081304,67,27.0,23,12,0.02631578947368421,17.0,0.1,gini
0.6344897934237255,0.6452639043663255,0.23983579505140903,0.6838972554747407,6,23.0,33,5,0.47368421052631576,41.0,0.8578947368421053,gini
0.695609074170142,0.6999696079424578,0.22832349932533438,0.765984092247366,137,7.0,53,37,0.23684210526315788,6.0,0.38421052631578945,gini
0.35614347451687645,0.5203120251241009,0.24963633031664326,0.49007177116126677,89,25.0,40,39,0.5,15.0,0.24210526315789474,entropy
0.38986639794943995,0.5323675412825448,0.24587136677475704,0.6734184685529316,58,27.0,21,56,0.47368421052631576,28.0,0.4789473684210527,gini
0.7133456517878394,0.7147604092797083,0.20643987202524258,0.7760880810692563,103,5.0,50,14,0.15789473684210525,17.0,0.8578947368421053,gini
0.7039202455064705,0.7067369060885421,0.21849860337362292,0.7697346884899684,12,13.0,13,36,0.05263157894736842,11.0,sqrt,entropy
0.7066059644587548,0.7082159862222672,0.21006074264636515,0.7712722460170994,58,30.0,20,3,0.18421052631578946,19.0,0.9526315789473684,entropy
0.7131135692891709,0.7146793637929288,0.21221333605358841,0.7774958139657289,1137,27.0,6,44,0.18421052631578946,17.0,0.8105263157894737,gini
0.712041964290411,0.7139296930402188,0.21132962376913694,0.7807166342639652,182,5.0,36,15,0.10526315789473684,60.0,0.43157894736842106,gini
0.6535065033709972,0.6550704082666396,0.2328393661334914,0.7026835275850611,6,1.0,12,51,0.23684210526315788,39.0,0.6684210526315789,entropy
0.6996836630581214,0.7018741768817749,0.22128802145796125,0.7626518609348427,58,5.0,31,45,0.23684210526315788,45.0,0.7631578947368421,entropy
0.35614347451687645,0.5203120251241009,0.24965686377244709,0.48839909683637783,78,30.0,30,6,0.5,3.0,1.0,entropy
0.7127036188114344,0.714780670651403,0.2160428009566886,0.7785723114804253,1508,15.0,3,6,0.18421052631578946,44.0,0.6684210526315789,gini
0.7020170343845383,0.707202917637524,0.22733124954194653,0.7796640152374937,241,15.0,38,3,0.13157894736842105,31.0,0.24210526315789474,entropy
0.35614347451687645,0.5203120251241009,0.24772891781272066,0.628355715047025,25,9.0,39,28,0.39473684210526316,6.0,0.1,entropy
