age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
27,services,married,secondary,no,0,yes,no,cellular,23,jul,198,13,-1,0,unknown,no
62,blue-collar,married,secondary,no,180,no,no,cellular,14,jan,183,1,90,4,other,yes
35,management,divorced,tertiary,no,434,yes,no,cellular,13,aug,1314,2,-1,0,unknown,yes
33,technician,divorced,secondary,no,22,no,no,cellular,29,aug,71,2,-1,0,unknown,no
35,blue-collar,married,secondary,no,-281,yes,no,unknown,16,jun,15,15,-1,0,unknown,no
26,blue-collar,married,primary,no,0,yes,no,unknown,21,may,425,1,-1,0,unknown,no
40,blue-collar,married,secondary,no,-60,yes,no,cellular,21,jul,250,1,-1,0,unknown,no
30,services,married,secondary,no,48,yes,no,cellular,31,jul,662,13,-1,0,unknown,yes
43,management,married,tertiary,no,177,no,no,unknown,20,jun,9,18,-1,0,unknown,no
49,admin.,divorced,secondary,no,1709,yes,no,unknown,12,jun,106,1,-1,0,unknown,no
34,services,married,secondary,no,-451,yes,yes,cellular,23,jul,498,1,-1,0,unknown,no
46,admin.,married,secondary,no,1934,no,yes,unknown,15,may,240,1,-1,0,unknown,no
55,blue-collar,married,secondary,no,989,yes,yes,unknown,23,may,246,4,-1,0,unknown,no
43,unemployed,divorced,secondary,no,1854,no,no,cellular,13,nov,131,2,197,1,success,no
45,admin.,married,secondary,no,111,yes,no,cellular,11,aug,173,1,-1,0,unknown,no
36,services,single,secondary,no,0,yes,no,cellular,15,may,1002,4,-1,0,unknown,yes
28,admin.,single,secondary,no,2,yes,no,cellular,24,jul,454,1,-1,0,unknown,yes
30,management,married,tertiary,no,74,yes,no,cellular,21,jul,106,3,-1,0,unknown,no
45,blue-collar,married,primary,no,103,no,no,cellular,28,jan,64,3,-1,0,unknown,no
46,unknown,married,unknown,no,2505,no,no,unknown,6,jun,135,2,-1,0,unknown,no
38,blue-collar,married,primary,no,0,yes,no,cellular,17,nov,78,2,193,2,failure,no
34,technician,married,secondary,no,0,yes,no,cellular,5,aug,231,2,2,3,success,yes
27,services,single,secondary,no,2153,yes,no,unknown,30,may,256,6,-1,0,unknown,no
34,blue-collar,divorced,primary,no,390,yes,no,cellular,15,may,372,2,371,2,success,no
26,services,single,secondary,no,-74,yes,no,unknown,4,jun,147,1,-1,0,unknown,no
32,management,married,tertiary,no,3651,yes,no,cellular,20,nov,142,3,-1,0,unknown,no
51,blue-collar,married,secondary,no,-92,yes,no,unknown,4,jun,28,4,-1,0,unknown,no
26,student,single,secondary,no,2469,no,no,cellular,2,feb,406,1,-1,0,unknown,no
58,blue-collar,married,primary,no,2547,no,no,unknown,15,may,174,4,-1,0,unknown,no
59,admin.,married,secondary,no,230,yes,no,unknown,6,may,190,3,-1,0,unknown,no
30,management,single,tertiary,no,8535,no,no,cellular,18,jun,393,2,-1,0,unknown,yes
25,blue-collar,married,secondary,no,758,yes,no,unknown,28,may,504,3,-1,0,unknown,no
48,management,divorced,tertiary,no,5978,no,no,cellular,28,jan,58,1,-1,0,unknown,no
40,housemaid,married,tertiary,no,795,yes,no,unknown,29,may,725,3,-1,0,unknown,no
36,management,married,tertiary,no,926,no,no,cellular,14,apr,216,1,-1,0,unknown,yes
50,management,married,tertiary,no,3327,no,no,cellular,25,aug,74,7,-1,0,unknown,no
50,management,married,tertiary,no,112,yes,no,cellular,4,nov,70,5,85,5,other,no
43,services,married,secondary,no,508,yes,no,cellular,18,nov,200,1,172,1,failure,no
65,retired,divorced,secondary,no,744,no,no,cellular,5,jul,182,1,-1,0,unknown,no
46,services,divorced,secondary,no,355,yes,no,cellular,8,may,122,2,338,8,other,no
58,blue-collar,married,secondary,no,556,no,yes,telephone,10,jul,229,4,-1,0,unknown,no
30,admin.,married,secondary,no,873,yes,no,unknown,29,may,792,3,-1,0,unknown,yes
35,blue-collar,married,secondary,no,1312,yes,no,cellular,18,may,224,1,-1,0,unknown,no
48,blue-collar,married,primary,no,257,yes,no,unknown,5,jun,333,2,-1,0,unknown,no
60,blue-collar,married,primary,no,1472,no,no,unknown,20,jun,36,4,-1,0,unknown,no
31,housemaid,married,secondary,no,592,no,yes,cellular,20,nov,124,1,-1,0,unknown,no
27,management,married,tertiary,no,893,no,no,cellular,16,oct,154,2,-1,0,unknown,yes
26,services,single,secondary,no,110,no,no,cellular,30,jan,1136,2,-1,0,unknown,yes
37,services,married,primary,no,52,yes,no,unknown,7,may,359,1,-1,0,unknown,no
30,blue-collar,married,secondary,no,177,yes,no,cellular,9,apr,62,2,332,3,failure,no
53,technician,single,unknown,no,5331,no,no,cellular,21,nov,302,1,-1,0,unknown,no
30,management,married,tertiary,no,4874,yes,no,cellular,25,aug,134,10,-1,0,unknown,no
29,services,divorced,secondary,no,1336,yes,no,unknown,28,may,298,5,-1,0,unknown,no
44,admin.,married,secondary,no,1206,no,no,cellular,19,nov,180,3,-1,0,unknown,no
43,technician,divorced,secondary,no,-278,no,no,cellular,28,aug,103,8,-1,0,unknown,no
46,technician,single,secondary,no,4367,yes,no,cellular,3,jun,65,1,96,1,failure,no
49,management,married,primary,no,330,no,no,unknown,16,jun,123,1,-1,0,unknown,no
45,management,married,tertiary,no,21024,yes,no,cellular,20,apr,73,4,-1,0,unknown,no
39,entrepreneur,married,tertiary,no,745,no,no,cellular,8,aug,88,1,-1,0,unknown,no
35,blue-collar,married,primary,no,105,yes,no,unknown,8,may,369,2,-1,0,unknown,no
27,unknown,single,secondary,no,1187,no,no,telephone,26,feb,232,1,101,1,failure,yes
47,technician,married,secondary,no,293,no,no,cellular,3,mar,499,1,-1,0,unknown,yes
39,management,married,tertiary,no,21111,yes,no,unknown,26,may,695,4,-1,0,unknown,no
45,blue-collar,married,primary,no,333,yes,no,unknown,13,may,160,3,-1,0,unknown,no
33,management,married,secondary,no,-14,yes,no,cellular,20,apr,856,3,-1,0,unknown,no
34,admin.,divorced,primary,no,9569,yes,no,unknown,9,may,43,2,-1,0,unknown,no
30,management,married,tertiary,no,0,yes,no,cellular,9,jul,127,1,-1,0,unknown,no
47,admin.,married,secondary,no,769,yes,no,cellular,5,may,183,1,265,2,failure,no
33,management,single,tertiary,no,1590,no,no,cellular,29,jan,57,1,-1,0,unknown,no
34,technician,married,tertiary,no,8463,no,no,cellular,13,aug,80,2,-1,0,unknown,no
30,blue-collar,married,primary,no,1101,yes,yes,cellular,2,jul,590,1,225,3,failure,no
53,blue-collar,married,primary,no,358,yes,no,unknown,3,jun,384,1,-1,0,unknown,no
36,unemployed,married,secondary,no,16,yes,yes,cellular,17,nov,89,2,-1,0,unknown,no
57,retired,married,secondary,no,3738,yes,no,cellular,20,jul,178,2,92,8,failure,yes
29,blue-collar,single,secondary,no,322,no,no,unknown,14,jun,434,1,96,6,other,yes
58,management,divorced,secondary,no,3161,no,no,telephone,30,jul,542,2,-1,0,unknown,yes
32,blue-collar,married,secondary,no,10142,yes,no,cellular,20,nov,249,1,-1,0,unknown,no
26,self-employed,married,secondary,yes,254,yes,yes,cellular,25,jul,335,1,-1,0,unknown,no
40,services,married,secondary,no,-626,yes,no,unknown,26,may,147,2,-1,0,unknown,no
33,unemployed,single,secondary,no,682,no,no,cellular,5,feb,251,1,-1,0,unknown,no
41,management,married,tertiary,no,0,yes,no,cellular,23,jul,285,3,-1,0,unknown,no
40,management,married,tertiary,no,4381,no,no,telephone,29,jul,126,2,-1,0,unknown,no
64,retired,married,secondary,no,2031,no,no,cellular,13,nov,202,5,-1,0,unknown,no
43,admin.,married,secondary,no,315,no,no,cellular,23,jul,129,2,-1,0,unknown,no
35,services,married,secondary,no,0,no,no,unknown,30,may,147,9,-1,0,unknown,no
33,management,divorced,tertiary,no,433,no,no,cellular,21,aug,575,4,-1,0,unknown,no
43,services,divorced,tertiary,no,2279,no,yes,unknown,26,jun,344,1,-1,0,unknown,no
34,blue-collar,married,secondary,no,156,yes,no,cellular,29,jul,393,3,-1,0,unknown,no
42,management,married,tertiary,no,298,no,no,cellular,11,oct,137,3,95,10,failure,no
33,housemaid,single,secondary,no,96,yes,no,cellular,14,may,30,6,-1,0,unknown,no
47,blue-collar,married,secondary,no,13,yes,yes,telephone,23,jul,135,2,-1,0,unknown,no
38,admin.,married,secondary,no,664,yes,no,unknown,14,may,256,2,-1,0,unknown,no
45,blue-collar,married,primary,no,-175,yes,yes,unknown,28,may,215,2,-1,0,unknown,no
43,management,married,tertiary,no,-69,yes,no,unknown,26,may,48,2,-1,0,unknown,no
49,blue-collar,married,primary,no,3915,yes,no,telephone,15,apr,44,1,-1,0,unknown,no
63,entrepreneur,married,tertiary,no,2707,no,no,telephone,16,nov,57,4,-1,0,unknown,no
39,technician,divorced,secondary,no,394,yes,no,unknown,29,may,184,1,-1,0,unknown,no
52,management,married,tertiary,no,601,yes,no,unknown,14,may,249,2,-1,0,unknown,no
57,admin.,divorced,secondary,yes,-435,yes,yes,cellular,6,feb,89,5,273,2,failure,no
39,admin.,married,secondary,no,140,no,no,cellular,4,may,40,5,-1,0,unknown,no
25,blue-collar,married,primary,no,0,no,no,cellular,7,jul,64,1,-1,0,unknown,no
28,services,single,secondary,no,221,yes,no,cellular,15,may,256,1,-1,0,unknown,no
30,technician,single,secondary,no,10152,yes,no,cellular,6,apr,1108,2,270,1,failure,no
33,technician,single,secondary,no,1429,yes,no,cellular,31,aug,268,8,-1,0,unknown,yes
51,housemaid,divorced,primary,no,336,no,no,unknown,17,jun,105,1,-1,0,unknown,no
46,admin.,married,secondary,no,3028,yes,yes,unknown,14,may,116,1,-1,0,unknown,no
35,management,married,tertiary,no,299,no,no,cellular,19,aug,1059,5,-1,0,unknown,no
41,blue-collar,married,primary,no,0,no,no,cellular,31,jul,22,2,-1,0,unknown,no
42,management,married,tertiary,no,7,no,no,cellular,20,aug,582,7,-1,0,unknown,no
60,management,married,unknown,no,6313,no,no,unknown,19,jun,39,2,-1,0,unknown,no
50,blue-collar,married,primary,no,1617,no,no,cellular,26,aug,55,4,-1,0,unknown,no
28,blue-collar,married,primary,no,459,yes,yes,unknown,3,jun,178,1,-1,0,unknown,no
38,services,married,secondary,no,507,yes,no,unknown,8,may,95,1,-1,0,unknown,no
31,technician,married,secondary,no,522,yes,yes,cellular,27,aug,308,4,-1,0,unknown,no
57,technician,divorced,secondary,no,77,yes,yes,cellular,29,jan,168,3,246,2,failure,no
56,blue-collar,married,primary,no,8318,yes,no,unknown,16,may,428,2,-1,0,unknown,no
57,admin.,married,secondary,no,403,yes,no,cellular,18,may,603,1,340,2,other,yes
49,housemaid,married,secondary,no,3,no,no,cellular,20,aug,118,2,-1,0,unknown,no
30,unknown,single,unknown,no,6929,no,no,cellular,19,nov,341,1,-1,0,unknown,no
40,technician,married,tertiary,no,0,yes,no,cellular,17,jul,383,3,-1,0,unknown,no
36,admin.,single,tertiary,no,980,no,no,cellular,30,jul,156,3,179,4,failure,no
32,management,married,tertiary,no,2172,yes,no,cellular,22,aug,306,4,-1,0,unknown,no
60,housemaid,married,primary,no,763,yes,no,telephone,10,jul,180,3,-1,0,unknown,no
37,unknown,single,secondary,no,57,yes,no,unknown,27,may,142,1,-1,0,unknown,no
57,retired,married,tertiary,no,138,no,no,unknown,26,may,157,5,-1,0,unknown,no
49,technician,divorced,secondary,no,972,no,no,cellular,25,may,613,2,-1,0,unknown,no
50,admin.,divorced,secondary,no,556,yes,no,cellular,25,jul,305,1,-1,0,unknown,no
59,blue-collar,divorced,primary,no,1,no,yes,cellular,8,jul,214,1,-1,0,unknown,no
48,management,divorced,tertiary,no,5041,yes,no,unknown,2,jun,362,1,-1,0,unknown,no
55,management,divorced,tertiary,no,552,no,no,unknown,7,may,241,2,-1,0,unknown,no
35,management,single,tertiary,no,550,yes,no,unknown,6,may,55,2,-1,0,unknown,no
34,blue-collar,married,secondary,no,1221,yes,no,cellular,6,may,182,1,90,8,failure,no
55,housemaid,married,primary,no,0,no,no,unknown,11,jun,306,3,-1,0,unknown,no
35,management,married,tertiary,no,323,no,no,cellular,11,jan,261,2,-1,0,unknown,yes
52,management,divorced,tertiary,no,3,no,no,unknown,1,jul,28,1,-1,0,unknown,no
40,management,married,tertiary,no,-17,yes,yes,cellular,11,may,474,1,256,1,success,yes
32,technician,single,secondary,no,-23,no,yes,cellular,7,aug,152,5,-1,0,unknown,no
34,management,single,tertiary,no,6766,no,no,cellular,28,aug,210,5,-1,0,unknown,no
44,technician,married,primary,no,7800,yes,no,cellular,19,nov,250,1,-1,0,unknown,no
38,blue-collar,married,secondary,no,475,yes,no,cellular,5,feb,412,1,-1,0,unknown,no
42,blue-collar,married,secondary,no,3743,yes,no,unknown,14,may,136,1,-1,0,unknown,no
60,housemaid,married,primary,no,0,no,yes,telephone,22,jul,124,1,-1,0,unknown,no
59,unemployed,married,primary,no,0,no,no,cellular,30,jan,3025,2,-1,0,unknown,no
48,blue-collar,single,tertiary,no,2330,yes,no,unknown,4,jun,15,1,-1,0,unknown,no
60,admin.,married,secondary,no,4348,yes,no,cellular,1,oct,131,2,98,12,other,no
33,management,married,tertiary,no,51,yes,no,cellular,21,aug,273,2,-1,0,unknown,no
57,management,divorced,secondary,no,3625,yes,no,unknown,14,may,747,3,-1,0,unknown,no
43,technician,divorced,secondary,no,-414,no,no,cellular,27,aug,590,4,-1,0,unknown,no
40,technician,single,tertiary,no,226,no,no,cellular,15,jan,176,2,-1,0,unknown,no
36,blue-collar,single,primary,no,263,yes,no,unknown,15,may,172,2,-1,0,unknown,no
50,blue-collar,divorced,primary,no,-19,yes,no,cellular,21,jul,407,11,-1,0,unknown,no
36,blue-collar,married,secondary,no,753,yes,no,unknown,12,jun,351,1,-1,0,unknown,no
35,housemaid,married,secondary,no,738,yes,no,cellular,5,may,81,9,-1,0,unknown,no
49,housemaid,married,primary,no,3376,no,no,unknown,9,jun,119,3,-1,0,unknown,no
31,services,divorced,secondary,no,81,yes,no,cellular,16,apr,139,1,-1,0,unknown,no
47,blue-collar,married,primary,no,113,yes,no,unknown,13,may,276,1,-1,0,unknown,no
52,technician,married,secondary,no,1490,no,yes,unknown,17,jun,420,4,-1,0,unknown,no
29,services,single,secondary,no,695,no,no,unknown,3,jul,97,1,-1,0,unknown,no
34,management,married,tertiary,no,8000,no,no,cellular,12,feb,291,1,260,2,failure,yes
47,technician,married,secondary,no,1059,yes,no,cellular,21,nov,58,1,127,1,failure,no
25,management,single,tertiary,no,1259,no,no,cellular,12,mar,85,1,-1,0,unknown,no
46,services,married,secondary,no,417,yes,no,cellular,30,jan,219,1,2,1,other,no
46,admin.,married,secondary,no,1083,no,no,cellular,25,aug,67,9,-1,0,unknown,no
44,blue-collar,married,primary,no,-171,yes,no,unknown,7,may,441,2,-1,0,unknown,no
51,services,married,secondary,no,2248,yes,no,unknown,5,may,714,2,-1,0,unknown,no
42,technician,married,secondary,no,1018,no,no,cellular,18,aug,280,2,-1,0,unknown,no
59,technician,married,secondary,no,0,no,no,unknown,1,jul,249,1,-1,0,unknown,no
55,technician,married,secondary,no,273,yes,no,cellular,29,jan,84,3,183,3,failure,no
31,unemployed,divorced,secondary,no,1144,yes,no,cellular,8,may,65,2,367,1,failure,no
36,blue-collar,married,secondary,no,439,yes,no,unknown,29,may,179,2,-1,0,unknown,no
31,management,married,tertiary,no,546,no,no,cellular,7,aug,147,2,-1,0,unknown,no
33,blue-collar,divorced,secondary,no,474,no,no,cellular,22,jul,400,2,-1,0,unknown,no
54,admin.,married,unknown,no,-24,no,no,telephone,28,jan,98,2,-1,0,unknown,no
27,technician,married,unknown,no,811,yes,no,unknown,28,may,591,2,-1,0,unknown,no
38,blue-collar,single,primary,no,-5,yes,no,unknown,21,may,30,12,-1,0,unknown,no
34,management,single,tertiary,no,966,yes,no,cellular,21,nov,393,1,101,3,failure,no
38,technician,divorced,secondary,no,1559,yes,no,cellular,18,may,22,6,179,10,failure,no
33,self-employed,divorced,tertiary,no,454,no,yes,cellular,18,nov,134,1,-1,0,unknown,no
43,self-employed,married,primary,no,9304,no,no,cellular,8,aug,362,4,-1,0,unknown,no
46,blue-collar,married,secondary,no,942,no,no,telephone,22,jul,425,2,-1,0,unknown,no
30,services,single,secondary,no,20,yes,no,cellular,20,apr,404,6,340,1,failure,no
49,management,married,tertiary,no,176,yes,yes,cellular,14,jul,102,2,-1,0,unknown,no
47,blue-collar,married,secondary,no,1612,yes,no,cellular,2,apr,1164,1,-1,0,unknown,yes
32,services,single,secondary,no,-55,yes,no,cellular,15,apr,601,1,-1,0,unknown,no
55,services,married,unknown,no,2944,no,no,cellular,27,aug,672,6,-1,0,unknown,yes
36,admin.,single,secondary,no,206,yes,no,unknown,8,may,183,1,-1,0,unknown,no
25,management,single,tertiary,no,2305,no,no,cellular,30,apr,193,1,86,1,failure,no
31,blue-collar,single,secondary,no,-78,yes,yes,unknown,23,may,198,2,-1,0,unknown,no
38,management,married,tertiary,no,238,no,no,cellular,4,aug,139,1,92,3,failure,yes
60,management,divorced,secondary,no,151,no,no,cellular,6,aug,160,4,-1,0,unknown,no
49,unemployed,married,secondary,no,13818,no,no,cellular,21,nov,201,1,113,2,failure,no
53,admin.,married,secondary,no,769,no,no,cellular,4,aug,59,1,-1,0,unknown,no
44,services,married,secondary,no,1422,yes,no,unknown,20,may,129,8,-1,0,unknown,no
46,blue-collar,married,primary,no,123,no,no,cellular,29,aug,168,2,-1,0,unknown,no
37,unemployed,married,tertiary,no,7620,no,no,telephone,31,aug,164,3,98,3,failure,no
35,self-employed,married,tertiary,no,2427,no,no,cellular,12,aug,175,3,31,10,success,yes
24,blue-collar,married,secondary,no,237,yes,no,unknown,12,may,200,2,-1,0,unknown,no
31,technician,single,tertiary,no,699,yes,no,cellular,15,may,282,4,277,4,failure,no
29,admin.,married,secondary,no,396,yes,no,unknown,30,may,205,2,-1,0,unknown,no
31,blue-collar,married,primary,no,81,yes,no,unknown,13,may,245,4,-1,0,unknown,no
44,blue-collar,married,secondary,no,289,no,no,unknown,11,jun,300,1,-1,0,unknown,no
58,technician,married,unknown,no,-205,yes,no,unknown,3,jun,497,2,-1,0,unknown,no
61,management,married,tertiary,no,175,no,no,telephone,5,aug,270,2,-1,0,unknown,yes
44,management,divorced,tertiary,yes,-26,no,no,cellular,22,aug,92,4,-1,0,unknown,no
30,blue-collar,single,secondary,no,3950,yes,no,telephone,18,may,152,4,370,3,other,no
33,blue-collar,married,secondary,no,25,yes,no,unknown,23,may,3,3,-1,0,unknown,no
29,services,married,secondary,no,-753,yes,yes,unknown,23,may,98,1,-1,0,unknown,no
58,management,married,tertiary,no,0,no,no,cellular,28,aug,24,9,-1,0,unknown,no
37,management,divorced,tertiary,no,488,yes,no,cellular,17,sep,328,1,854,2,failure,yes
28,technician,single,tertiary,no,959,yes,no,cellular,29,jan,330,2,-1,0,unknown,no
25,admin.,single,secondary,no,53,yes,no,cellular,12,may,213,6,-1,0,unknown,no
30,admin.,married,secondary,no,32,yes,yes,cellular,22,jul,163,1,-1,0,unknown,no
26,admin.,single,secondary,no,255,no,no,cellular,14,aug,209,2,106,2,success,yes
53,retired,married,secondary,no,38,yes,no,cellular,17,nov,89,1,-1,0,unknown,no
33,technician,married,secondary,no,241,yes,no,cellular,13,may,1108,3,-1,0,unknown,no
59,entrepreneur,married,tertiary,no,146,yes,no,cellular,12,may,97,3,365,6,failure,no
45,unemployed,married,secondary,no,7203,no,no,cellular,30,apr,572,2,-1,0,unknown,no
59,housemaid,married,primary,no,-187,yes,no,telephone,21,jul,118,7,-1,0,unknown,no
25,technician,single,tertiary,no,1954,yes,yes,cellular,13,may,66,1,351,1,failure,no
39,admin.,married,secondary,no,598,yes,no,unknown,15,may,444,1,-1,0,unknown,no
48,technician,married,secondary,no,1526,no,no,cellular,6,aug,273,2,-1,0,unknown,no
45,unemployed,divorced,primary,yes,-249,yes,yes,unknown,1,jul,92,1,-1,0,unknown,no
50,admin.,married,secondary,no,-779,yes,yes,cellular,22,jul,112,2,-1,0,unknown,no
34,management,married,tertiary,no,912,yes,no,unknown,3,jun,372,1,-1,0,unknown,no
35,blue-collar,married,secondary,no,412,yes,no,unknown,3,jun,316,1,-1,0,unknown,no
30,services,single,tertiary,no,21,no,no,unknown,5,oct,4,1,-1,0,unknown,no
50,blue-collar,married,primary,no,-522,yes,no,cellular,13,may,863,3,-1,0,unknown,yes
46,management,single,tertiary,no,187,yes,no,unknown,5,may,113,2,-1,0,unknown,no
26,blue-collar,single,secondary,yes,-8019,no,yes,cellular,7,jul,299,3,-1,0,unknown,no
39,technician,married,secondary,no,0,yes,yes,cellular,4,feb,60,1,-1,0,unknown,no
24,services,single,secondary,no,0,no,no,unknown,16,may,280,1,-1,0,unknown,no
47,unemployed,married,secondary,no,49,yes,no,cellular,17,jul,66,7,-1,0,unknown,no
33,technician,married,secondary,no,3,no,no,cellular,13,aug,212,3,-1,0,unknown,no
41,admin.,divorced,secondary,no,-106,yes,no,unknown,2,jun,134,3,-1,0,unknown,no
45,technician,married,secondary,no,3583,yes,no,unknown,15,may,191,1,-1,0,unknown,no
59,housemaid,divorced,secondary,no,45141,no,no,unknown,6,jun,42,1,-1,0,unknown,no
56,management,married,primary,no,870,no,no,cellular,16,nov,257,1,-1,0,unknown,yes
39,technician,single,secondary,no,4380,no,no,telephone,9,jul,87,8,-1,0,unknown,no
33,management,married,tertiary,no,1388,yes,no,cellular,10,nov,280,1,89,2,failure,no
41,management,married,tertiary,no,-195,no,yes,cellular,20,nov,112,1,-1,0,unknown,no
31,management,single,tertiary,no,357,yes,no,unknown,23,may,77,3,-1,0,unknown,no
34,technician,divorced,secondary,no,0,yes,yes,cellular,20,apr,110,3,269,2,other,no
30,technician,single,secondary,no,656,no,yes,unknown,4,jul,523,1,-1,0,unknown,no
34,blue-collar,married,primary,no,139,yes,no,unknown,9,may,106,1,-1,0,unknown,no
57,services,divorced,secondary,no,14,no,yes,cellular,22,jul,445,2,-1,0,unknown,no
59,entrepreneur,married,tertiary,no,712,yes,no,unknown,11,jun,109,1,-1,0,unknown,no
31,technician,married,secondary,no,54,no,no,cellular,20,nov,775,1,-1,0,unknown,no
51,unemployed,married,secondary,no,495,yes,yes,unknown,20,jun,154,8,-1,0,unknown,no
34,management,married,secondary,no,243,no,no,cellular,30,jan,417,4,-1,0,unknown,no
42,blue-collar,single,primary,no,22,yes,no,cellular,14,may,116,4,365,1,failure,no
48,services,married,secondary,no,0,no,no,telephone,24,jul,154,1,-1,0,unknown,no
38,blue-collar,married,secondary,no,117,yes,no,cellular,7,may,54,1,337,1,failure,no
30,management,married,tertiary,no,527,yes,yes,unknown,21,may,265,1,-1,0,unknown,no
30,unemployed,married,primary,no,1379,no,yes,cellular,20,nov,172,2,-1,0,unknown,no
39,blue-collar,married,secondary,no,356,yes,yes,unknown,7,may,607,1,-1,0,unknown,no
26,blue-collar,single,secondary,no,6,no,yes,telephone,7,jul,360,3,-1,0,unknown,no
54,technician,single,tertiary,no,467,yes,no,cellular,18,jul,674,3,-1,0,unknown,yes
33,entrepreneur,married,tertiary,no,964,yes,no,cellular,18,may,97,1,180,3,failure,no
42,services,married,secondary,no,3689,yes,no,unknown,3,jun,363,1,-1,0,unknown,no
40,technician,single,secondary,no,200,yes,no,unknown,6,may,322,2,-1,0,unknown,no
43,housemaid,married,secondary,no,5233,no,no,unknown,18,jun,108,2,-1,0,unknown,no
32,blue-collar,married,secondary,no,1873,yes,yes,unknown,20,jun,23,24,-1,0,unknown,no
35,admin.,married,secondary,yes,0,no,yes,unknown,4,jul,105,3,-1,0,unknown,no
60,retired,married,tertiary,no,2557,yes,no,cellular,2,feb,415,1,-1,0,unknown,yes
39,management,single,tertiary,no,1234,no,no,telephone,29,jul,64,4,-1,0,unknown,no
39,blue-collar,married,secondary,no,23,yes,no,unknown,12,may,22,5,-1,0,unknown,no
51,blue-collar,married,primary,no,-26,yes,no,unknown,27,may,47,1,-1,0,unknown,no
42,management,married,secondary,no,2416,yes,no,unknown,20,may,138,4,-1,0,unknown,no
39,services,single,secondary,no,0,yes,yes,cellular,20,apr,286,4,-1,0,unknown,no
57,management,married,tertiary,no,0,no,no,cellular,19,aug,188,4,-1,0,unknown,no
45,blue-collar,married,primary,no,503,yes,no,cellular,11,may,313,1,369,2,failure,no
32,technician,single,secondary,no,1279,yes,no,unknown,3,jun,1173,3,-1,0,unknown,yes
31,blue-collar,married,secondary,no,326,no,yes,cellular,29,jan,124,1,-1,0,unknown,no
45,housemaid,married,tertiary,no,40,yes,no,cellular,2,feb,68,1,-1,0,unknown,no
40,admin.,single,tertiary,no,283,yes,no,cellular,20,apr,222,1,153,4,failure,no
41,technician,married,secondary,no,6171,no,no,cellular,28,aug,50,5,-1,0,unknown,no
41,housemaid,married,primary,no,365,no,no,cellular,8,aug,203,5,-1,0,unknown,no
45,services,married,secondary,no,0,no,no,unknown,4,jun,153,6,-1,0,unknown,no
34,management,married,tertiary,no,4943,yes,no,cellular,17,jul,118,2,-1,0,unknown,no
37,housemaid,married,primary,no,2410,no,no,cellular,4,aug,315,1,-1,0,unknown,no
46,entrepreneur,married,unknown,no,1481,yes,no,unknown,7,may,49,3,-1,0,unknown,no
35,management,single,tertiary,no,175,yes,yes,cellular,21,nov,53,1,-1,0,unknown,no
43,self-employed,married,secondary,no,5704,yes,no,cellular,6,aug,139,2,-1,0,unknown,no
36,management,married,tertiary,no,2161,no,no,cellular,8,sep,708,2,183,5,success,yes
35,management,single,tertiary,no,-146,yes,no,cellular,14,may,279,1,266,1,failure,no
32,blue-collar,married,secondary,no,-1500,yes,no,unknown,27,may,157,2,-1,0,unknown,no
39,technician,married,secondary,no,-735,yes,no,cellular,30,jan,144,5,248,2,failure,no
30,technician,single,tertiary,no,69,no,no,cellular,21,aug,300,1,-1,0,unknown,no
