Unnamed: 0,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
7324,83577,Female,Loyal Customer,44,Business travel,Business,1757,2,3,3,3,5,3,2,2,2,2,2,4,2,1,5,25.0,neutral or dissatisfied
1674,120496,Male,disloyal Customer,32,Business travel,Eco Plus,449,3,3,3,4,4,3,4,4,3,5,3,3,4,4,0,4.0,neutral or dissatisfied
1436,75309,Female,Loyal Customer,53,Business travel,Business,2504,2,2,2,2,3,5,5,4,4,4,4,4,4,3,0,0.0,satisfied
6804,93642,Female,disloyal Customer,40,Business travel,Business,704,4,4,4,3,5,4,1,5,3,4,4,4,5,5,3,9.0,satisfied
19274,116317,Male,Loyal Customer,37,Personal Travel,Eco,362,2,5,2,5,2,2,2,2,3,5,4,4,4,2,2,2.0,neutral or dissatisfied
3321,11328,Male,Loyal Customer,46,Personal Travel,Eco,517,3,4,3,3,3,3,3,3,3,3,4,5,5,3,41,36.0,neutral or dissatisfied
10207,29611,Female,Loyal Customer,29,Business travel,Business,3058,4,1,4,4,4,4,4,4,5,5,1,4,2,4,0,0.0,satisfied
1755,83497,Male,Loyal Customer,46,Business travel,Eco,546,4,2,2,2,4,4,4,5,2,2,2,4,5,4,266,262.0,satisfied
22538,44146,Male,Loyal Customer,17,Personal Travel,Eco,120,3,5,3,4,4,3,4,4,2,4,1,3,5,4,33,13.0,neutral or dissatisfied
16764,65295,Male,Loyal Customer,61,Personal Travel,Eco Plus,551,3,3,4,4,4,4,4,4,2,1,4,2,3,4,29,21.0,neutral or dissatisfied
14820,20833,Male,disloyal Customer,24,Business travel,Eco,508,2,1,2,2,3,2,5,3,4,3,2,4,3,3,0,0.0,neutral or dissatisfied
11185,35967,Male,Loyal Customer,43,Personal Travel,Eco,231,2,4,2,4,4,2,4,4,1,4,4,3,3,4,96,102.0,neutral or dissatisfied
2508,110536,Female,disloyal Customer,29,Business travel,Business,674,4,4,4,4,5,4,5,5,5,2,5,3,5,5,0,0.0,satisfied
11763,39726,Female,Loyal Customer,63,Business travel,Business,320,3,3,3,3,5,4,3,3,3,3,3,3,3,4,1,0.0,neutral or dissatisfied
14337,101761,Male,Loyal Customer,10,Personal Travel,Eco,1590,4,4,4,1,2,4,2,2,5,2,3,4,5,2,85,64.0,neutral or dissatisfied
10472,5974,Female,Loyal Customer,35,Personal Travel,Business,1041,3,5,3,3,2,5,4,2,2,3,2,5,2,5,22,11.0,neutral or dissatisfied
23340,101926,Female,Loyal Customer,58,Business travel,Business,628,3,3,3,3,2,4,5,4,4,4,4,3,4,4,77,57.0,satisfied
3457,123063,Female,Loyal Customer,41,Business travel,Business,590,3,2,3,3,3,5,4,4,4,4,4,5,4,3,0,0.0,satisfied
8760,34591,Male,Loyal Customer,43,Business travel,Eco,1617,4,5,5,5,4,4,4,4,4,2,5,3,5,4,0,0.0,satisfied
18768,67783,Female,disloyal Customer,25,Business travel,Eco,1205,1,1,1,3,3,1,3,3,2,3,3,4,4,3,17,16.0,neutral or dissatisfied
15389,43559,Male,Loyal Customer,45,Business travel,Eco,637,5,5,4,4,5,5,5,5,5,4,3,2,3,5,0,0.0,satisfied
17379,23418,Female,Loyal Customer,62,Personal Travel,Eco,541,2,5,2,4,4,5,4,4,4,2,4,5,4,3,49,63.0,neutral or dissatisfied
20283,12350,Male,Loyal Customer,37,Business travel,Eco,192,2,4,4,4,2,2,2,2,2,2,4,2,4,2,83,75.0,neutral or dissatisfied
2311,15695,Male,Loyal Customer,24,Business travel,Business,192,3,2,2,2,2,2,3,2,3,1,3,2,4,2,67,64.0,neutral or dissatisfied
7458,101289,Male,Loyal Customer,39,Business travel,Business,444,4,3,4,4,5,5,4,3,3,4,3,5,3,4,0,0.0,satisfied
2469,48528,Female,Loyal Customer,39,Business travel,Eco,433,3,5,1,5,3,5,3,3,1,1,1,1,5,3,0,0.0,satisfied
13224,88506,Male,disloyal Customer,17,Business travel,Business,223,0,0,0,4,3,0,3,3,3,4,3,3,3,3,0,0.0,satisfied
25048,53873,Male,Loyal Customer,64,Business travel,Eco,224,5,2,2,2,5,5,5,5,1,4,4,4,5,5,0,0.0,satisfied
17214,57829,Male,Loyal Customer,62,Personal Travel,Eco Plus,622,4,5,4,3,2,4,2,2,2,4,2,4,4,2,0,0.0,neutral or dissatisfied
492,68344,Male,Loyal Customer,31,Business travel,Business,1598,5,5,5,5,4,4,4,4,3,4,5,5,4,4,0,0.0,satisfied
3850,13681,Male,Loyal Customer,52,Business travel,Business,954,3,3,3,3,5,4,2,4,4,4,4,5,4,3,9,13.0,satisfied
7455,31109,Male,disloyal Customer,28,Business travel,Eco,483,2,2,2,3,4,2,4,4,2,4,4,1,4,4,24,29.0,neutral or dissatisfied
7222,37645,Female,Loyal Customer,10,Personal Travel,Eco,1144,3,5,3,4,2,3,2,2,4,3,5,3,5,2,16,0.0,neutral or dissatisfied
22603,8382,Male,Loyal Customer,61,Personal Travel,Eco,701,3,4,3,2,4,3,4,4,5,2,5,5,5,4,0,5.0,neutral or dissatisfied
22448,127606,Female,Loyal Customer,58,Business travel,Business,1773,4,4,4,4,3,4,4,5,5,4,5,5,5,4,0,0.0,satisfied
12057,10632,Female,Loyal Customer,50,Business travel,Business,140,2,2,2,2,4,5,4,5,5,5,5,3,5,3,0,0.0,satisfied
14302,123373,Female,Loyal Customer,20,Personal Travel,Eco,644,2,4,1,4,1,1,1,1,3,4,2,3,1,1,18,0.0,neutral or dissatisfied
1714,119627,Male,Loyal Customer,35,Personal Travel,Eco,1927,2,4,1,4,1,5,5,4,3,4,5,5,4,5,190,181.0,neutral or dissatisfied
13625,47628,Female,disloyal Customer,41,Business travel,Eco,1482,5,5,5,4,2,5,2,2,4,2,2,3,5,2,0,0.0,satisfied
3653,56024,Female,Loyal Customer,36,Business travel,Business,2586,3,1,1,1,3,3,3,3,3,3,3,1,3,3,0,0.0,neutral or dissatisfied
19218,26966,Female,Loyal Customer,42,Business travel,Business,2889,4,4,4,4,3,1,3,5,5,5,5,1,5,1,0,0.0,satisfied
19450,42330,Female,Loyal Customer,47,Personal Travel,Eco,550,3,1,3,4,5,3,4,4,4,3,3,3,4,2,0,8.0,neutral or dissatisfied
8396,123785,Female,Loyal Customer,29,Business travel,Business,541,3,3,3,3,3,3,3,3,5,4,5,4,5,3,4,0.0,satisfied
24573,35868,Male,Loyal Customer,36,Personal Travel,Eco,937,4,2,4,4,3,4,3,3,4,2,4,4,3,3,0,2.0,satisfied
10186,126235,Female,disloyal Customer,25,Business travel,Eco,328,4,0,4,3,5,4,5,5,2,3,2,5,1,5,0,0.0,neutral or dissatisfied
9175,35517,Female,Loyal Customer,38,Personal Travel,Eco,1144,4,5,5,1,3,5,3,3,5,4,3,4,4,3,0,0.0,neutral or dissatisfied
16301,62626,Female,Loyal Customer,22,Personal Travel,Eco,1846,2,5,2,2,5,2,5,5,3,2,1,1,1,5,0,0.0,neutral or dissatisfied
20310,31283,Male,Loyal Customer,35,Personal Travel,Eco,770,2,4,2,3,4,2,4,4,5,5,5,3,4,4,8,0.0,neutral or dissatisfied
22991,30680,Male,Loyal Customer,58,Business travel,Eco,680,4,4,2,4,4,4,4,4,2,4,5,5,1,4,0,18.0,satisfied
2276,92166,Female,Loyal Customer,57,Business travel,Business,2079,3,3,3,3,5,3,4,4,4,4,4,5,4,4,0,0.0,satisfied
21293,37527,Female,Loyal Customer,31,Business travel,Business,950,2,2,2,2,5,5,5,5,1,1,1,4,2,5,0,0.0,satisfied
17014,81827,Male,Loyal Customer,57,Personal Travel,Eco,1310,2,5,2,4,3,2,3,3,5,3,3,5,4,3,3,0.0,neutral or dissatisfied
21075,114785,Female,Loyal Customer,39,Business travel,Business,2883,1,1,1,1,2,4,5,5,5,5,5,3,5,5,22,25.0,satisfied
16253,41364,Male,Loyal Customer,59,Business travel,Eco,775,4,4,4,4,4,4,4,4,4,2,2,3,3,4,37,51.0,satisfied
960,13793,Female,Loyal Customer,18,Business travel,Eco Plus,878,0,5,0,4,4,0,4,4,1,2,3,1,2,4,20,20.0,satisfied
15051,19794,Male,Loyal Customer,67,Personal Travel,Eco,760,3,5,3,3,1,3,1,1,1,5,3,4,1,1,6,0.0,neutral or dissatisfied
23302,36114,Female,Loyal Customer,41,Business travel,Business,1698,4,3,3,3,5,2,3,4,4,3,4,3,4,2,0,12.0,neutral or dissatisfied
2725,7420,Male,Loyal Customer,54,Business travel,Business,552,1,4,3,3,2,4,4,1,1,1,1,2,1,4,7,0.0,neutral or dissatisfied
10332,10431,Male,Loyal Customer,48,Business travel,Business,316,3,3,3,3,3,5,5,4,4,4,4,4,4,4,0,0.0,satisfied
15234,73627,Male,Loyal Customer,28,Business travel,Business,2763,1,5,5,5,3,3,1,3,1,2,4,4,4,3,0,0.0,neutral or dissatisfied
17257,81541,Male,Loyal Customer,58,Personal Travel,Eco,1124,2,3,2,3,4,2,4,4,2,1,1,1,2,4,0,0.0,neutral or dissatisfied
15693,37784,Male,Loyal Customer,28,Business travel,Eco Plus,1010,3,4,4,4,3,3,3,3,4,5,3,2,3,3,0,4.0,neutral or dissatisfied
15115,67960,Male,Loyal Customer,41,Business travel,Business,1464,5,5,5,5,2,5,4,4,4,4,4,5,4,4,4,0.0,satisfied
1427,21222,Female,Loyal Customer,49,Personal Travel,Eco,192,2,5,2,3,4,4,4,2,2,2,3,5,2,3,0,0.0,neutral or dissatisfied
929,23806,Male,Loyal Customer,80,Business travel,Business,3247,1,5,1,1,1,1,5,4,4,4,4,2,4,5,50,37.0,satisfied
25689,123753,Female,Loyal Customer,51,Business travel,Business,544,1,1,1,1,5,4,4,4,4,4,4,5,4,4,0,0.0,satisfied
9956,9954,Female,disloyal Customer,38,Business travel,Business,357,2,3,3,4,2,3,2,2,3,3,5,3,4,2,0,0.0,neutral or dissatisfied
13864,111856,Male,Loyal Customer,55,Business travel,Business,628,2,2,2,2,5,4,5,5,5,5,5,3,5,3,0,0.0,satisfied
579,124533,Female,Loyal Customer,45,Business travel,Business,3139,2,3,5,5,1,3,3,2,2,2,2,1,2,2,0,0.0,neutral or dissatisfied
5945,85798,Male,Loyal Customer,46,Business travel,Business,1792,4,4,4,4,1,3,1,5,5,5,5,2,5,3,6,0.0,satisfied
15027,87764,Male,Loyal Customer,46,Business travel,Business,214,2,2,2,2,3,5,4,5,5,5,4,4,5,5,0,10.0,satisfied
19226,46993,Male,Loyal Customer,55,Business travel,Eco Plus,737,4,2,2,2,4,4,4,4,3,1,4,1,1,4,11,17.0,satisfied
17015,109312,Female,Loyal Customer,49,Business travel,Eco,1188,3,3,3,3,4,3,4,3,3,3,3,4,3,4,98,114.0,neutral or dissatisfied
20060,26539,Male,Loyal Customer,64,Personal Travel,Eco,1105,4,2,4,3,5,4,5,5,4,2,4,4,4,5,0,2.0,neutral or dissatisfied
23111,102602,Male,Loyal Customer,58,Personal Travel,Eco Plus,397,1,4,1,1,1,1,1,1,4,4,4,5,5,1,6,4.0,neutral or dissatisfied
24163,77369,Male,disloyal Customer,23,Business travel,Eco,532,2,2,2,3,4,2,4,4,3,5,4,4,4,4,0,0.0,neutral or dissatisfied
12253,44690,Female,disloyal Customer,15,Business travel,Eco,268,4,0,4,4,3,4,3,3,4,2,5,1,5,3,0,0.0,neutral or dissatisfied
18724,7315,Female,Loyal Customer,59,Personal Travel,Eco Plus,116,1,4,0,4,5,4,2,4,4,0,5,4,4,4,61,57.0,neutral or dissatisfied
18954,55427,Female,Loyal Customer,39,Business travel,Business,2521,5,5,5,5,4,4,4,4,3,5,4,4,5,4,14,21.0,satisfied
11964,26943,Female,Loyal Customer,60,Business travel,Eco,2402,2,2,2,2,5,3,4,2,2,2,2,1,2,1,0,0.0,neutral or dissatisfied
7882,2437,Female,Loyal Customer,37,Personal Travel,Eco,641,4,4,3,2,2,3,2,2,3,2,4,5,4,2,0,0.0,neutral or dissatisfied
1919,28943,Male,Loyal Customer,23,Business travel,Eco,978,5,2,2,2,5,4,4,5,1,5,1,1,3,5,0,0.0,satisfied
11915,62685,Male,Loyal Customer,28,Business travel,Business,2367,3,3,3,3,3,3,3,3,3,4,4,4,4,3,0,0.0,satisfied
4561,104961,Male,disloyal Customer,25,Business travel,Business,337,0,1,0,5,4,0,2,4,3,3,4,5,5,4,1,5.0,satisfied
4110,76933,Female,Loyal Customer,42,Personal Travel,Eco,1727,2,3,2,2,5,3,4,2,2,2,2,2,2,3,0,0.0,neutral or dissatisfied
14371,11525,Male,Loyal Customer,40,Personal Travel,Eco Plus,301,4,5,4,4,5,4,5,5,3,2,5,4,4,5,0,0.0,satisfied
4921,41290,Male,Loyal Customer,38,Business travel,Eco Plus,542,4,4,4,4,4,5,4,4,2,2,1,1,1,4,45,34.0,satisfied
6819,102768,Female,Loyal Customer,50,Personal Travel,Eco,1618,1,4,1,3,4,5,5,2,2,1,2,3,2,4,0,0.0,neutral or dissatisfied
14600,126956,Female,Loyal Customer,55,Business travel,Business,2207,4,4,4,4,2,5,5,5,5,5,5,3,5,4,78,89.0,satisfied
3528,85575,Female,Loyal Customer,30,Business travel,Business,2927,2,3,3,3,2,2,2,2,4,5,1,4,2,2,2,8.0,neutral or dissatisfied
6857,29778,Female,Loyal Customer,43,Personal Travel,Business,725,1,3,1,3,4,4,2,1,1,1,1,5,1,4,3,8.0,neutral or dissatisfied
9403,3497,Female,Loyal Customer,26,Personal Travel,Eco,1080,4,4,4,5,4,4,4,4,3,5,5,5,4,4,5,7.0,neutral or dissatisfied
17785,46929,Female,disloyal Customer,37,Business travel,Eco,444,2,1,2,3,5,2,5,5,2,3,4,4,3,5,12,0.0,neutral or dissatisfied
11651,85578,Female,Loyal Customer,50,Business travel,Eco,153,1,4,4,4,4,4,3,1,1,1,1,4,1,2,27,40.0,neutral or dissatisfied
6735,97283,Male,Loyal Customer,28,Personal Travel,Business,843,2,5,1,4,5,1,5,5,4,3,5,3,5,5,0,0.0,neutral or dissatisfied
5097,56218,Male,Loyal Customer,40,Business travel,Business,1608,5,5,5,5,3,4,4,5,5,5,5,3,5,4,4,0.0,satisfied
20123,52979,Male,disloyal Customer,50,Business travel,Business,1208,2,2,2,4,5,2,5,5,4,5,5,3,5,5,0,0.0,neutral or dissatisfied
6942,65261,Female,Loyal Customer,51,Business travel,Business,551,3,1,3,3,5,4,4,4,4,4,4,5,4,5,0,0.0,satisfied
6636,14537,Female,disloyal Customer,37,Business travel,Eco,368,1,1,1,3,2,1,2,2,2,4,4,2,3,2,22,12.0,neutral or dissatisfied
23602,126101,Male,disloyal Customer,28,Business travel,Business,650,3,3,3,3,1,3,1,1,5,3,4,4,4,1,0,0.0,neutral or dissatisfied
16940,55461,Male,Loyal Customer,38,Personal Travel,Business,1825,1,5,1,4,2,5,5,5,5,1,5,4,5,5,0,0.0,neutral or dissatisfied
5343,28313,Female,Loyal Customer,21,Business travel,Business,867,4,5,2,5,4,3,4,4,4,3,2,1,2,4,0,3.0,neutral or dissatisfied
20081,97484,Male,Loyal Customer,47,Business travel,Eco,756,2,3,5,3,3,2,3,3,4,3,3,1,4,3,18,7.0,neutral or dissatisfied
2646,126488,Female,disloyal Customer,47,Business travel,Eco,349,3,0,3,1,1,3,1,1,2,2,4,5,2,1,0,0.0,neutral or dissatisfied
12785,94794,Female,Loyal Customer,45,Business travel,Eco,562,3,3,3,3,3,4,3,3,3,3,3,3,3,1,12,0.0,neutral or dissatisfied
20262,74299,Female,disloyal Customer,24,Business travel,Eco,992,1,1,1,4,1,1,1,1,1,5,3,2,4,1,0,0.0,neutral or dissatisfied
9716,24930,Female,Loyal Customer,27,Personal Travel,Eco,762,1,4,1,5,1,1,1,1,5,2,5,4,5,1,14,20.0,neutral or dissatisfied
3862,23356,Male,Loyal Customer,52,Personal Travel,Eco Plus,979,1,5,1,2,3,1,3,3,5,5,4,4,5,3,67,48.0,neutral or dissatisfied
22023,116773,Male,Loyal Customer,24,Personal Travel,Eco Plus,337,2,3,2,3,1,2,1,1,4,5,3,3,3,1,39,44.0,neutral or dissatisfied
5365,21516,Female,Loyal Customer,34,Personal Travel,Eco,164,2,5,2,3,1,2,1,1,3,4,4,5,4,1,0,0.0,neutral or dissatisfied
16872,4164,Female,Loyal Customer,12,Personal Travel,Eco,427,5,2,5,4,1,5,1,1,3,2,3,3,4,1,0,16.0,satisfied
5204,16126,Female,Loyal Customer,31,Personal Travel,Eco,725,5,4,5,1,2,5,2,2,4,3,3,5,2,2,0,0.0,satisfied
7840,111802,Male,disloyal Customer,37,Business travel,Business,349,4,4,4,3,3,4,3,3,1,1,2,4,2,3,108,105.0,neutral or dissatisfied
1195,22904,Male,Loyal Customer,60,Personal Travel,Eco Plus,151,4,4,4,4,3,4,3,3,5,5,5,4,4,3,19,4.0,neutral or dissatisfied
22233,92804,Female,Loyal Customer,46,Business travel,Business,1587,3,3,3,3,3,5,4,4,4,4,4,3,4,5,2,3.0,satisfied
20485,2567,Female,Loyal Customer,40,Business travel,Business,3311,5,5,5,5,2,4,5,5,5,5,5,5,5,4,0,0.0,satisfied
24916,106348,Male,Loyal Customer,18,Personal Travel,Business,674,3,5,3,1,1,3,1,1,4,4,4,4,4,1,40,29.0,neutral or dissatisfied
1518,86577,Female,disloyal Customer,29,Business travel,Eco,1269,4,5,5,3,5,5,4,5,2,2,4,3,3,5,26,30.0,neutral or dissatisfied
4131,46798,Female,Loyal Customer,26,Personal Travel,Business,845,4,4,4,2,4,4,4,4,5,5,4,5,5,4,0,0.0,satisfied
864,118847,Female,disloyal Customer,18,Business travel,Eco Plus,304,1,3,0,4,2,0,2,2,4,5,4,1,3,2,44,58.0,neutral or dissatisfied
19434,82062,Female,Loyal Customer,53,Business travel,Business,3897,3,3,3,3,4,4,4,4,4,4,4,4,4,5,0,29.0,satisfied
21822,90540,Male,Loyal Customer,30,Business travel,Business,581,1,1,1,1,2,2,2,2,3,3,5,4,4,2,96,101.0,satisfied
2250,53044,Female,disloyal Customer,25,Business travel,Eco,1208,3,2,2,3,5,2,5,5,2,3,1,4,3,5,0,0.0,neutral or dissatisfied
14167,15232,Male,Loyal Customer,43,Business travel,Business,416,4,4,4,4,1,1,1,5,5,5,5,4,5,2,0,10.0,satisfied
24660,97657,Female,Loyal Customer,56,Business travel,Business,2083,3,3,3,3,3,3,2,3,3,3,3,4,3,3,62,63.0,neutral or dissatisfied
24440,24854,Male,Loyal Customer,35,Personal Travel,Eco Plus,861,3,4,3,1,5,3,4,5,5,3,4,5,5,5,6,0.0,neutral or dissatisfied
10753,90300,Female,Loyal Customer,57,Personal Travel,Eco,932,1,5,1,3,3,4,4,3,3,1,3,5,3,4,0,0.0,neutral or dissatisfied
7880,17981,Female,Loyal Customer,45,Business travel,Business,2212,2,4,3,4,5,4,4,2,2,2,2,2,2,1,0,0.0,neutral or dissatisfied
1918,89518,Female,Loyal Customer,54,Personal Travel,Business,1069,2,2,2,3,4,4,4,4,4,2,4,3,4,3,12,0.0,neutral or dissatisfied
23306,3816,Male,disloyal Customer,29,Business travel,Business,650,5,5,5,3,5,5,5,5,5,4,4,5,5,5,0,7.0,satisfied
19889,84678,Female,Loyal Customer,24,Business travel,Eco,2182,2,4,4,4,2,2,4,2,3,5,4,4,4,2,15,9.0,neutral or dissatisfied
11340,46593,Male,Loyal Customer,30,Business travel,Business,125,1,5,5,5,3,3,1,3,3,2,3,4,3,3,0,0.0,neutral or dissatisfied
23979,128649,Female,Loyal Customer,69,Personal Travel,Eco Plus,954,3,5,3,5,2,4,5,5,5,3,5,3,5,5,0,0.0,neutral or dissatisfied
21098,8645,Female,Loyal Customer,39,Business travel,Business,2977,3,1,3,3,5,5,5,4,4,4,4,4,4,3,0,19.0,satisfied
25265,88425,Female,disloyal Customer,33,Business travel,Eco,404,3,3,3,3,1,3,1,1,3,4,4,3,3,1,0,0.0,neutral or dissatisfied
24967,26352,Female,Loyal Customer,36,Business travel,Business,861,4,4,4,4,3,4,5,4,4,4,4,4,4,5,0,0.0,satisfied
17252,37724,Female,Loyal Customer,67,Personal Travel,Eco,944,4,2,4,4,3,4,3,1,1,4,1,2,1,2,0,0.0,satisfied
