model__weights,model__n_neighbors,model__metric,credit_f1,college_f1,diabetes_f1,penguins_f1,mean_f1
uniform,10,euclidean,0.833388132034167,0.8017912203631875,0.5938491412757206,0.993103448275862,0.8055329854872342
distance,12,minkowski,0.8294875691752601,0.8272843226501763,0.6491640095014931,0.993103448275862,0.8247598374006979
uniform,20,manhattan,0.8327344169647801,0.7903921884695336,0.5989471037366673,0.9894736842105264,0.8028868483453768
uniform,1,euclidean,0.7804743845369604,0.8332911319260761,0.5744739149896587,0.9857142857142858,0.7934884292917452
uniform,11,minkowski,0.8451285323122008,0.819694870774254,0.6441857768953202,0.993103448275862,0.8255281570644093
distance,15,euclidean,0.8283243404678945,0.8227246811060092,0.6345240372640266,0.993103448275862,0.8196691267784482
uniform,11,euclidean,0.8451285323122008,0.819694870774254,0.6441857768953202,0.993103448275862,0.8255281570644093
uniform,8,euclidean,0.8263244986865906,0.7893399488833172,0.610074193337524,0.9894736842105264,0.8038030812794895
uniform,2,euclidean,0.7446870589761678,0.8034798848159298,0.4819860622480562,0.9857142857142858,0.7539668229386098
distance,18,euclidean,0.8257122255729901,0.8238550004773437,0.6421267351432831,0.9966101694915255,0.8220760326712855
distance,5,manhattan,0.8249660376278328,0.8473086206450317,0.6092159820645985,0.9894736842105264,0.8177410811369973
uniform,9,euclidean,0.8406942560323273,0.8080081080516928,0.6385139931126118,0.993103448275862,0.8200799513681234
distance,18,minkowski,0.8257122255729901,0.8238550004773437,0.6421267351432831,0.9966101694915255,0.8220760326712855
uniform,29,manhattan,0.8334283115823682,0.791745278095447,0.6104261485912702,0.9818181818181818,0.8043544800218169
distance,6,chebyshev,0.6937820494837108,0.8306906376390375,0.6004678440817055,0.9518233522917363,0.7691909708740475
distance,27,manhattan,0.8386208033917374,0.8152814972101347,0.6207270022849706,0.9894736842105264,0.8160257467743423
distance,6,minkowski,0.8265811918475853,0.8436682338795507,0.6278993121041594,0.9894736842105264,0.8219056055104553
distance,16,minkowski,0.8230766356201897,0.8248970373555359,0.6249270428706001,0.993103448275862,0.8165010410305469
distance,27,chebyshev,0.6325048517628551,0.7653142741287968,0.5995453720508167,0.9701950751519028,0.7418898932735929
uniform,24,chebyshev,0.6158391959798994,0.5755027971130574,0.5960730068913687,0.9589443869981569,0.6865898467456206
uniform,7,manhattan,0.8453157699330955,0.8088351605682051,0.6400823003415694,0.993103448275862,0.8218341697796832
uniform,2,minkowski,0.7446870589761678,0.8034798848159298,0.4819860622480562,0.9857142857142858,0.7539668229386098
distance,3,euclidean,0.8159029811808466,0.8457875613836364,0.6123667488608185,0.9894736842105264,0.815882743908957
uniform,18,manhattan,0.8354029651504579,0.8005034639028985,0.6045091992654448,0.9894736842105264,0.8074723281323318
distance,6,manhattan,0.8300942385153449,0.8451903226329179,0.613713669786908,0.9894736842105264,0.8196179787864243
uniform,28,chebyshev,0.6164584538855895,0.5634687590693395,0.5998237900413301,0.9632985234277649,0.685762381606006
distance,26,euclidean,0.8388211780642395,0.8220608042640549,0.6391165692055869,0.993103448275862,0.8232754999524359
distance,24,manhattan,0.8391042171145877,0.813815017940889,0.6411212644757593,0.9894736842105264,0.8208785459354405
uniform,16,manhattan,0.8354523566168564,0.8006746279729586,0.6068407256366739,0.993103448275862,0.8090177896255877
distance,14,euclidean,0.829537243693701,0.8254587301298141,0.6402271939703716,0.993103448275862,0.8220816540174372
distance,28,chebyshev,0.6298444618500533,0.7614193659468901,0.5881456386582969,0.9701950751519028,0.7374011354017858
uniform,19,chebyshev,0.6150715192122227,0.6582760691576794,0.5930204909751694,0.9578093306288032,0.7060443524934686
distance,24,chebyshev,0.6358767418900643,0.7594657491085652,0.5968895058640039,0.9692307692307693,0.7403656915233507
distance,19,euclidean,0.8287752682757695,0.825962232215516,0.6431781411559301,0.993103448275862,0.8227547724807696
uniform,20,chebyshev,0.6150715192122227,0.6078790334428001,0.5864611005692599,0.953103448275862,0.6906287753750362
uniform,1,chebyshev,0.708756213307537,0.834868626246948,0.5536393463053828,0.928960943257185,0.7565562822792633
uniform,25,euclidean,0.8416177153700861,0.801196194897544,0.6253719927687388,0.993103448275862,0.8153223378280576
uniform,14,chebyshev,0.6168048625268736,0.6414817014892849,0.5937913798243243,0.9292307692307693,0.695327178267813
distance,12,euclidean,0.8294875691752601,0.8272843226501763,0.6491640095014931,0.993103448275862,0.8247598374006979
uniform,8,chebyshev,0.6415336633263756,0.7700454968846344,0.5757466594346027,0.96,0.7368314549114031
distance,29,manhattan,0.8406365424658109,0.811979452593587,0.6157182873149261,0.9894736842105264,0.8144519916462126
uniform,17,euclidean,0.8354724345806313,0.819162324805814,0.6334727671850038,1.0,0.8220268816428622
uniform,30,chebyshev,0.6164584538855895,0.5574520964672283,0.5925228055851732,0.9589443869981569,0.681344435734037
uniform,7,minkowski,0.8385346219550132,0.8146767204185416,0.6321063526587742,0.9894736842105264,0.8186978448107137
distance,27,minkowski,0.8375080139372824,0.8178696063238993,0.6386109136153573,0.993103448275862,0.8217729955381003
uniform,23,euclidean,0.8331232465281115,0.8001858145957084,0.6381561833680554,0.993103448275862,0.8161421731919343
distance,23,euclidean,0.829449780264401,0.8206286951709645,0.644978042253584,0.993103448275862,0.8220399914912029
uniform,9,manhattan,0.8446698469425742,0.8078753050125054,0.6333979398210897,0.993103448275862,0.8197616350130079
uniform,27,minkowski,0.8410735652234574,0.7783316383333447,0.6364646758793527,0.9894736842105264,0.8113358909116702
uniform,12,minkowski,0.8379398247058456,0.8048960984979221,0.619486504279131,0.993103448275862,0.8138564689396901
distance,20,euclidean,0.8307159075451759,0.8236311588244003,0.6376325091738572,0.993103448275862,0.8212707559548238
uniform,17,chebyshev,0.6149089806309916,0.7052103177631797,0.5915589638482975,0.951048951048951,0.7156818033228549
distance,17,chebyshev,0.6504468983571263,0.7893221783173443,0.59037823588701,0.9692307692307693,0.7498445204480625
distance,18,manhattan,0.8388713477144091,0.8260314153131116,0.6597307060755336,0.993103448275862,0.8294342293447292
uniform,15,manhattan,0.842409211719176,0.8239546068710345,0.6292997590224523,0.993103448275862,0.8221917564721313
uniform,1,minkowski,0.7804743845369604,0.8332911319260761,0.5744739149896587,0.9857142857142858,0.7934884292917452
uniform,21,manhattan,0.8367470126552095,0.7993615378961085,0.6176641344316055,0.9894736842105264,0.8108115922983624
distance,1,minkowski,0.7804743845369604,0.8332911319260761,0.5744739149896587,0.9857142857142858,0.7934884292917452
distance,4,euclidean,0.8174165290645015,0.8488430936437437,0.6179124390391044,0.9894736842105264,0.8184114364894689
distance,16,manhattan,0.8376845661267376,0.8242782369594787,0.6486785889613578,0.993103448275862,0.8259362100808589
uniform,25,minkowski,0.8416177153700861,0.801196194897544,0.6253719927687388,0.993103448275862,0.8153223378280576
uniform,25,manhattan,0.8339969034335407,0.7974947596006295,0.6209588381481318,0.9857142857142858,0.8095411967241469
uniform,29,chebyshev,0.6164584538855895,0.5818947509589687,0.5960350235569993,0.9632985234277649,0.6894216879573306
uniform,17,manhattan,0.840584539949068,0.81207591391199,0.6155691566694657,0.993103448275862,0.8153332647015965
uniform,24,euclidean,0.8338356732301545,0.7893452370161032,0.6072875444438174,0.993103448275862,0.8058929757414843
distance,28,euclidean,0.8365272009336657,0.8191027237996007,0.6319793647019815,0.993103448275862,0.8201781844277776
uniform,30,minkowski,0.8282920193166872,0.7790273635299814,0.6020190244929655,0.9894736842105264,0.79970302288754
uniform,18,euclidean,0.83241417312057,0.8040058943899162,0.6144427830870458,0.993103448275862,0.8109915747183485
distance,11,chebyshev,0.6720933045622983,0.8111385182724062,0.6060642773698975,0.96,0.7623240250511505
uniform,6,minkowski,0.8260968234260263,0.8094260104446518,0.5791668051836119,0.9894736842105264,0.8010408308162041
distance,1,chebyshev,0.708756213307537,0.834868626246948,0.5536393463053828,0.928960943257185,0.7565562822792633
distance,26,manhattan,0.8395948376052083,0.8141831629330077,0.6334157905586476,0.9894736842105264,0.8191668688268475
uniform,22,manhattan,0.8304712627357071,0.7871835002591194,0.5963278168635638,0.9857142857142858,0.799924216393169
uniform,1,manhattan,0.7762646727695721,0.8319526665443535,0.5664042717440776,0.9894736842105264,0.7910238238171324
distance,25,chebyshev,0.6338383155852965,0.7712190082009134,0.5858845774286504,0.9735849056603774,0.7411317017188095
distance,2,euclidean,0.7804743845369604,0.8332911319260761,0.5744739149896587,0.9857142857142858,0.7934884292917452
uniform,12,euclidean,0.8379398247058456,0.8048960984979221,0.619486504279131,0.993103448275862,0.8138564689396901
uniform,12,chebyshev,0.6186750985315236,0.7004638146705533,0.569784620081702,0.9292307692307693,0.7045385756286371
distance,23,chebyshev,0.6357827692053533,0.7794494850483088,0.5946350766736984,0.9735849056603774,0.7458630591469344
distance,10,minkowski,0.828136058372422,0.8248297702995406,0.6351038815508853,0.993103448275862,0.8202932896246775
uniform,3,minkowski,0.8399606801013754,0.8451496931440531,0.619668352400071,0.9894736842105264,0.8235631024640064
distance,7,manhattan,0.8288423563842224,0.8316055258766257,0.6399634649286163,0.993103448275862,0.8233786988663316
uniform,24,minkowski,0.8338356732301545,0.7893452370161032,0.6072875444438174,0.993103448275862,0.8058929757414843
uniform,4,minkowski,0.8101875261403908,0.8093467600798283,0.5744506069848697,0.9894736842105264,0.7958646443539038
distance,14,minkowski,0.829537243693701,0.8254587301298141,0.6402271939703716,0.993103448275862,0.8220816540174372
distance,21,manhattan,0.8385847365951072,0.8223464400768963,0.6315820447461553,0.9894736842105264,0.8204967264071713
distance,8,minkowski,0.8267027817032243,0.828150238693536,0.6456365389960691,0.9894736842105264,0.822490810900839
distance,5,euclidean,0.822957887637189,0.8422646906507832,0.600120810941199,0.9894736842105264,0.8137042683599244
distance,30,chebyshev,0.6272396901694911,0.7537003942041929,0.5951015605315224,0.9658409387222946,0.7354706459068752
distance,23,minkowski,0.829449780264401,0.8206286951709645,0.644978042253584,0.993103448275862,0.8220399914912029
distance,15,chebyshev,0.6540140493694492,0.7928309427457441,0.5994419706026741,0.96,0.7515717406794669
uniform,19,minkowski,0.8371343840997236,0.8103987156473466,0.6409674265745903,0.993103448275862,0.8204009936493806
distance,24,euclidean,0.8327032091324774,0.8194089196960077,0.6372937820693239,0.993103448275862,0.8206273397934178
uniform,16,minkowski,0.8300468265933507,0.8093338469416305,0.6070439780109944,0.993103448275862,0.8098820249554595
uniform,21,minkowski,0.8355296282641624,0.7977182866029657,0.618517068717181,0.993103448275862,0.8112171079650428
distance,21,minkowski,0.8322780575586533,0.8251821442219297,0.6368799533799534,0.993103448275862,0.8218609008590996
uniform,15,minkowski,0.8415690396901396,0.8253287129725049,0.6174880052711968,0.993103448275862,0.8193723015524259
distance,17,euclidean,0.8251036626472168,0.8257415063242342,0.6365729791733196,0.9966101694915255,0.821007079409074
distance,29,minkowski,0.8384127440711332,0.819283764272069,0.6236063813757531,0.9894736842105264,0.8176941434823705
uniform,19,euclidean,0.8371343840997236,0.8103987156473466,0.6409674265745903,0.993103448275862,0.8204009936493806
distance,8,chebyshev,0.6837941441051429,0.8252545820192878,0.5972533517087972,0.96,0.766575519458307
uniform,22,euclidean,0.8319430493166843,0.7872737352737353,0.6198569702898389,0.993103448275862,0.8080443007890301
uniform,13,euclidean,0.8416720675300094,0.8246616684317349,0.6242823062032425,0.993103448275862,0.8209298726102123
distance,23,manhattan,0.8386738655031337,0.8197308179680369,0.6191459835823003,0.9894736842105264,0.8167560878159993
distance,2,chebyshev,0.7079951782999266,0.8373927051336836,0.5484093375355512,0.928960943257185,0.7556895410565867
distance,21,euclidean,0.8322780575586533,0.8251821442219297,0.6368799533799534,0.993103448275862,0.8218609008590996
uniform,16,chebyshev,0.6149089806309916,0.6446281477375504,0.5870148330979251,0.947008547008547,0.6983901271187536
distance,22,chebyshev,0.6399208738730247,0.7701251472166015,0.5902904876231096,0.9692307692307693,0.7423918194858763
uniform,12,manhattan,0.838710399564335,0.8163043903852276,0.6136370005189413,0.993103448275862,0.8154388096860916
distance,5,chebyshev,0.7025179826426611,0.8298946826563698,0.6098679447570063,0.9518233522917363,0.7735259905869434
distance,10,chebyshev,0.6755650027423844,0.8125572578834669,0.6157404556120525,0.96,0.765965679059476
uniform,9,minkowski,0.8406942560323273,0.8080081080516928,0.6385139931126118,0.993103448275862,0.8200799513681234
distance,4,manhattan,0.8260406363186756,0.8522583786302302,0.6000331343813994,0.9894736842105264,0.8169514583852079
uniform,6,euclidean,0.8260968234260263,0.8094260104446518,0.5791668051836119,0.9894736842105264,0.8010408308162041
uniform,10,minkowski,0.833388132034167,0.8017912203631875,0.5938491412757206,0.993103448275862,0.8055329854872342
uniform,6,manhattan,0.8269237940306196,0.8082576470490348,0.5762175283518918,0.9894736842105264,0.8002181634105181
uniform,21,euclidean,0.8355296282641624,0.7977182866029657,0.618517068717181,0.993103448275862,0.8112171079650428
distance,30,manhattan,0.8387222015103738,0.8118172399988947,0.6293613602891953,0.9857142857142858,0.8164037718781874
uniform,10,manhattan,0.8288382342373378,0.7995369961063832,0.5896213019708697,0.993103448275862,0.8027749951476133
uniform,23,minkowski,0.8331232465281115,0.8001858145957084,0.6381561833680554,0.993103448275862,0.8161421731919343
uniform,26,euclidean,0.8352610964406855,0.7813685973867969,0.6260797458708443,0.9857142857142858,0.807105931353153
distance,17,minkowski,0.8251036626472168,0.8257415063242342,0.6365729791733196,0.9966101694915255,0.821007079409074
distance,29,euclidean,0.8384127440711332,0.819283764272069,0.6236063813757531,0.9894736842105264,0.8176941434823705
distance,22,euclidean,0.8305395823688506,0.8224037003792286,0.6378740268823486,0.993103448275862,0.8209801894765725
uniform,15,euclidean,0.8415690396901396,0.8253287129725049,0.6174880052711968,0.993103448275862,0.8193723015524259
uniform,3,chebyshev,0.6917110698802358,0.8306882798965163,0.5867099310423249,0.932463768115942,0.7603932622337548
distance,13,manhattan,0.8326488765111716,0.8168984958564305,0.6302991264701748,0.993103448275862,0.8182374867784097
distance,14,chebyshev,0.6597982836690204,0.7969632455157912,0.6063067445801067,0.96,0.7557670684412297
distance,2,manhattan,0.7762646727695721,0.8319526665443535,0.5664042717440776,0.9894736842105264,0.7910238238171324
uniform,4,manhattan,0.8235137108079084,0.8155356212873974,0.5448777829802497,0.9894736842105264,0.7933501998215204
